Lags,Autokorrelation_normierteDaten,Autokorrelation_Rohdaten,UnterKonfGrenze,ObereKonfGrenze
0,1.0,1.0,-0.07692844676393687,0.07692844676393687
1,0.4030034047845859,0.42037917855476353,-0.07701037973839399,0.07701037973839399
2,0.19517273635493526,0.1502958924455759,-0.07709257265887132,0.07709257265887132
3,0.0783033386716414,0.03853951547885341,-0.07717502689780649,0.07717502689780649
4,0.06803913070742863,-0.03672182832617769,-0.07725774383778206,0.07725774383778206
5,0.14038559574913334,-0.07219678868794577,-0.07734072487162198,0.07734072487162198
6,0.10787364898094792,-0.12639966577966766,-0.07742397140248926,0.07742397140248926
7,0.120381029673898,-0.08136729352779715,-0.07750748484398462,0.07750748484398462
8,0.054843831401095104,-0.019197284343811488,-0.07759126662024654,0.07759126662024654
9,0.018538614357124707,0.010729920194965957,-0.07767531816605218,0.07767531816605218
10,0.09205981981575904,0.11754738261570212,-0.07775964092691973,0.07775964092691973
11,0.06507976214788662,0.22814297734431344,-0.07784423635921187,0.07784423635921187
12,0.12095681921281728,0.37736984094860576,-0.07792910593024038,0.07792910593024038
13,0.14911096352781272,0.25606905600521973,-0.07801425111837217,0.07801425111837217
14,0.08094676463118311,0.07045563250940116,-0.07809967341313634,0.07809967341313634
15,0.07345960903181696,0.0386258099361195,-0.07818537431533269,0.07818537431533269
16,0.0014608548888406917,-0.08458676183071383,-0.07827135533714144,0.07827135533714144
17,-0.009364284311300921,-0.177882860216334,-0.07835761800223426,0.07835761800223426
18,0.06283730891014638,-0.15282490323616676,-0.0784441638458866,0.0784441638458866
19,0.0980768873532405,-0.08079302930123235,-0.07853099441509148,0.07853099441509148
20,0.07910802848478513,0.02110542371000196,-0.07861811126867455,0.07861811126867455
21,-0.012634321583899733,-0.0064549809942192156,-0.0787055159774104,0.0787055159774104
22,-0.006187498678618709,0.03577639774313752,-0.07879321012414064,0.07879321012414064
23,-0.03537298206777253,0.13639995550976058,-0.07888119530389304,0.07888119530389304
24,-0.02809901667106709,0.21134069629827404,-0.07896947312400227,0.07896947312400227
25,0.052888921537711846,0.17066570175659374,-0.0790580452042321,0.0790580452042321
26,0.03635085991505757,0.040814148108521395,-0.07914691317689912,0.07914691317689912
27,0.006438373527049429,-0.015213296343825889,-0.0792360786869978,0.0792360786869978
28,0.0100172629748442,-0.0870275690737005,-0.07932554339232731,0.07932554339232731
29,-0.01448122383262005,-0.18283309584120747,-0.07941530896361973,0.07941530896361973
30,0.04383150915797119,-0.16171293693349884,-0.07950537708466988,0.07950537708466988
31,0.11311226281906792,-0.06074213883271073,-0.07959574945246671,0.07959574945246671
32,0.12275409454552598,0.048200198689781835,-0.07968642777732635,0.07968642777732635
33,0.09102771693217147,0.06309015377522452,-0.07977741378302684,0.07977741378302684
34,0.05204986792802644,0.0501739119677188,-0.07986870920694449,0.07986870920694449
35,0.0316833850472303,0.16605462647782485,-0.07996031580019172,0.07996031580019172
36,-0.051215845729637346,0.21078972285089526,-0.08005223532775711,0.08005223532775711
37,0.0030540759509510096,0.13363025349453342,-0.08014446956864665,0.08014446956864665
38,0.05543849052620046,0.054452464338845444,-0.08023702031602709,0.08023702031602709
39,0.012351003491194112,-0.020345261104581635,-0.08032988937737101,0.08032988937737101
40,0.01807555626966784,-0.09034711745585852,-0.08042307857460365,0.08042307857460365
41,0.01521077109928459,-0.16565006609799757,-0.08051658974425158,0.08051658974425158
42,-0.02235640709440718,-0.21885270537954368,-0.08061042473759342,0.08061042473759342
43,-0.017819669748762843,-0.164747937519965,-0.08070458542081213,0.08070458542081213
44,0.0007182701661638592,-0.054934814061730654,-0.0807990736751496,0.0807990736751496
45,0.019293152602416097,0.020448757628559928,-0.08089389139706293,0.08089389139706293
46,-0.0006617709651013811,0.0302653098377055,-0.0809890404983828,0.0809890404983828
47,-0.033712249545856124,0.13108745905620325,-0.08108452290647383,0.08108452290647383
48,-0.06388946700649395,0.2056357770769551,-0.08118034056439703,0.08118034056439703
49,-0.04305019940602685,0.11328236640771819,-0.0812764954310743,0.0812764954310743
50,-0.03622969023735095,-0.0073233446103764446,-0.08137298948145505,0.08137298948145505
