Name,Rohdaten,Saisonbereinigte Zeitreihe,Zufallskomponente der Zeitreihe
Minimum,0.077,-1.9876000000000003,-1.410593829287653
Maximum,7.797,5.1731,3.0443803867404324
1. zentrales Moment,1.4804625000000002,-4.070817756958907e-17,-1.1102230246251566e-17
2. zentrales Moment,1.1256753902604166,0.8386467266666666,0.4727234010102439
3. zentrales Moment,2.013641313847081,1.204019805859531,0.4279437455381753
4. zentrales Moment,9.553752535250306,5.286062836717791,1.2302820617429362
Standardabweichung (biased),1.0609785060313035,0.9157765702761054,0.6875488353638918
Standardabweichung (unbiased),1.0620854218316074,0.9167319973176753,0.6882661530711012
Skewness (biased),1.6860185778436194,1.008123813715613,0.35831659803943583
Skewness (unbiased),1.693073048880622,1.0123419049863895,0.3598158306672159
Kurtosis (biased),3616.0024914771607,1999.3833049476518,463.03612876086413
Kurtosis (unbiased),3638.744645511608,2011.9580427146182,465.9483056713098
25%-Quantil,0.725,-0.5796250000000004,-0.42852254255586697
50%-Quantil,1.216,-0.2042999999999997,-0.1458905448944509
75%-Quantil,2.006,0.3721000000000001,0.26536879356456267
Interquartilsabstand,1.2809999999999997,0.9517250000000005,0.6938913361204296
Autokorrelation,0.42037917855476353,0.35393283464453096,0.3407857350809793
HHQ,7.797,-,-
MHQ,3.6239000000000003,-,-
MQ,1.4807842803030304,-,-
MNQ,0.42212500000000003,-,-
NNQ,0.077,-,-
