Monat,Rohdaten,Trendbereinigte Zeitreihe,Trendkomponente,Saisonale Komponente (Mittel),Saisonale Komponente (Standardabweichung),Saisonbereinigte Zeitreihe,Normierte Zeitreihe,Autokorrelation (Saisonfigur),Autokorrelative Komponente,Zufallskomponente
11/1959,0.64,0.7338977390852385,-0.09389773908523846,1.1773000000000002,0.8566425508927279,-0.5373000000000002,-0.6272161001576059,0.45145476914073,-0.283159699698001,-0.3440564004596049
12/1959,0.552,0.6455056817195381,-0.0935056817195381,1.7568750000000004,1.1904854721394125,-1.2048750000000004,-1.0120871091645736,0.372645135668278,-0.3771493381027478,-0.6349377710618258
01/1960,0.979,1.0721136243538378,-0.09311362435383785,1.7710499999999996,1.0785524315025208,-0.7920499999999996,-0.7343639278589382,0.4578573806761268,-0.3362339444725256,-0.39812998338641264
02/1960,0.775,0.8677215669881374,-0.09272156698813738,1.50955,0.790524507842736,-0.7345499999999999,-0.9291932036421173,0.3063342119821584,-0.2846436678168852,-0.6445495358252321
03/1960,2.614,2.706329509622437,-0.09232950962243702,2.4803999999999995,1.153817897243755,0.13360000000000039,0.11578950224220358,0.07621301374265012,0.008824666925639678,0.1069648353165639
04/1960,1.603,1.6949374522567366,-0.09193745225673666,3.06675,1.5798369654809323,-1.4637499999999999,-0.9265196548647706,0.6299645155463744,-0.5836745055210792,-0.34284514934369137
05/1960,1.701,1.7925453948910364,-0.0915453948910363,2.13905,1.0653246676483183,-0.43805000000000005,-0.4111892020363953,0.5931579770742693,-0.24390015527469125,-0.16728904676170406
06/1960,1.143,1.234153337525336,-0.09115333752533594,1.4696,0.7003007853772549,-0.3266,-0.4663710320188478,0.20100283414956435,-0.09374189920104563,-0.37262913281780213
07/1960,0.867,0.9577612801596356,-0.09076128015963558,1.241225,0.7692454578188942,-0.37422500000000003,-0.4864832105230382,0.23481768999630112,-0.11423486371700409,-0.37224834680603414
08/1960,0.972,1.0623692227939352,-0.09036922279393522,1.10135,0.7128560005358726,-0.12935000000000008,-0.1814531965821488,0.4980177336160814,-0.09036690971923504,-0.09108628686291377
09/1960,0.565,0.6549771654282348,-0.08997716542823486,0.9811249999999998,0.5971437928799059,-0.41612499999999986,-0.6968589558523444,0.6405581005041224,-0.4463786490800638,-0.25048030677228056
10/1960,2.601,2.6905851080625345,-0.0895851080625345,1.0651749999999998,0.7177788965795804,1.5358250000000002,2.1396909373048456,0.02839266879947819,0.060751536116141536,2.078939401188704
11/1960,1.103,1.1921930506968341,-0.08919305069683414,1.1773000000000002,0.8566425508927279,-0.07430000000000025,-0.08673395913216128,0.45145476914073,-0.03915645949667138,-0.0475774996354899
12/1960,1.274,1.3628009933311338,-0.08880099333113378,1.7568750000000004,1.1904854721394125,-0.4828750000000004,-0.40561183760792086,0.372645135668278,-0.1511492782540632,-0.25446255935385764
01/1961,0.765,0.8534089359654332,-0.0884089359654332,1.7710499999999996,1.0785524315025208,-1.0060499999999997,-0.9327780185878227,0.4578573806761268,-0.42707930034288805,-0.5056987182449346
02/1961,2.676,2.764016878599733,-0.08801687859973306,1.50955,0.790524507842736,1.1664500000000002,1.4755393266467198,0.3063342119821584,0.4520081768770075,1.0235311497697124
03/1961,3.737,3.824624821234033,-0.0876248212340327,2.4803999999999995,1.153817897243755,1.2566000000000006,1.0890800038738973,0.07621301374265012,0.08300206930208677,1.0060779345718105
04/1961,2.831,2.918232763868332,-0.0872327638683319,3.06675,1.5798369654809323,-0.2357499999999999,-0.14922425867420638,0.6299645155463744,-0.09400598782346328,-0.0552182708507431
05/1961,2.302,2.3888407065026316,-0.08684070650263154,2.13905,1.0653246676483183,0.16294999999999993,0.15295806522504413,0.5931579770742693,0.09072829654608132,0.06222976867896281
06/1961,1.688,1.7744486491369313,-0.0864486491369314,1.4696,0.7003007853772549,0.21839999999999993,0.31186599324224223,0.20100283414956435,0.06268594851655958,0.24918004472568267
07/1961,0.535,0.6210565917712312,-0.08605659177123115,1.241225,0.7692454578188942,-0.706225,-0.9180749692073823,0.23481768999630112,-0.2155802435127028,-0.7024947256946795
08/1961,0.44,0.5256645344055306,-0.08566453440553062,1.10135,0.7128560005358726,-0.6613500000000001,-0.9277469776544575,0.4980177336160814,-0.46203444718064224,-0.4657125304738152
09/1961,0.302,0.38727247703983037,-0.08527247703983037,0.9811249999999998,0.5971437928799059,-0.6791249999999998,-1.1372888876977432,0.6405581005041224,-0.7284996096281126,-0.4087892780696306
10/1961,0.236,0.32088041967412995,-0.08488041967412996,1.0651749999999998,0.7177788965795804,-0.8291749999999998,-1.1551955678151773,0.02839266879947819,-0.032799085155601475,-1.1223964826595758
11/1961,0.292,0.37648836230842964,-0.08448836230842965,1.1773000000000002,0.8566425508927279,-0.8853000000000002,-1.0334532169542683,0.45145476914073,-0.466557383477834,-0.5668958334764342
12/1961,0.384,0.46809630494272914,-0.08409630494272913,1.7568750000000004,1.1904854721394125,-1.3728750000000005,-1.1532060089173681,0.372645135668278,-0.4297366096464861,-0.723469399270882
01/1962,1.13,1.2137042475770288,-0.08370424757702888,1.7710499999999996,1.0785524315025208,-0.6410499999999997,-0.5943614619708003,0.4578573806761268,-0.27213278215278397,-0.32222867981801634
02/1962,1.08,1.1633121902113286,-0.08331219021132852,1.50955,0.790524507842736,-0.4295499999999999,-0.5433734131433822,0.3063342119821584,-0.16645386632733375,-0.37691954681604845
03/1962,1.071,1.153920132845628,-0.08292013284562816,2.4803999999999995,1.153817897243755,-1.4093999999999995,-1.221509913623961,0.07621301374265012,-0.09309495183380631,-1.1284149617901549
