Monat,Durchfluss_m3s,Datum
11/1970,1.9101250000000003,1970-11-01
12/1970,0.3892249999999995,1970-12-01
01/1971,-0.529625,1971-01-01
02/1971,-0.033225000000000726,1971-02-01
03/1971,-0.15120000000000022,1971-03-01
04/1971,0.2563500000000003,1971-04-01
05/1971,-0.06922499999999987,1971-05-01
06/1971,1.0921249999999998,1971-06-01
07/1971,-0.06782500000000002,1971-07-01
08/1971,-0.28130000000000005,1971-08-01
09/1971,-0.3716,1971-09-01
10/1971,-0.5088250000000003,1971-10-01
11/1971,-0.6558749999999998,1971-11-01
12/1971,0.37122499999999947,1971-12-01
01/1972,-0.6096250000000001,1972-01-01
02/1972,-0.7012250000000007,1972-02-01
03/1972,-1.4782000000000002,1972-03-01
04/1972,-0.9796499999999997,1972-04-01
05/1972,-0.13522499999999993,1972-05-01
06/1972,0.6521249999999997,1972-06-01
07/1972,-0.04982500000000012,1972-07-01
08/1972,0.42869999999999997,1972-08-01
09/1972,0.07540000000000002,1972-09-01
10/1972,0.22317499999999968,1972-10-01
11/1972,0.1591250000000003,1972-11-01
12/1972,-0.4707750000000005,1972-12-01
01/1973,-0.821625,1973-01-01
02/1973,-0.5112250000000007,1973-02-01
03/1973,-0.4922000000000002,1973-03-01
04/1973,0.2183500000000005,1973-04-01
05/1973,0.967775,1973-05-01
06/1973,-0.18287500000000023,1973-06-01
07/1973,0.30617499999999986,1973-07-01
08/1973,0.0046999999999999265,1973-08-01
09/1973,-0.3806,1973-09-01
10/1973,-0.33582500000000026,1973-10-01
11/1973,-0.5148749999999997,1973-11-01
12/1973,-0.9877750000000005,1973-12-01
01/1974,0.6083749999999999,1974-01-01
02/1974,-0.21022500000000066,1974-02-01
03/1974,-0.5252000000000003,1974-03-01
04/1974,-1.7976499999999997,1974-04-01
05/1974,-0.5842249999999999,1974-05-01
06/1974,0.06012499999999987,1974-06-01
07/1974,0.19117499999999987,1974-07-01
08/1974,-0.18630000000000002,1974-08-01
09/1974,-0.36460000000000004,1974-09-01
10/1974,-0.05982500000000024,1974-10-01
11/1974,2.1601250000000003,1974-11-01
12/1974,5.918225,1974-12-01
01/1975,1.0903749999999999,1975-01-01
02/1975,0.2447749999999993,1975-02-01
03/1975,-1.0402000000000002,1975-03-01
04/1975,-0.8336499999999998,1975-04-01
05/1975,-0.5752249999999999,1975-05-01
06/1975,-0.2808750000000002,1975-06-01
07/1975,-0.2848250000000001,1975-07-01
08/1975,0.06369999999999998,1975-08-01
09/1975,-0.12360000000000004,1975-09-01
10/1975,-0.5108250000000003,1975-10-01
11/1975,-0.5718749999999998,1975-11-01
12/1975,-0.03777500000000056,1975-12-01
01/1976,3.4343749999999997,1976-01-01
02/1976,-0.013225000000000708,1976-02-01
03/1976,-1.0112000000000003,1976-03-01
04/1976,-0.3476499999999998,1976-04-01
05/1976,-0.694225,1976-05-01
06/1976,-0.23187500000000016,1976-06-01
07/1976,-0.46782500000000005,1976-07-01
08/1976,-0.27630000000000005,1976-08-01
09/1976,-0.3756,1976-09-01
10/1976,-0.5438250000000002,1976-10-01
11/1976,-0.5968749999999998,1976-11-01
12/1976,-0.5307750000000004,1976-12-01
01/1977,-0.6046250000000001,1977-01-01
02/1977,1.1447749999999992,1977-02-01
03/1977,0.5777999999999999,1977-03-01
04/1977,-0.8246499999999997,1977-04-01
05/1977,-0.2542249999999999,1977-05-01
06/1977,0.0981249999999998,1977-06-01
07/1977,0.009174999999999933,1977-07-01
08/1977,0.8646999999999999,1977-08-01
09/1977,0.5573999999999999,1977-09-01
10/1977,0.011174999999999713,1977-10-01
11/1977,0.8401250000000001,1977-11-01
12/1977,-0.02877500000000044,1977-12-01
01/1978,-0.273625,1978-01-01
02/1978,-0.5572250000000006,1978-02-01
03/1978,0.4187999999999996,1978-03-01
04/1978,-0.8296499999999998,1978-04-01
05/1978,0.9017750000000002,1978-05-01
06/1978,0.09112499999999979,1978-06-01
07/1978,-0.24282500000000007,1978-07-01
08/1978,0.39370000000000005,1978-08-01
