Gewässer	Zwota
Pegel	Klingenthal 1
AE [km^2]	58.1
MONAT	Q [m^3/s]
12/1988	3.354
01/1989	2.315
02/1989	0.769
03/1989	1.833
04/1989	0.471
05/1989	0.665
06/1989	0.276
07/1989	0.294
08/1989	0.241
09/1989	0.195
10/1989	0.542
11/1989	0.971
12/1989	1.435
01/1990	0.875
02/1990	1.517
03/1990	2.332
04/1990	1.422
05/1990	1.03
06/1990	0.758
07/1990	0.595
08/1990	0.325
09/1990	0.929
10/1990	0.736
11/1990	1.269
12/1990	0.758
01/1991	1.231
02/1991	0.462
03/1991	0.562
04/1991	0.493
05/1991	0.776
06/1991	1.055
07/1991	0.544
08/1991	0.455
09/1991	0.195
10/1991	0.201
11/1991	0.506
12/1991	1.674
01/1992	2.755
02/1992	2.52
03/1992	3.814
04/1992	2.032
05/1992	1.223
06/1992	0.312
07/1992	0.455
08/1992	0.321
09/1992	0.298
10/1992	0.354
11/1992	1.24
12/1992	0.657
01/1993	1.061
02/1993	0.825
03/1993	1.395
04/1993	0.391
05/1993	0.422
06/1993	0.599
07/1993	0.906
08/1993	0.745
09/1993	0.568
10/1993	0.436
11/1993	0.402
12/1993	2.328
01/1994	1.587
02/1994	0.831
03/1994	1.176
04/1994	1.097
05/1994	0.798
06/1994	0.677
07/1994	1.178
08/1994	1.17
09/1994	0.847
10/1994	0.663
11/1994	0.887
12/1994	1.837
01/1995	2.14
02/1995	2.191
03/1995	1.013
04/1995	3.553
05/1995	0.805
06/1995	0.867
07/1995	0.557
08/1995	0.332
09/1995	2.527
10/1995	1.01
11/1995	2.288
12/1995	1.048
01/1996	0.641
02/1996	0.212
03/1996	0.4
04/1996	1.156
05/1996	0.862
06/1996	0.692
07/1996	2.35
08/1996	0.511
09/1996	1.039
10/1996	1.596
11/1996	1.165
12/1996	0.714
01/1997	0.447
02/1997	1.583
03/1997	2.381
04/1997	1.419
05/1997	0.685
06/1997	0.298
07/1997	0.356
08/1997	0.422
09/1997	0.296
10/1997	0.427
11/1997	0.369
12/1997	1.455
01/1998	1.052
02/1998	0.836
03/1998	2.646
04/1998	0.69
05/1998	0.349
06/1998	0.371
07/1998	0.61
08/1998	0.464
09/1998	1.782
10/1998	1.729
11/1998	2.357
12/1998	1.457
01/1999	1.254
02/1999	1.521
03/1999	3.241
04/1999	1.247
05/1999	0.641
06/1999	0.451
07/1999	0.533
08/1999	0.254
09/1999	0.161
10/1999	0.252
