Monat,Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
11/1959,0.883,1.834,1.834,10.497,0,0.000
12/1959,0.673,1.834,1.834,9.336,0,0.000
01/1960,1.842,1.310,1.310,9.868,0,0.000
02/1960,1.477,1.048,1.048,10.297,0,0.000
03/1960,4.899,0.786,0.786,14.410,0,0.000
04/1960,3.022,1.834,1.834,15.598,0,0.000
05/1960,3.014,1.834,1.834,16.778,0,0.000
06/1960,1.766,2.620,2.620,15.924,0,0.000
07/1960,1.104,3.144,3.144,13.884,0,0.000
08/1960,1.296,3.668,3.668,11.511,0,0.000
09/1960,0.668,3.668,3.668,8.511,0,0.000
10/1960,5.177,2.620,2.620,11.068,0,0.000
11/1960,3.051,1.834,1.834,12.285,0,0.000
12/1960,3.719,1.834,1.834,14.170,0,0.000
01/1961,1.535,1.310,1.310,14.395,0,0.000
02/1961,5.172,1.048,1.048,18.518,0,0.000
03/1961,6.694,0.786,2.316,22.896,0,1.530
04/1961,5.874,1.834,5.874,22.896,0,4.040
05/1961,4.294,1.834,4.294,22.896,0,2.460
06/1961,5.973,2.620,5.973,22.896,0,3.353
07/1961,1.958,3.144,3.144,21.710,0,0.000
08/1961,1.837,3.668,3.668,19.879,0,0.000
09/1961,1.214,3.668,3.668,17.425,0,0.000
10/1961,1.051,2.620,2.620,15.856,0,0.000
11/1961,1.075,1.834,1.834,15.097,0,0.000
12/1961,1.808,1.834,1.834,15.071,0,0.000
01/1962,3.062,1.310,1.310,16.823,0,0.000
02/1962,1.632,1.048,1.048,17.407,0,0.000
03/1962,2.515,0.786,0.786,19.136,0,0.000
04/1962,9.582,1.834,5.821,22.896,0,3.987
05/1962,3.771,1.834,3.771,22.896,0,1.937
06/1962,1.608,2.620,2.620,21.884,0,0.000
07/1962,1.661,3.144,3.144,20.401,0,0.000
08/1962,0.865,3.668,3.668,17.598,0,0.000
09/1962,0.849,3.668,3.668,14.779,0,0.000
10/1962,0.830,2.620,2.620,12.989,0,0.000
11/1962,1.046,1.834,1.834,12.201,0,0.000
12/1962,1.138,1.834,1.834,11.505,0,0.000
01/1963,1.064,1.310,1.310,11.259,0,0.000
02/1963,0.815,1.048,1.048,11.026,0,0.000
03/1963,3.974,0.786,0.786,14.214,0,0.000
04/1963,7.140,1.834,1.834,19.520,0,0.000
05/1963,2.284,1.834,1.834,19.970,0,0.000
06/1963,2.486,2.620,2.620,19.836,0,0.000
07/1963,1.905,3.144,3.144,18.597,0,0.000
08/1963,0.836,3.668,3.668,15.765,0,0.000
09/1963,0.604,3.668,3.668,12.701,0,0.000
10/1963,0.704,2.620,2.620,10.785,0,0.000
11/1963,0.733,1.834,1.834,9.685,0,0.000
12/1963,0.704,1.834,1.834,8.555,0,0.000
01/1964,0.668,1.310,1.310,7.912,0,0.000
02/1964,0.657,1.048,1.048,7.521,0,0.000
03/1964,2.993,0.786,0.786,9.729,0,0.000
04/1964,4.746,1.834,1.834,12.641,0,0.000
05/1964,2.586,1.834,1.834,13.393,0,0.000
06/1964,0.988,2.620,2.620,11.761,0,0.000
07/1964,0.662,3.144,3.144,9.279,0,0.000
08/1964,0.423,3.668,3.668,6.034,0,0.000
09/1964,0.489,3.668,3.668,2.855,0,0.000
10/1964,0.778,2.620,2.620,1.013,0,0.000
11/1964,1.367,1.834,1.834,0.546,0,0.000
12/1964,1.511,1.834,1.834,0.223,0,0.000
01/1965,1.296,1.310,1.310,0.208,0,0.000
02/1965,0.849,1.048,1.048,0.009,0,0.000
03/1965,5.600,0.786,0.786,4.823,0,0.000
04/1965,13.421,1.834,1.834,16.411,0,0.000
05/1965,9.448,1.834,2.962,22.896,0,1.128
06/1965,4.502,2.620,4.502,22.896,0,1.882
07/1965,1.453,3.144,3.144,21.205,0,0.000
08/1965,1.151,3.668,3.668,18.688,0,0.000
09/1965,1.593,3.668,3.668,16.613,0,0.000
10/1965,1.104,2.620,2.620,15.097,0,0.000
11/1965,1.127,1.834,1.834,14.390,0,0.000
12/1965,7.285,1.834,1.834,19.841,0,0.000
01/1966,3.585,1.310,1.310,22.115,0,0.000
02/1966,7.477,1.048,6.696,22.896,0,5.648
03/1966,4.136,0.786,4.136,22.896,0,3.350
04/1966,5.658,1.834,5.658,22.896,0,3.824
05/1966,3.340,1.834,3.340,22.896,0,1.506
06/1966,4.323,2.620,4.323,22.896,0,1.703
07/1966,6.157,3.144,6.157,22.896,0,3.013
08/1966,1.330,3.668,3.668,20.558,0,0.000
09/1966,2.092,3.668,3.668,18.982,0,0.000
10/1966,1.847,2.620,2.620,18.209,0,0.000
11/1966,2.544,1.834,1.834,18.919,0,0.000
12/1966,4.531,1.834,1.834,21.616,0,0.000
01/1967,4.381,1.310,3.101,22.896,0,1.791
02/1967,8.152,1.048,8.152,22.896,0,7.104
03/1967,6.867,0.786,6.867,22.896,0,6.081
04/1967,5.763,1.834,5.763,22.896,0,3.929
05/1967,1.277,1.834,1.834,22.339,0,0.000
06/1967,1.185,2.620,2.620,20.904,0,0.000
07/1967,1.138,3.144,3.144,18.898,0,0.000
08/1967,1.453,3.668,3.668,16.684,0,0.000
09/1967,1.196,3.668,3.668,14.211,0,0.000
10/1967,1.290,2.620,2.620,12.882,0,0.000
11/1967,1.424,1.834,1.834,12.472,0,0.000
12/1967,5.763,1.834,1.834,16.401,0,0.000
01/1968,7.485,1.310,1.310,22.576,0,0.000
02/1968,2.730,1.048,2.410,22.896,0,1.362
03/1968,9.419,0.786,9.419,22.896,0,8.633
04/1968,10.480,1.834,10.480,22.896,0,8.646
05/1968,3.868,1.834,3.868,22.896,0,2.034
06/1968,1.703,2.620,2.620,21.979,0,0.000
07/1968,1.876,3.144,3.144,20.711,0,0.000
08/1968,2.189,3.668,3.668,19.232,0,0.000
09/1968,3.550,3.668,3.668,19.115,0,0.000
10/1968,8.029,2.620,4.247,22.896,0,1.627
11/1968,1.953,1.834,1.953,22.896,0,0.119
12/1968,1.756,1.834,1.834,22.818,0,0.000
01/1969,1.632,1.310,1.553,22.896,0,0.243
02/1969,1.608,1.048,1.608,22.896,0,0.560
03/1969,4.649,0.786,4.649,22.896,0,3.863
04/1969,14.530,1.834,14.530,22.896,0,12.696
05/1969,7.750,1.834,7.750,22.896,0,5.916
06/1969,2.625,2.620,2.625,22.896,0,0.005
07/1969,1.987,3.144,3.144,21.739,0,0.000
08/1969,2.144,3.668,3.668,20.215,0,0.000
09/1969,2.904,3.668,3.668,19.451,0,0.000
10/1969,2.010,2.620,2.620,18.842,0,0.000
11/1969,1.138,1.834,1.834,18.145,0,0.000
12/1969,0.930,1.834,1.834,17.242,0,0.000
01/1970,0.623,1.310,1.310,16.555,0,0.000
02/1970,1.306,1.048,1.048,16.813,0,0.000
03/1970,3.516,0.786,0.786,19.543,0,0.000
04/1970,13.421,1.834,10.068,22.896,0,8.234
05/1970,10.417,1.834,10.417,22.896,0,8.583
06/1970,4.016,2.620,4.016,22.896,0,1.396
07/1970,1.598,3.144,3.144,21.350,0,0.000
08/1970,4.073,3.668,3.668,21.755,0,0.000
09/1970,1.359,3.668,3.668,19.446,0,0.000
10/1970,3.109,2.620,2.620,19.935,0,0.000
11/1970,7.534,1.834,4.573,22.896,0,2.739
12/1970,4.765,1.834,4.765,22.896,0,2.931
