Monat,Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
11/1959,0.883,1.834,1.834,13.486,0,0.000
12/1959,0.673,1.834,1.834,12.324,0,0.000
01/1960,1.842,1.310,1.310,12.857,0,0.000
02/1960,1.477,1.048,1.048,13.285,0,0.000
03/1960,4.899,0.786,0.786,17.398,0,0.000
04/1960,3.022,1.834,1.834,18.586,0,0.000
05/1960,3.014,1.834,1.834,19.767,0,0.000
06/1960,1.766,2.620,2.620,18.913,0,0.000
07/1960,1.104,3.144,3.144,16.872,0,0.000
08/1960,1.296,3.668,3.668,14.500,0,0.000
09/1960,0.668,3.668,3.668,11.499,0,0.000
10/1960,5.177,2.620,2.620,14.057,0,0.000
11/1960,3.051,1.834,1.834,15.274,0,0.000
12/1960,3.719,1.834,1.834,17.158,0,0.000
01/1961,1.535,1.310,1.310,17.383,0,0.000
02/1961,5.172,1.048,1.048,21.507,0,0.000
03/1961,6.694,0.786,0.786,27.414,0,0.000
04/1961,5.874,1.834,4.415,28.873,0,2.581
05/1961,4.294,1.834,4.294,28.873,0,2.460
06/1961,5.973,2.620,5.973,28.873,0,3.353
07/1961,1.958,3.144,3.144,27.687,0,0.000
08/1961,1.837,3.668,3.668,25.856,0,0.000
09/1961,1.214,3.668,3.668,23.402,0,0.000
10/1961,1.051,2.620,2.620,21.833,0,0.000
11/1961,1.075,1.834,1.834,21.074,0,0.000
12/1961,1.808,1.834,1.834,21.048,0,0.000
01/1962,3.062,1.310,1.310,22.800,0,0.000
02/1962,1.632,1.048,1.048,23.384,0,0.000
03/1962,2.515,0.786,0.786,25.113,0,0.000
04/1962,9.582,1.834,5.821,28.873,0,3.987
05/1962,3.771,1.834,3.771,28.873,0,1.937
06/1962,1.608,2.620,2.620,27.861,0,0.000
07/1962,1.661,3.144,3.144,26.378,0,0.000
08/1962,0.865,3.668,3.668,23.575,0,0.000
09/1962,0.849,3.668,3.668,20.756,0,0.000
10/1962,0.830,2.620,2.620,18.966,0,0.000
11/1962,1.046,1.834,1.834,18.178,0,0.000
12/1962,1.138,1.834,1.834,17.482,0,0.000
01/1963,1.064,1.310,1.310,17.236,0,0.000
02/1963,0.815,1.048,1.048,17.003,0,0.000
03/1963,3.974,0.786,0.786,20.191,0,0.000
04/1963,7.140,1.834,1.834,25.497,0,0.000
05/1963,2.284,1.834,1.834,25.947,0,0.000
06/1963,2.486,2.620,2.620,25.813,0,0.000
07/1963,1.905,3.144,3.144,24.574,0,0.000
08/1963,0.836,3.668,3.668,21.742,0,0.000
09/1963,0.604,3.668,3.668,18.678,0,0.000
10/1963,0.704,2.620,2.620,16.762,0,0.000
11/1963,0.733,1.834,1.834,15.662,0,0.000
12/1963,0.704,1.834,1.834,14.532,0,0.000
01/1964,0.668,1.310,1.310,13.889,0,0.000
02/1964,0.657,1.048,1.048,13.498,0,0.000
03/1964,2.993,0.786,0.786,15.706,0,0.000
04/1964,4.746,1.834,1.834,18.618,0,0.000
05/1964,2.586,1.834,1.834,19.370,0,0.000
06/1964,0.988,2.620,2.620,17.738,0,0.000
07/1964,0.662,3.144,3.144,15.256,0,0.000
08/1964,0.423,3.668,3.668,12.011,0,0.000
09/1964,0.489,3.668,3.668,8.832,0,0.000
10/1964,0.778,2.620,2.620,6.990,0,0.000
11/1964,1.367,1.834,1.834,6.523,0,0.000
12/1964,1.511,1.834,1.834,6.200,0,0.000
01/1965,1.296,1.310,1.310,6.185,0,0.000
02/1965,0.849,1.048,1.048,5.986,0,0.000
03/1965,5.600,0.786,0.786,10.800,0,0.000
04/1965,13.421,1.834,1.834,22.388,0,0.000
05/1965,9.448,1.834,2.962,28.873,0,1.128
06/1965,4.502,2.620,4.502,28.873,0,1.882
07/1965,1.453,3.144,3.144,27.182,0,0.000
08/1965,1.151,3.668,3.668,24.665,0,0.000
09/1965,1.593,3.668,3.668,22.590,0,0.000
10/1965,1.104,2.620,2.620,21.074,0,0.000
11/1965,1.127,1.834,1.834,20.367,0,0.000
12/1965,7.285,1.834,1.834,25.818,0,0.000
01/1966,3.585,1.310,1.310,28.092,0,0.000
02/1966,7.477,1.048,6.696,28.873,0,5.648
03/1966,4.136,0.786,4.136,28.873,0,3.350
04/1966,5.658,1.834,5.658,28.873,0,3.824
05/1966,3.340,1.834,3.340,28.873,0,1.506
06/1966,4.323,2.620,4.323,28.873,0,1.703
07/1966,6.157,3.144,6.157,28.873,0,3.013
08/1966,1.330,3.668,3.668,26.535,0,0.000
09/1966,2.092,3.668,3.668,24.959,0,0.000
10/1966,1.847,2.620,2.620,24.186,0,0.000
11/1966,2.544,1.834,1.834,24.896,0,0.000
12/1966,4.531,1.834,1.834,27.593,0,0.000
01/1967,4.381,1.310,3.101,28.873,0,1.791
02/1967,8.152,1.048,8.152,28.873,0,7.104
03/1967,6.867,0.786,6.867,28.873,0,6.081
04/1967,5.763,1.834,5.763,28.873,0,3.929
05/1967,1.277,1.834,1.834,28.316,0,0.000
06/1967,1.185,2.620,2.620,26.881,0,0.000
07/1967,1.138,3.144,3.144,24.875,0,0.000
08/1967,1.453,3.668,3.668,22.661,0,0.000
09/1967,1.196,3.668,3.668,20.188,0,0.000
10/1967,1.290,2.620,2.620,18.859,0,0.000
11/1967,1.424,1.834,1.834,18.449,0,0.000
12/1967,5.763,1.834,1.834,22.378,0,0.000
01/1968,7.485,1.310,1.310,28.553,0,0.000
02/1968,2.730,1.048,2.410,28.873,0,1.362
03/1968,9.419,0.786,9.419,28.873,0,8.633
04/1968,10.480,1.834,10.480,28.873,0,8.646
05/1968,3.868,1.834,3.868,28.873,0,2.034
06/1968,1.703,2.620,2.620,27.956,0,0.000
07/1968,1.876,3.144,3.144,26.688,0,0.000
08/1968,2.189,3.668,3.668,25.209,0,0.000
09/1968,3.550,3.668,3.668,25.092,0,0.000
10/1968,8.029,2.620,4.247,28.873,0,1.627
11/1968,1.953,1.834,1.953,28.873,0,0.119
