Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],storage,deficit,overflow
0.802,2.620,2.620,149.141,0.000,0
0.791,1.834,1.834,148.098,0.000,0
4.717,1.834,1.834,150.982,0.000,0
1.882,1.310,1.310,151.553,0.000,0
1.022,1.048,1.048,151.528,0.000,0
0.941,0.786,0.786,151.682,0.000,0
3.724,1.834,1.834,153.572,0.000,0
2.951,1.834,1.834,154.690,0.000,0
4.008,2.620,2.620,156.077,0.000,0
2.144,3.144,3.144,155.078,0.000,0
2.951,3.668,3.668,154.361,0.000,0
2.063,3.668,3.668,152.756,0.000,0
2.725,2.620,2.620,152.861,0.000,0
2.933,1.834,1.834,153.960,0.000,0
2.504,1.834,1.834,154.630,0.000,0
1.325,1.310,1.310,154.645,0.000,0
1.522,1.048,1.048,155.119,0.000,0
3.532,0.786,0.786,157.865,0.000,0
6.872,1.834,1.834,162.903,0.000,0
5.850,1.834,1.834,166.919,0.000,0
1.813,2.620,2.620,166.112,0.000,0
3.080,3.144,3.144,166.048,0.000,0
1.837,3.668,3.668,164.217,0.000,0
0.865,3.668,3.668,161.414,0.000,0
1.256,2.620,2.620,160.050,0.000,0
1.162,1.834,1.834,159.377,0.000,0
1.146,1.834,1.834,158.689,0.000,0
5.083,1.310,1.310,162.462,0.000,0
2.313,1.048,1.048,163.726,0.000,0
3.445,0.786,0.786,166.386,0.000,0
1.574,1.834,1.834,166.126,0.000,0
1.771,1.834,1.834,166.063,0.000,0
2.452,2.620,2.620,165.895,0.000,0
2.778,3.144,3.144,165.529,0.000,0
1.335,3.668,3.668,163.196,0.000,0
0.907,3.668,3.668,160.435,0.000,0
1.982,2.620,2.620,159.796,0.000,0
8.191,1.834,1.834,166.154,0.000,0
19.295,1.834,1.834,183.614,0.000,0
6.349,1.310,1.310,188.654,0.000,0
3.508,1.048,1.048,191.114,0.000,0
2.092,0.786,0.786,192.420,0.000,0
4.108,1.834,1.834,194.693,0.000,0
1.795,1.834,1.834,194.654,0.000,0
1.556,2.620,2.620,193.590,0.000,0
1.527,3.144,3.144,191.973,0.000,0
1.992,3.668,3.668,190.297,0.000,0
1.540,3.668,3.668,188.169,0.000,0
0.796,2.620,2.620,186.345,0.000,0
1.012,1.834,1.834,185.523,0.000,0
3.642,1.834,1.834,187.332,0.000,0
12.509,1.310,1.310,198.531,0.000,0
2.830,1.048,1.048,200.313,0.000,0
2.168,0.786,0.786,201.695,0.000,0
5.385,1.834,1.834,205.246,0.000,0
1.482,1.834,1.834,204.894,0.000,0
1.685,2.620,2.620,203.959,0.000,0
1.046,3.144,3.144,201.861,0.000,0
1.099,3.668,3.668,199.291,0.000,0
0.878,3.668,3.668,196.501,0.000,0
0.710,2.620,2.620,194.591,0.000,0
0.946,1.834,1.834,193.703,0.000,0
2.347,1.834,1.834,194.215,0.000,0
1.895,1.310,1.310,194.800,0.000,0
5.874,1.048,1.048,199.626,0.000,0
6.344,0.786,0.786,205.184,0.000,0
4.131,1.834,1.834,207.481,0.000,0
2.639,1.834,1.834,208.286,0.000,0
2.552,2.620,2.620,208.217,0.000,0
2.300,3.144,3.144,207.373,0.000,0
4.097,3.668,3.668,207.802,0.000,0
3.330,3.668,3.668,207.464,0.000,0
2.168,2.620,2.620,207.012,0.000,0
4.723,1.834,1.834,209.900,0.000,0
3.666,1.834,1.834,211.732,0.000,0
2.765,1.310,1.310,213.187,0.000,0
1.401,1.048,1.048,213.540,0.000,0
5.926,0.786,0.786,218.680,0.000,0
4.118,1.834,1.834,220.964,0.000,0
5.676,1.834,1.834,224.806,0.000,0
2.533,2.620,2.620,224.720,0.000,0
1.637,3.144,3.144,223.213,0.000,0
2.859,3.668,3.668,222.404,0.000,0
4.357,3.668,3.668,223.093,0.000,0
6.157,2.620,2.620,226.631,0.000,0
2.155,1.834,1.834,226.952,0.000,0
3.485,1.834,1.834,228.602,0.000,0
4.885,1.310,1.310,232.178,0.000,0
1.377,1.048,1.048,232.507,0.000,0
5.966,0.786,0.786,237.687,0.000,0
8.191,1.834,1.834,244.044,0.000,0
2.631,1.834,1.834,244.841,0.000,0
1.267,2.620,2.620,243.487,0.000,0
1.482,3.144,3.144,241.826,0.000,0
1.401,3.668,3.668,239.558,0.000,0
4.189,3.668,3.668,240.079,0.000,0
2.696,2.620,2.620,240.156,0.000,0
1.808,1.834,1.834,240.130,0.000,0
5.119,1.834,1.834,243.415,0.000,0
1.482,1.310,1.310,243.587,0.000,0
5.172,1.048,1.048,247.711,0.000,0
2.591,0.786,0.786,249.516,0.000,0
7.506,1.834,1.834,255.188,0.000,0
6.983,1.834,1.834,260.337,0.000,0
1.028,2.620,2.620,258.744,0.000,0
8.969,3.144,3.144,264.569,0.000,0
1.876,3.668,3.668,262.778,0.000,0
1.674,3.668,3.668,260.784,0.000,0
2.754,2.620,2.620,260.918,0.000,0
3.009,1.834,1.834,262.093,0.000,0
3.574,1.834,1.834,263.833,0.000,0
2.649,1.310,1.310,265.172,0.000,0
1.895,1.048,1.048,266.019,0.000,0
15.158,0.786,0.786,280.391,0.000,0
2.581,1.834,1.834,281.138,0.000,0
3.656,1.834,1.834,282.960,0.000,0
1.430,2.620,2.620,281.769,0.000,0
4.612,3.144,3.144,283.237,0.000,0
4.223,3.668,3.668,283.792,0.000,0
2.250,3.668,3.668,282.374,0.000,0
6.570,2.620,2.620,286.324,0.000,0
6.646,1.834,1.834,291.136,0.000,0
2.754,1.834,1.834,292.056,0.000,0
4.060,1.310,1.310,294.807,0.000,0
2.999,1.048,1.048,296.757,0.000,0
5.288,0.786,0.786,301.259,0.000,0
6.862,1.834,1.834,306.286,0.000,0
3.143,1.834,1.834,307.596,0.000,0
1.359,2.620,2.620,306.334,0.000,0
1.261,3.144,3.144,304.452,0.000,0
2.381,3.668,3.668,303.165,0.000,0
0.744,3.668,3.668,300.240,0.000,0
1.012,2.620,2.620,298.632,0.000,0
0.878,1.834,1.834,297.676,0.000,0
2.045,1.834,1.834,297.886,0.000,0
6.496,1.310,1.310,303.073,0.000,0
3.758,1.048,1.048,305.783,0.000,0
4.707,0.786,0.786,309.704,0.000,0
8.488,1.834,1.834,316.358,0.000,0
2.250,1.834,1.834,316.774,0.000,0
1.430,2.620,2.620,315.583,0.000,0
0.802,3.144,3.144,313.241,0.000,0
5.335,3.668,3.668,314.908,0.000,0
1.256,3.668,3.668,312.496,0.000,0
0.773,2.620,2.620,310.649,0.000,0
1.685,1.834,1.834,310.499,0.000,0
1.277,1.834,1.834,309.942,0.000,0
2.434,1.310,1.310,311.066,0.000,0
2.539,1.048,1.048,312.556,0.000,0
3.027,0.786,0.786,314.798,0.000,0
8.349,1.834,1.834,321.313,0.000,0
3.301,1.834,1.834,322.780,0.000,0
3.393,2.620,2.620,323.553,0.000,0
5.740,3.144,3.144,326.148,0.000,0
2.662,3.668,3.668,325.142,0.000,0
2.702,3.668,3.668,324.176,0.000,0
2.596,2.620,2.620,324.152,0.000,0
1.574,1.834,1.834,323.893,0.000,0
0.901,1.834,1.834,322.960,0.000,0
0.836,1.310,1.310,322.486,0.000,0
1.669,1.048,1.048,323.106,0.000,0
2.213,0.786,0.786,324.533,0.000,0
5.356,1.834,1.834,328.055,0.000,0
2.644,1.834,1.834,328.865,0.000,0
1.853,2.620,2.620,328.098,0.000,0
3.800,3.144,3.144,328.754,0.000,0
0.773,3.668,3.668,325.858,0.000,0
0.512,3.668,3.668,322.703,0.000,0
0.773,2.620,2.620,320.855,0.000,0
0.744,1.834,1.834,319.765,0.000,0
3.043,1.834,1.834,320.974,0.000,0
4.357,1.310,1.310,324.022,0.000,0
1.493,1.048,1.048,324.466,0.000,0
4.914,0.786,0.786,328.595,0.000,0
8.023,1.834,1.834,334.784,0.000,0
3.014,1.834,1.834,335.964,0.000,0
5.653,2.620,2.620,338.997,0.000,0
1.267,3.144,3.144,337.120,0.000,0
2.173,3.668,3.668,335.625,0.000,0
2.980,3.668,3.668,334.937,0.000,0
2.486,2.620,2.620,334.803,0.000,0
3.369,1.834,1.834,336.338,0.000,0
3.858,1.834,1.834,338.362,0.000,0
7.682,1.310,1.310,344.734,0.000,0
