Monat,Durchfluss_m3s,Datum
05/1976,0.564,1976-05-01
06/1976,0.641,1976-06-01
07/1976,0.398,1976-07-01
08/1976,0.418,1976-08-01
09/1976,0.334,1976-09-01
10/1976,0.27,1976-10-01
11/1976,0.36,1976-11-01
12/1976,0.893,1976-12-01
01/1977,0.721,1977-01-01
02/1977,2.235,1977-02-01
03/1977,2.414,1977-03-01
04/1977,1.572,1977-04-01
05/1977,1.004,1977-05-01
06/1977,0.971,1977-06-01
07/1977,0.875,1977-07-01
08/1977,1.559,1977-08-01
09/1977,1.267,1977-09-01
10/1977,0.825,1977-10-01
11/1977,1.797,1977-11-01
12/1977,1.395,1977-12-01
01/1978,1.052,1978-01-01
02/1978,0.533,1978-02-01
03/1978,2.255,1978-03-01
04/1978,1.567,1978-04-01
05/1978,2.16,1978-05-01
06/1978,0.964,1978-06-01
07/1978,0.623,1978-07-01
08/1978,1.088,1978-08-01
09/1978,1.658,1978-09-01
10/1978,2.343,1978-10-01
11/1978,0.82,1978-11-01
12/1978,1.326,1978-12-01
01/1979,1.859,1979-01-01
02/1979,0.524,1979-02-01
03/1979,2.27,1979-03-01
04/1979,3.117,1979-04-01
05/1979,1.001,1979-05-01
06/1979,0.482,1979-06-01
07/1979,0.564,1979-07-01
08/1979,0.533,1979-08-01
09/1979,1.594,1979-09-01
10/1979,1.026,1979-10-01
11/1979,0.688,1979-11-01
12/1979,1.948,1979-12-01
01/1980,0.564,1980-01-01
02/1980,1.968,1980-02-01
03/1980,0.986,1980-03-01
04/1980,2.856,1980-04-01
05/1980,2.657,1980-05-01
06/1980,0.391,1980-06-01
07/1980,3.413,1980-07-01
08/1980,0.714,1980-08-01
09/1980,0.637,1980-09-01
10/1980,1.048,1980-10-01
11/1980,1.145,1980-11-01
12/1980,1.36,1980-12-01
01/1981,1.008,1981-01-01
02/1981,0.721,1981-02-01
03/1981,5.768,1981-03-01
04/1981,0.982,1981-04-01
05/1981,1.391,1981-05-01
06/1981,0.544,1981-06-01
07/1981,1.755,1981-07-01
08/1981,1.607,1981-08-01
09/1981,0.856,1981-09-01
