Monat,Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
11/1959,0.883,1.834,1.834,19.959,0,0.000
12/1959,0.673,1.834,1.834,18.798,0,0.000
01/1960,1.842,1.310,1.310,19.330,0,0.000
02/1960,1.477,1.048,1.048,19.759,0,0.000
03/1960,4.899,0.786,0.786,23.872,0,0.000
04/1960,3.022,1.834,1.834,25.060,0,0.000
05/1960,3.014,1.834,1.834,26.240,0,0.000
06/1960,1.766,2.620,2.620,25.386,0,0.000
07/1960,1.104,3.144,3.144,23.346,0,0.000
08/1960,1.296,3.668,3.668,20.973,0,0.000
09/1960,0.668,3.668,3.668,17.973,0,0.000
10/1960,5.177,2.620,2.620,20.530,0,0.000
11/1960,3.051,1.834,1.834,21.747,0,0.000
12/1960,3.719,1.834,1.834,23.632,0,0.000
01/1961,1.535,1.310,1.310,23.857,0,0.000
02/1961,5.172,1.048,1.048,27.980,0,0.000
03/1961,6.694,0.786,0.786,33.888,0,0.000
04/1961,5.874,1.834,1.834,37.928,0,0.000
05/1961,4.294,1.834,1.834,40.388,0,0.000
06/1961,5.973,2.620,4.541,41.820,0,1.921
07/1961,1.958,3.144,3.144,40.634,0,0.000
08/1961,1.837,3.668,3.668,38.803,0,0.000
09/1961,1.214,3.668,3.668,36.349,0,0.000
10/1961,1.051,2.620,2.620,34.780,0,0.000
11/1961,1.075,1.834,1.834,34.021,0,0.000
12/1961,1.808,1.834,1.834,33.995,0,0.000
01/1962,3.062,1.310,1.310,35.747,0,0.000
02/1962,1.632,1.048,1.048,36.331,0,0.000
03/1962,2.515,0.786,0.786,38.060,0,0.000
04/1962,9.582,1.834,5.821,41.820,0,3.987
05/1962,3.771,1.834,3.771,41.820,0,1.937
06/1962,1.608,2.620,2.620,40.808,0,0.000
07/1962,1.661,3.144,3.144,39.325,0,0.000
08/1962,0.865,3.668,3.668,36.522,0,0.000
09/1962,0.849,3.668,3.668,33.703,0,0.000
10/1962,0.830,2.620,2.620,31.913,0,0.000
11/1962,1.046,1.834,1.834,31.125,0,0.000
12/1962,1.138,1.834,1.834,30.429,0,0.000
01/1963,1.064,1.310,1.310,30.183,0,0.000
02/1963,0.815,1.048,1.048,29.950,0,0.000
03/1963,3.974,0.786,0.786,33.138,0,0.000
04/1963,7.140,1.834,1.834,38.444,0,0.000
05/1963,2.284,1.834,1.834,38.894,0,0.000
06/1963,2.486,2.620,2.620,38.760,0,0.000
07/1963,1.905,3.144,3.144,37.521,0,0.000
08/1963,0.836,3.668,3.668,34.689,0,0.000
09/1963,0.604,3.668,3.668,31.625,0,0.000
10/1963,0.704,2.620,2.620,29.709,0,0.000
11/1963,0.733,1.834,1.834,28.609,0,0.000
12/1963,0.704,1.834,1.834,27.479,0,0.000
01/1964,0.668,1.310,1.310,26.836,0,0.000
02/1964,0.657,1.048,1.048,26.445,0,0.000
03/1964,2.993,0.786,0.786,28.653,0,0.000
04/1964,4.746,1.834,1.834,31.565,0,0.000
05/1964,2.586,1.834,1.834,32.317,0,0.000
06/1964,0.988,2.620,2.620,30.685,0,0.000
07/1964,0.662,3.144,3.144,28.203,0,0.000
08/1964,0.423,3.668,3.668,24.958,0,0.000
09/1964,0.489,3.668,3.668,21.779,0,0.000
10/1964,0.778,2.620,2.620,19.937,0,0.000
11/1964,1.367,1.834,1.834,19.470,0,0.000
12/1964,1.511,1.834,1.834,19.147,0,0.000
01/1965,1.296,1.310,1.310,19.132,0,0.000
02/1965,0.849,1.048,1.048,18.933,0,0.000
03/1965,5.600,0.786,0.786,23.747,0,0.000
04/1965,13.421,1.834,1.834,35.335,0,0.000
05/1965,9.448,1.834,2.962,41.820,0,1.128
06/1965,4.502,2.620,4.502,41.820,0,1.882
07/1965,1.453,3.144,3.144,40.129,0,0.000
08/1965,1.151,3.668,3.668,37.612,0,0.000
09/1965,1.593,3.668,3.668,35.537,0,0.000
10/1965,1.104,2.620,2.620,34.021,0,0.000
11/1965,1.127,1.834,1.834,33.314,0,0.000
12/1965,7.285,1.834,1.834,38.765,0,0.000
01/1966,3.585,1.310,1.310,41.039,0,0.000
02/1966,7.477,1.048,6.696,41.820,0,5.648
03/1966,4.136,0.786,4.136,41.820,0,3.350
