Monat,Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
04/1966,5.658,1.834,5.658,41.820,0,3.824
05/1966,3.340,1.834,3.340,41.820,0,1.506
06/1966,4.323,2.620,4.323,41.820,0,1.703
07/1966,6.157,3.144,6.157,41.820,0,3.013
08/1966,1.330,3.668,3.668,39.482,0,0.000
09/1966,2.092,3.668,3.668,37.906,0,0.000
10/1966,1.847,2.620,2.620,37.133,0,0.000
11/1966,2.544,1.834,1.834,37.843,0,0.000
12/1966,4.531,1.834,1.834,40.540,0,0.000
01/1967,4.381,1.310,3.101,41.820,0,1.791
02/1967,8.152,1.048,8.152,41.820,0,7.104
03/1967,6.867,0.786,6.867,41.820,0,6.081
04/1967,5.763,1.834,5.763,41.820,0,3.929
05/1967,1.277,1.834,1.834,41.263,0,0.000
06/1967,1.185,2.620,2.620,39.828,0,0.000
07/1967,1.138,3.144,3.144,37.822,0,0.000
08/1967,1.453,3.668,3.668,35.608,0,0.000
09/1967,1.196,3.668,3.668,33.135,0,0.000
10/1967,1.290,2.620,2.620,31.806,0,0.000
11/1967,1.424,1.834,1.834,31.396,0,0.000
12/1967,5.763,1.834,1.834,35.325,0,0.000
01/1968,7.485,1.310,1.310,41.500,0,0.000
02/1968,2.730,1.048,2.410,41.820,0,1.362
03/1968,9.419,0.786,9.419,41.820,0,8.633
04/1968,10.480,1.834,10.480,41.820,0,8.646
05/1968,3.868,1.834,3.868,41.820,0,2.034
06/1968,1.703,2.620,2.620,40.903,0,0.000
07/1968,1.876,3.144,3.144,39.635,0,0.000
08/1968,2.189,3.668,3.668,38.156,0,0.000
09/1968,3.550,3.668,3.668,38.039,0,0.000
10/1968,8.029,2.620,4.247,41.820,0,1.627
11/1968,1.953,1.834,1.953,41.820,0,0.119
12/1968,1.756,1.834,1.834,41.742,0,0.000
01/1969,1.632,1.310,1.553,41.820,0,0.243
02/1969,1.608,1.048,1.608,41.820,0,0.560
03/1969,4.649,0.786,4.649,41.820,0,3.863
04/1969,14.530,1.834,14.530,41.820,0,12.696
05/1969,7.750,1.834,7.750,41.820,0,5.916
06/1969,2.625,2.620,2.625,41.820,0,0.005
07/1969,1.987,3.144,3.144,40.663,0,0.000
08/1969,2.144,3.668,3.668,39.139,0,0.000
09/1969,2.904,3.668,3.668,38.375,0,0.000
10/1969,2.010,2.620,2.620,37.766,0,0.000
11/1969,1.138,1.834,1.834,37.069,0,0.000
12/1969,0.930,1.834,1.834,36.166,0,0.000
01/1970,0.623,1.310,1.310,35.479,0,0.000
02/1970,1.306,1.048,1.048,35.737,0,0.000
03/1970,3.516,0.786,0.786,38.467,0,0.000
04/1970,13.421,1.834,10.068,41.820,0,8.234
05/1970,10.417,1.834,10.417,41.820,0,8.583
06/1970,4.016,2.620,4.016,41.820,0,1.396
07/1970,1.598,3.144,3.144,40.274,0,0.000
08/1970,4.073,3.668,3.668,40.679,0,0.000
09/1970,1.359,3.668,3.668,38.370,0,0.000
10/1970,3.109,2.620,2.620,38.859,0,0.000
11/1970,7.534,1.834,4.573,41.820,0,2.739
12/1970,4.765,1.834,4.765,41.820,0,2.931
01/1971,2.092,1.310,2.092,41.820,0,0.782
02/1971,2.778,1.048,2.778,41.820,0,1.730
03/1971,4.428,0.786,4.428,41.820,0,3.642
04/1971,6.972,1.834,6.972,41.820,0,5.138
05/1971,3.125,1.834,3.125,41.820,0,1.291
06/1971,5.164,2.620,5.164,41.820,0,2.544
07/1971,2.097,3.144,3.144,40.773,0,0.000
08/1971,1.085,3.668,3.668,38.191,0,0.000
09/1971,0.888,3.668,3.668,35.411,0,0.000
10/1971,0.802,2.620,2.620,33.592,0,0.000
11/1971,0.791,1.834,1.834,32.549,0,0.000
12/1971,4.717,1.834,1.834,35.433,0,0.000
01/1972,1.882,1.310,1.310,36.004,0,0.000
02/1972,1.022,1.048,1.048,35.979,0,0.000
03/1972,0.941,0.786,0.786,36.133,0,0.000
04/1972,3.724,1.834,1.834,38.023,0,0.000
05/1972,2.951,1.834,1.834,39.140,0,0.000
06/1972,4.008,2.620,2.620,40.528,0,0.000
07/1972,2.144,3.144,3.144,39.529,0,0.000
08/1972,2.951,3.668,3.668,38.812,0,0.000
09/1972,2.063,3.668,3.668,37.207,0,0.000
10/1972,2.725,2.620,2.620,37.312,0,0.000
11/1972,2.933,1.834,1.834,38.411,0,0.000
12/1972,2.504,1.834,1.834,39.081,0,0.000
01/1973,1.325,1.310,1.310,39.096,0,0.000
02/1973,1.522,1.048,1.048,39.570,0,0.000
03/1973,3.532,0.786,1.282,41.820,0,0.496
04/1973,6.872,1.834,6.872,41.820,0,5.038
05/1973,5.850,1.834,5.850,41.820,0,4.016
06/1973,1.813,2.620,2.620,41.013,0,0.000
07/1973,3.080,3.144,3.144,40.949,0,0.000
08/1973,1.837,3.668,3.668,39.118,0,0.000
09/1973,0.865,3.668,3.668,36.315,0,0.000
10/1973,1.256,2.620,2.620,34.951,0,0.000
11/1973,1.162,1.834,1.834,34.279,0,0.000
12/1973,1.146,1.834,1.834,33.590,0,0.000
01/1974,5.083,1.310,1.310,37.363,0,0.000
02/1974,2.313,1.048,1.048,38.628,0,0.000
03/1974,3.445,0.786,0.786,41.287,0,0.000
04/1974,1.574,1.834,1.834,41.027,0,0.000
05/1974,1.771,1.834,1.834,40.964,0,0.000
06/1974,2.452,2.620,2.620,40.796,0,0.000
07/1974,2.778,3.144,3.144,40.430,0,0.000
08/1974,1.335,3.668,3.668,38.097,0,0.000
09/1974,0.907,3.668,3.668,35.336,0,0.000
10/1974,1.982,2.620,2.620,34.697,0,0.000
11/1974,8.191,1.834,1.834,41.055,0,0.000
12/1974,19.295,1.834,18.530,41.820,0,16.696
01/1975,6.349,1.310,6.349,41.820,0,5.039
02/1975,3.508,1.048,3.508,41.820,0,2.460
03/1975,2.092,0.786,2.092,41.820,0,1.306
04/1975,4.108,1.834,4.108,41.820,0,2.274
05/1975,1.795,1.834,1.834,41.781,0,0.000
06/1975,1.556,2.620,2.620,40.717,0,0.000
07/1975,1.527,3.144,3.144,39.100,0,0.000
08/1975,1.992,3.668,3.668,37.424,0,0.000
09/1975,1.540,3.668,3.668,35.296,0,0.000
10/1975,0.796,2.620,2.620,33.472,0,0.000
11/1975,1.012,1.834,1.834,32.650,0,0.000
12/1975,3.642,1.834,1.834,34.458,0,0.000
01/1976,12.509,1.310,5.147,41.820,0,3.837
02/1976,2.830,1.048,2.830,41.820,0,1.782
03/1976,2.168,0.786,2.168,41.820,0,1.382
04/1976,5.385,1.834,5.385,41.820,0,3.551
05/1976,1.482,1.834,1.834,41.468,0,0.000
06/1976,1.685,2.620,2.620,40.533,0,0.000
07/1976,1.046,3.144,3.144,38.435,0,0.000
08/1976,1.099,3.668,3.668,35.865,0,0.000
09/1976,0.878,3.668,3.668,33.075,0,0.000
10/1976,0.710,2.620,2.620,31.165,0,0.000
11/1976,0.946,1.834,1.834,30.277,0,0.000
12/1976,2.347,1.834,1.834,30.789,0,0.000
01/1977,1.895,1.310,1.310,31.374,0,0.000
02/1977,5.874,1.048,1.048,36.200,0,0.000
03/1977,6.344,0.786,0.786,41.758,0,0.000
04/1977,4.131,1.834,4.069,41.820,0,2.235
05/1977,2.639,1.834,2.639,41.820,0,0.805
06/1977,2.552,2.620,2.620,41.752,0,0.000
07/1977,2.300,3.144,3.144,40.907,0,0.000
08/1977,4.097,3.668,3.668,41.336,0,0.000
09/1977,3.330,3.668,3.668,40.998,0,0.000
10/1977,2.168,2.620,2.620,40.546,0,0.000
11/1977,4.723,1.834,3.449,41.820,0,1.615
12/1977,3.666,1.834,3.666,41.820,0,1.832
01/1978,2.765,1.310,2.765,41.820,0,1.455
02/1978,1.401,1.048,1.401,41.820,0,0.353
03/1978,5.926,0.786,5.926,41.820,0,5.140
04/1978,4.118,1.834,4.118,41.820,0,2.284
05/1978,5.676,1.834,5.676,41.820,0,3.842
06/1978,2.533,2.620,2.620,41.733,0,0.000
07/1978,1.637,3.144,3.144,40.227,0,0.000
08/1978,2.859,3.668,3.668,39.418,0,0.000
09/1978,4.357,3.668,3.668,40.107,0,0.000
10/1978,6.157,2.620,4.445,41.820,0,1.825
11/1978,2.155,1.834,2.155,41.820,0,0.321
12/1978,3.485,1.834,3.485,41.820,0,1.651
01/1979,4.885,1.310,4.885,41.820,0,3.575
02/1979,1.377,1.048,1.377,41.820,0,0.329
03/1979,5.966,0.786,5.966,41.820,0,5.180
04/1979,8.191,1.834,8.191,41.820,0,6.357
05/1979,2.631,1.834,2.631,41.820,0,0.797
06/1979,1.267,2.620,2.620,40.467,0,0.000
07/1979,1.482,3.144,3.144,38.805,0,0.000
08/1979,1.401,3.668,3.668,36.538,0,0.000
09/1979,4.189,3.668,3.668,37.059,0,0.000
10/1979,2.696,2.620,2.620,37.135,0,0.000
11/1979,1.808,1.834,1.834,37.109,0,0.000
12/1979,5.119,1.834,1.834,40.394,0,0.000
01/1980,1.482,1.310,1.310,40.567,0,0.000
02/1980,5.172,1.048,3.918,41.820,0,2.870
03/1980,2.591,0.786,2.591,41.820,0,1.805
04/1980,7.506,1.834,7.506,41.820,0,5.672
05/1980,6.983,1.834,6.983,41.820,0,5.149
06/1980,1.028,2.620,2.620,40.228,0,0.000
07/1980,8.969,3.144,7.377,41.820,0,4.233
08/1980,1.876,3.668,3.668,40.028,0,0.000
09/1980,1.674,3.668,3.668,38.034,0,0.000
10/1980,2.754,2.620,2.620,38.169,0,0.000
11/1980,3.009,1.834,1.834,39.344,0,0.000
12/1980,3.574,1.834,1.834,41.084,0,0.000
01/1981,2.649,1.310,1.913,41.820,0,0.603
02/1981,1.895,1.048,1.895,41.820,0,0.847
03/1981,15.158,0.786,15.158,41.820,0,14.372
04/1981,2.581,1.834,2.581,41.820,0,0.747
05/1981,3.656,1.834,3.656,41.820,0,1.822
06/1981,1.430,2.620,2.620,40.630,0,0.000
07/1981,4.612,3.144,3.422,41.820,0,0.278
08/1981,4.223,3.668,4.223,41.820,0,0.555
09/1981,2.250,3.668,3.668,40.402,0,0.000
10/1981,6.570,2.620,5.152,41.820,0,2.532
11/1981,6.646,1.834,6.646,41.820,0,4.812
12/1981,2.754,1.834,2.754,41.820,0,0.920
01/1982,4.060,1.310,4.060,41.820,0,2.750
02/1982,2.999,1.048,2.999,41.820,0,1.951
03/1982,5.288,0.786,5.288,41.820,0,4.502
04/1982,6.862,1.834,6.862,41.820,0,5.028
05/1982,3.143,1.834,3.143,41.820,0,1.309
06/1982,1.359,2.620,2.620,40.559,0,0.000
07/1982,1.261,3.144,3.144,38.676,0,0.000
08/1982,2.381,3.668,3.668,37.389,0,0.000
09/1982,0.744,3.668,3.668,34.465,0,0.000
10/1982,1.012,2.620,2.620,32.857,0,0.000
11/1982,0.878,1.834,1.834,31.900,0,0.000
12/1982,2.045,1.834,1.834,32.111,0,0.000
01/1983,6.496,1.310,1.310,37.297,0,0.000
02/1983,3.758,1.048,1.048,40.007,0,0.000
03/1983,4.707,0.786,2.894,41.820,0,2.108
04/1983,8.488,1.834,8.488,41.820,0,6.654
05/1983,2.250,1.834,2.250,41.820,0,0.416
06/1983,1.430,2.620,2.620,40.630,0,0.000
07/1983,0.802,3.144,3.144,38.287,0,0.000
08/1983,5.335,3.668,3.668,39.954,0,0.000
09/1983,1.256,3.668,3.668,37.542,0,0.000
10/1983,0.773,2.620,2.620,35.695,0,0.000
11/1983,1.685,1.834,1.834,35.545,0,0.000
12/1983,1.277,1.834,1.834,34.989,0,0.000
01/1984,2.434,1.310,1.310,36.112,0,0.000
02/1984,2.539,1.048,1.048,37.603,0,0.000
03/1984,3.027,0.786,0.786,39.844,0,0.000
04/1984,8.349,1.834,6.373,41.820,0,4.539
05/1984,3.301,1.834,3.301,41.820,0,1.467
06/1984,3.393,2.620,3.393,41.820,0,0.773
07/1984,5.740,3.144,5.740,41.820,0,2.596
08/1984,2.662,3.668,3.668,40.814,0,0.000
09/1984,2.702,3.668,3.668,39.848,0,0.000
10/1984,2.596,2.620,2.620,39.824,0,0.000
11/1984,1.574,1.834,1.834,39.564,0,0.000
12/1984,0.901,1.834,1.834,38.632,0,0.000
01/1985,0.836,1.310,1.310,38.157,0,0.000
02/1985,1.669,1.048,1.048,38.778,0,0.000
03/1985,2.213,0.786,0.786,40.205,0,0.000
04/1985,5.356,1.834,3.741,41.820,0,1.907
05/1985,2.644,1.834,2.644,41.820,0,0.810
06/1985,1.853,2.620,2.620,41.053,0,0.000
07/1985,3.800,3.144,3.144,41.709,0,0.000
08/1985,0.773,3.668,3.668,38.813,0,0.000
09/1985,0.512,3.668,3.668,35.658,0,0.000
10/1985,0.773,2.620,2.620,33.811,0,0.000
11/1985,0.744,1.834,1.834,32.720,0,0.000
12/1985,3.043,1.834,1.834,33.929,0,0.000
01/1986,4.357,1.310,1.310,36.977,0,0.000
02/1986,1.493,1.048,1.048,37.421,0,0.000
03/1986,4.914,0.786,0.786,41.550,0,0.000
04/1986,8.023,1.834,7.753,41.820,0,5.919
05/1986,3.014,1.834,3.014,41.820,0,1.180
06/1986,5.653,2.620,5.653,41.820,0,3.033
07/1986,1.267,3.144,3.144,39.943,0,0.000
08/1986,2.173,3.668,3.668,38.448,0,0.000
09/1986,2.980,3.668,3.668,37.760,0,0.000
10/1986,2.486,2.620,2.620,37.626,0,0.000
11/1986,3.369,1.834,1.834,39.161,0,0.000
12/1986,3.858,1.834,1.834,41.185,0,0.000
01/1987,7.682,1.310,7.047,41.820,0,5.737
02/1987,2.712,1.048,2.712,41.820,0,1.664
03/1987,5.054,0.786,5.054,41.820,0,4.268
04/1987,15.839,1.834,15.839,41.820,0,14.005
05/1987,3.440,1.834,3.440,41.820,0,1.606
06/1987,3.758,2.620,3.758,41.820,0,1.138
07/1987,2.039,3.144,3.144,40.715,0,0.000
08/1987,2.754,3.668,3.668,39.801,0,0.000
09/1987,2.696,3.668,3.668,38.830,0,0.000
10/1987,1.416,2.620,2.620,37.626,0,0.000
11/1987,2.596,1.834,1.834,38.389,0,0.000
12/1987,7.779,1.834,4.348,41.820,0,2.514
01/1988,3.038,1.310,3.038,41.820,0,1.728
02/1988,3.004,1.048,3.004,41.820,0,1.956
03/1988,5.322,0.786,5.322,41.820,0,4.536
04/1988,13.503,1.834,13.503,41.820,0,11.669
05/1988,2.168,1.834,2.168,41.820,0,0.334
06/1988,0.946,2.620,2.620,40.146,0,0.000
07/1988,0.917,3.144,3.144,37.919,0,0.000
08/1988,0.783,3.668,3.668,35.034,0,0.000
09/1988,1.022,3.668,3.668,32.389,0,0.000
10/1988,1.064,2.620,2.620,30.833,0,0.000
11/1988,2.389,1.834,1.834,31.388,0,0.000
12/1988,8.814,1.834,1.834,38.368,0,0.000
01/1989,6.084,1.310,2.632,41.820,0,1.322
02/1989,2.021,1.048,2.021,41.820,0,0.973
03/1989,4.817,0.786,4.817,41.820,0,4.031
04/1989,1.238,1.834,1.834,41.224,0,0.000
05/1989,1.748,1.834,1.834,41.137,0,0.000
06/1989,0.725,2.620,2.620,39.243,0,0.000
07/1989,0.773,3.144,3.144,36.871,0,0.000
08/1989,0.633,3.668,3.668,33.837,0,0.000
09/1989,0.512,3.668,3.668,30.681,0,0.000
10/1989,1.424,2.620,2.620,29.486,0,0.000
11/1989,2.552,1.834,1.834,30.203,0,0.000
12/1989,3.771,1.834,1.834,32.141,0,0.000
01/1990,2.300,1.310,1.310,33.130,0,0.000
02/1990,3.987,1.048,1.048,36.069,0,0.000
03/1990,6.128,0.786,0.786,41.411,0,0.000
04/1990,3.737,1.834,3.328,41.820,0,1.494
05/1990,2.707,1.834,2.707,41.820,0,0.873
06/1990,1.992,2.620,2.620,41.192,0,0.000
07/1990,1.564,3.144,3.144,39.612,0,0.000
08/1990,0.854,3.668,3.668,36.798,0,0.000
09/1990,2.441,3.668,3.668,35.571,0,0.000
10/1990,1.934,2.620,2.620,34.885,0,0.000
11/1990,3.335,1.834,1.834,36.386,0,0.000
12/1990,1.992,1.834,1.834,36.544,0,0.000
01/1991,3.235,1.310,1.310,38.469,0,0.000
02/1991,1.214,1.048,1.048,38.636,0,0.000
03/1991,1.477,0.786,0.786,39.327,0,0.000
04/1991,1.296,1.834,1.834,38.788,0,0.000
05/1991,2.039,1.834,1.834,38.993,0,0.000
06/1991,2.773,2.620,2.620,39.146,0,0.000
07/1991,1.430,3.144,3.144,37.432,0,0.000
08/1991,1.196,3.668,3.668,34.959,0,0.000
09/1991,0.512,3.668,3.668,31.804,0,0.000
10/1991,0.528,2.620,2.620,29.712,0,0.000
11/1991,1.330,1.834,1.834,29.208,0,0.000
12/1991,4.399,1.834,1.834,31.773,0,0.000
01/1992,7.240,1.310,1.310,37.703,0,0.000
02/1992,6.623,1.048,2.506,41.820,0,1.458
03/1992,10.023,0.786,10.023,41.820,0,9.237
04/1992,5.340,1.834,5.340,41.820,0,3.506
05/1992,3.214,1.834,3.214,41.820,0,1.380
06/1992,0.820,2.620,2.620,40.020,0,0.000
07/1992,1.196,3.144,3.144,38.072,0,0.000
08/1992,0.844,3.668,3.668,35.247,0,0.000
09/1992,0.783,3.668,3.668,32.362,0,0.000
10/1992,0.930,2.620,2.620,30.673,0,0.000
11/1992,3.259,1.834,1.834,32.097,0,0.000
12/1992,1.727,1.834,1.834,31.990,0,0.000
01/1993,2.788,1.310,1.310,33.468,0,0.000
02/1993,2.168,1.048,1.048,34.588,0,0.000
03/1993,3.666,0.786,0.786,37.469,0,0.000
04/1993,1.028,1.834,1.834,36.662,0,0.000
05/1993,1.109,1.834,1.834,35.937,0,0.000
06/1993,1.574,2.620,2.620,34.891,0,0.000
07/1993,2.381,3.144,3.144,34.128,0,0.000
08/1993,1.958,3.668,3.668,32.418,0,0.000
09/1993,1.493,3.668,3.668,30.243,0,0.000
10/1993,1.146,2.620,2.620,28.769,0,0.000
11/1993,1.056,1.834,1.834,27.991,0,0.000
12/1993,6.118,1.834,1.834,32.275,0,0.000
01/1994,4.171,1.310,1.310,35.136,0,0.000
02/1994,2.184,1.048,1.048,36.272,0,0.000
03/1994,3.091,0.786,0.786,38.576,0,0.000
04/1994,2.883,1.834,1.834,39.625,0,0.000
05/1994,2.097,1.834,1.834,39.888,0,0.000
06/1994,1.779,2.620,2.620,39.047,0,0.000
07/1994,3.096,3.144,3.144,38.999,0,0.000
08/1994,3.075,3.668,3.668,38.406,0,0.000
09/1994,2.226,3.668,3.668,36.964,0,0.000
10/1994,1.742,2.620,2.620,36.086,0,0.000
11/1994,2.331,1.834,1.834,36.583,0,0.000
12/1994,4.828,1.834,1.834,39.577,0,0.000
01/1995,5.624,1.310,3.381,41.820,0,2.071
02/1995,5.758,1.048,5.758,41.820,0,4.710
03/1995,2.662,0.786,2.662,41.820,0,1.876
04/1995,9.337,1.834,9.337,41.820,0,7.503
05/1995,2.116,1.834,2.116,41.820,0,0.282
06/1995,2.278,2.620,2.620,41.478,0,0.000
07/1995,1.464,3.144,3.144,39.798,0,0.000
08/1995,0.872,3.668,3.668,37.003,0,0.000
09/1995,6.641,3.668,3.668,39.976,0,0.000
10/1995,2.654,2.620,2.620,40.010,0,0.000
11/1995,6.013,1.834,4.203,41.820,0,2.369
12/1995,2.754,1.834,2.754,41.820,0,0.920
01/1996,1.685,1.310,1.685,41.820,0,0.375
02/1996,0.557,1.048,1.048,41.329,0,0.000
03/1996,1.051,0.786,0.786,41.594,0,0.000
04/1996,3.038,1.834,2.812,41.820,0,0.978
05/1996,2.265,1.834,2.265,41.820,0,0.431
06/1996,1.819,2.620,2.620,41.019,0,0.000
07/1996,6.176,3.144,5.374,41.820,0,2.230
08/1996,1.343,3.668,3.668,39.495,0,0.000
09/1996,2.730,3.668,3.668,38.557,0,0.000
10/1996,4.194,2.620,2.620,40.132,0,0.000
11/1996,3.062,1.834,1.834,41.359,0,0.000
12/1996,1.876,1.834,1.834,41.402,0,0.000
01/1997,1.175,1.310,1.310,41.266,0,0.000
02/1997,4.160,1.048,3.607,41.820,0,2.559
03/1997,6.257,0.786,6.257,41.820,0,5.471
04/1997,3.729,1.834,3.729,41.820,0,1.895
05/1997,1.800,1.834,1.834,41.786,0,0.000
06/1997,0.783,2.620,2.620,39.949,0,0.000
07/1997,0.936,3.144,3.144,37.741,0,0.000
08/1997,1.109,3.668,3.668,35.182,0,0.000
09/1997,0.778,3.668,3.668,32.292,0,0.000
10/1997,1.122,2.620,2.620,30.794,0,0.000
11/1997,0.970,1.834,1.834,29.930,0,0.000
12/1997,3.824,1.834,1.834,31.919,0,0.000
01/1998,2.765,1.310,1.310,33.374,0,0.000
02/1998,2.197,1.048,1.048,34.523,0,0.000
03/1998,6.954,0.786,0.786,40.691,0,0.000
04/1998,1.813,1.834,1.834,40.670,0,0.000
05/1998,0.917,1.834,1.834,39.753,0,0.000
06/1998,0.975,2.620,2.620,38.108,0,0.000
07/1998,1.603,3.144,3.144,36.567,0,0.000
08/1998,1.219,3.668,3.668,34.119,0,0.000
09/1998,4.683,3.668,3.668,35.134,0,0.000
10/1998,4.544,2.620,2.620,37.058,0,0.000
11/1998,6.194,1.834,1.834,41.418,0,0.000
12/1998,3.829,1.834,3.427,41.820,0,1.593
01/1999,3.296,1.310,3.296,41.820,0,1.986
02/1999,3.997,1.048,3.997,41.820,0,2.949
03/1999,8.517,0.786,8.517,41.820,0,7.731
04/1999,3.277,1.834,3.277,41.820,0,1.443
05/1999,1.685,1.834,1.834,41.671,0,0.000
06/1999,1.185,2.620,2.620,40.236,0,0.000
07/1999,1.401,3.144,3.144,38.492,0,0.000
08/1999,0.668,3.668,3.668,35.492,0,0.000
09/1999,0.423,3.668,3.668,32.247,0,0.000
10/1999,0.662,2.620,2.620,30.289,0,0.000
