Monat,Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
06/1969,2.625,2.620,2.625,100.000,0,0.005
07/1969,1.987,3.144,3.144,98.843,0,0.000
08/1969,2.144,3.668,3.668,97.319,0,0.000
09/1969,2.904,3.668,3.668,96.555,0,0.000
10/1969,2.010,2.620,2.620,95.946,0,0.000
11/1969,1.138,1.834,1.834,95.250,0,0.000
12/1969,0.930,1.834,1.834,94.346,0,0.000
01/1970,0.623,1.310,1.310,93.659,0,0.000
02/1970,1.306,1.048,1.048,93.917,0,0.000
03/1970,3.516,0.786,0.786,96.647,0,0.000
04/1970,13.421,1.834,10.068,100.000,0,8.234
05/1970,10.417,1.834,10.417,100.000,0,8.583
06/1970,4.016,2.620,4.016,100.000,0,1.396
07/1970,1.598,3.144,3.144,98.454,0,0.000
08/1970,4.073,3.668,3.668,98.859,0,0.000
09/1970,1.359,3.668,3.668,96.550,0,0.000
10/1970,3.109,2.620,2.620,97.039,0,0.000
11/1970,7.534,1.834,4.573,100.000,0,2.739
12/1970,4.765,1.834,4.765,100.000,0,2.931
01/1971,2.092,1.310,2.092,100.000,0,0.782
02/1971,2.778,1.048,2.778,100.000,0,1.730
03/1971,4.428,0.786,4.428,100.000,0,3.642
04/1971,6.972,1.834,6.972,100.000,0,5.138
05/1971,3.125,1.834,3.125,100.000,0,1.291
06/1971,5.164,2.620,5.164,100.000,0,2.544
07/1971,2.097,3.144,3.144,98.953,0,0.000
08/1971,1.085,3.668,3.668,96.371,0,0.000
09/1971,0.888,3.668,3.668,93.591,0,0.000
10/1971,0.802,2.620,2.620,91.772,0,0.000
11/1971,0.791,1.834,1.834,90.729,0,0.000
12/1971,4.717,1.834,1.834,93.613,0,0.000
01/1972,1.882,1.310,1.310,94.184,0,0.000
02/1972,1.022,1.048,1.048,94.159,0,0.000
03/1972,0.941,0.786,0.786,94.313,0,0.000
04/1972,3.724,1.834,1.834,96.203,0,0.000
05/1972,2.951,1.834,1.834,97.320,0,0.000
06/1972,4.008,2.620,2.620,98.708,0,0.000
07/1972,2.144,3.144,3.144,97.709,0,0.000
08/1972,2.951,3.668,3.668,96.992,0,0.000
09/1972,2.063,3.668,3.668,95.387,0,0.000
10/1972,2.725,2.620,2.620,95.492,0,0.000
11/1972,2.933,1.834,1.834,96.591,0,0.000
12/1972,2.504,1.834,1.834,97.261,0,0.000
01/1973,1.325,1.310,1.310,97.276,0,0.000
02/1973,1.522,1.048,1.048,97.750,0,0.000
03/1973,3.532,0.786,1.282,100.000,0,0.496
04/1973,6.872,1.834,6.872,100.000,0,5.038
05/1973,5.850,1.834,5.850,100.000,0,4.016
06/1973,1.813,2.620,2.620,99.193,0,0.000
07/1973,3.080,3.144,3.144,99.129,0,0.000
08/1973,1.837,3.668,3.668,97.298,0,0.000
09/1973,0.865,3.668,3.668,94.495,0,0.000
10/1973,1.256,2.620,2.620,93.131,0,0.000
11/1973,1.162,1.834,1.834,92.459,0,0.000
12/1973,1.146,1.834,1.834,91.770,0,0.000
01/1974,5.083,1.310,1.310,95.543,0,0.000
02/1974,2.313,1.048,1.048,96.808,0,0.000
03/1974,3.445,0.786,0.786,99.467,0,0.000
04/1974,1.574,1.834,1.834,99.207,0,0.000
05/1974,1.771,1.834,1.834,99.144,0,0.000
06/1974,2.452,2.620,2.620,98.976,0,0.000
07/1974,2.778,3.144,3.144,98.610,0,0.000
08/1974,1.335,3.668,3.668,96.277,0,0.000
09/1974,0.907,3.668,3.668,93.516,0,0.000
10/1974,1.982,2.620,2.620,92.877,0,0.000
11/1974,8.191,1.834,1.834,99.235,0,0.000
12/1974,19.295,1.834,18.530,100.000,0,16.696
01/1975,6.349,1.310,6.349,100.000,0,5.039
02/1975,3.508,1.048,3.508,100.000,0,2.460
03/1975,2.092,0.786,2.092,100.000,0,1.306
04/1975,4.108,1.834,4.108,100.000,0,2.274
05/1975,1.795,1.834,1.834,99.961,0,0.000
06/1975,1.556,2.620,2.620,98.897,0,0.000
07/1975,1.527,3.144,3.144,97.280,0,0.000
08/1975,1.992,3.668,3.668,95.604,0,0.000
09/1975,1.540,3.668,3.668,93.476,0,0.000
10/1975,0.796,2.620,2.620,91.652,0,0.000
11/1975,1.012,1.834,1.834,90.830,0,0.000
12/1975,3.642,1.834,1.834,92.638,0,0.000
01/1976,12.509,1.310,5.147,100.000,0,3.837
02/1976,2.830,1.048,2.830,100.000,0,1.782
03/1976,2.168,0.786,2.168,100.000,0,1.382
04/1976,5.385,1.834,5.385,100.000,0,3.551
05/1976,1.482,1.834,1.834,99.648,0,0.000
06/1976,1.685,2.620,2.620,98.713,0,0.000
07/1976,1.046,3.144,3.144,96.615,0,0.000
08/1976,1.099,3.668,3.668,94.045,0,0.000
09/1976,0.878,3.668,3.668,91.255,0,0.000
10/1976,0.710,2.620,2.620,89.344,0,0.000
11/1976,0.946,1.834,1.834,88.457,0,0.000
12/1976,2.347,1.834,1.834,88.969,0,0.000
01/1977,1.895,1.310,1.310,89.554,0,0.000
02/1977,5.874,1.048,1.048,94.380,0,0.000
03/1977,6.344,0.786,0.786,99.938,0,0.000
04/1977,4.131,1.834,4.069,100.000,0,2.235
05/1977,2.639,1.834,2.639,100.000,0,0.805
06/1977,2.552,2.620,2.620,99.932,0,0.000
07/1977,2.300,3.144,3.144,99.087,0,0.000
08/1977,4.097,3.668,3.668,99.516,0,0.000
09/1977,3.330,3.668,3.668,99.178,0,0.000
10/1977,2.168,2.620,2.620,98.726,0,0.000
11/1977,4.723,1.834,3.449,100.000,0,1.615
12/1977,3.666,1.834,3.666,100.000,0,1.832
01/1978,2.765,1.310,2.765,100.000,0,1.455
02/1978,1.401,1.048,1.401,100.000,0,0.353
03/1978,5.926,0.786,5.926,100.000,0,5.140
04/1978,4.118,1.834,4.118,100.000,0,2.284
05/1978,5.676,1.834,5.676,100.000,0,3.842
06/1978,2.533,2.620,2.620,99.913,0,0.000
07/1978,1.637,3.144,3.144,98.407,0,0.000
08/1978,2.859,3.668,3.668,97.598,0,0.000
09/1978,4.357,3.668,3.668,98.287,0,0.000
10/1978,6.157,2.620,4.445,100.000,0,1.825
11/1978,2.155,1.834,2.155,100.000,0,0.321
12/1978,3.485,1.834,3.485,100.000,0,1.651
01/1979,4.885,1.310,4.885,100.000,0,3.575
02/1979,1.377,1.048,1.377,100.000,0,0.329
03/1979,5.966,0.786,5.966,100.000,0,5.180
04/1979,8.191,1.834,8.191,100.000,0,6.357
05/1979,2.631,1.834,2.631,100.000,0,0.797
06/1979,1.267,2.620,2.620,98.647,0,0.000
07/1979,1.482,3.144,3.144,96.985,0,0.000
08/1979,1.401,3.668,3.668,94.718,0,0.000
09/1979,4.189,3.668,3.668,95.239,0,0.000
10/1979,2.696,2.620,2.620,95.315,0,0.000
11/1979,1.808,1.834,1.834,95.289,0,0.000
12/1979,5.119,1.834,1.834,98.574,0,0.000
01/1980,1.482,1.310,1.310,98.747,0,0.000
02/1980,5.172,1.048,3.918,100.000,0,2.870
03/1980,2.591,0.786,2.591,100.000,0,1.805
04/1980,7.506,1.834,7.506,100.000,0,5.672
05/1980,6.983,1.834,6.983,100.000,0,5.149
06/1980,1.028,2.620,2.620,98.408,0,0.000
07/1980,8.969,3.144,7.377,100.000,0,4.233
08/1980,1.876,3.668,3.668,98.208,0,0.000
09/1980,1.674,3.668,3.668,96.214,0,0.000
10/1980,2.754,2.620,2.620,96.349,0,0.000
11/1980,3.009,1.834,1.834,97.524,0,0.000
12/1980,3.574,1.834,1.834,99.264,0,0.000
01/1981,2.649,1.310,1.913,100.000,0,0.603
02/1981,1.895,1.048,1.895,100.000,0,0.847
03/1981,15.158,0.786,15.158,100.000,0,14.372
04/1981,2.581,1.834,2.581,100.000,0,0.747
05/1981,3.656,1.834,3.656,100.000,0,1.822
06/1981,1.430,2.620,2.620,98.810,0,0.000
07/1981,4.612,3.144,3.422,100.000,0,0.278
08/1981,4.223,3.668,4.223,100.000,0,0.555
09/1981,2.250,3.668,3.668,98.582,0,0.000
10/1981,6.570,2.620,5.152,100.000,0,2.532
11/1981,6.646,1.834,6.646,100.000,0,4.812
12/1981,2.754,1.834,2.754,100.000,0,0.920
01/1982,4.060,1.310,4.060,100.000,0,2.750
02/1982,2.999,1.048,2.999,100.000,0,1.951
03/1982,5.288,0.786,5.288,100.000,0,4.502
04/1982,6.862,1.834,6.862,100.000,0,5.028
05/1982,3.143,1.834,3.143,100.000,0,1.309
06/1982,1.359,2.620,2.620,98.739,0,0.000
07/1982,1.261,3.144,3.144,96.856,0,0.000
08/1982,2.381,3.668,3.668,95.569,0,0.000
09/1982,0.744,3.668,3.668,92.645,0,0.000
10/1982,1.012,2.620,2.620,91.037,0,0.000
11/1982,0.878,1.834,1.834,90.080,0,0.000
12/1982,2.045,1.834,1.834,90.291,0,0.000
01/1983,6.496,1.310,1.310,95.477,0,0.000
02/1983,3.758,1.048,1.048,98.187,0,0.000
03/1983,4.707,0.786,2.894,100.000,0,2.108
04/1983,8.488,1.834,8.488,100.000,0,6.654
05/1983,2.250,1.834,2.250,100.000,0,0.416
06/1983,1.430,2.620,2.620,98.810,0,0.000
