Monat,Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
11/1959,0.883,1.834,1.834,5.011,0.000,0.000
12/1959,0.673,1.834,1.834,3.849,0.000,0.000
01/1960,1.842,1.310,1.310,4.382,0.000,0.000
02/1960,1.477,1.048,1.048,4.810,0.000,0.000
03/1960,4.899,0.786,0.786,8.923,0.000,0.000
04/1960,3.022,1.834,1.834,10.111,0.000,0.000
05/1960,3.014,1.834,1.834,11.292,0.000,0.000
06/1960,1.766,2.620,2.620,10.438,0.000,0.000
07/1960,1.104,3.144,3.144,8.397,0.000,0.000
08/1960,1.296,3.668,3.668,6.025,0.000,0.000
09/1960,0.668,3.668,3.668,3.024,0.000,0.000
10/1960,5.177,2.620,2.620,5.582,0.000,0.000
11/1960,3.051,1.834,1.834,6.799,0.000,0.000
12/1960,3.719,1.834,1.834,8.683,0.000,0.000
01/1961,1.535,1.310,1.310,8.908,0.000,0.000
02/1961,5.172,1.048,2.157,11.923,0.000,1.109
03/1961,6.694,0.786,6.694,11.923,0.000,5.908
04/1961,5.874,1.834,5.874,11.923,0.000,4.040
05/1961,4.294,1.834,4.294,11.923,0.000,2.460
06/1961,5.973,2.620,5.973,11.923,0.000,3.353
07/1961,1.958,3.144,3.144,10.737,0.000,0.000
08/1961,1.837,3.668,3.668,8.906,0.000,0.000
09/1961,1.214,3.668,3.668,6.452,0.000,0.000
10/1961,1.051,2.620,2.620,4.883,0.000,0.000
11/1961,1.075,1.834,1.834,4.124,0.000,0.000
12/1961,1.808,1.834,1.834,4.098,0.000,0.000
01/1962,3.062,1.310,1.310,5.850,0.000,0.000
02/1962,1.632,1.048,1.048,6.434,0.000,0.000
03/1962,2.515,0.786,0.786,8.163,0.000,0.000
04/1962,9.582,1.834,5.821,11.923,0.000,3.987
05/1962,3.771,1.834,3.771,11.923,0.000,1.937
06/1962,1.608,2.620,2.620,10.911,0.000,0.000
07/1962,1.661,3.144,3.144,9.428,0.000,0.000
08/1962,0.865,3.668,3.668,6.625,0.000,0.000
09/1962,0.849,3.668,3.668,3.806,0.000,0.000
10/1962,0.830,2.620,2.620,2.016,0.000,0.000
11/1962,1.046,1.834,1.834,1.228,0.000,0.000
12/1962,1.138,1.834,1.834,0.532,0.000,0.000
01/1963,1.064,1.310,1.310,0.286,0.000,0.000
02/1963,0.815,1.048,1.048,0.053,0.000,0.000
03/1963,3.974,0.786,0.786,3.241,0.000,0.000
04/1963,7.140,1.834,1.834,8.547,0.000,0.000
05/1963,2.284,1.834,1.834,8.997,0.000,0.000
06/1963,2.486,2.620,2.620,8.863,0.000,0.000
07/1963,1.905,3.144,3.144,7.624,0.000,0.000
08/1963,0.836,3.668,3.668,4.792,0.000,0.000
09/1963,0.604,3.668,3.668,1.728,0.000,0.000
10/1963,0.704,2.620,2.808,0.000,-0.188,0.000
11/1963,0.733,1.834,2.935,0.000,-1.101,0.000
12/1963,0.704,1.834,2.964,0.000,-1.130,0.000
01/1964,0.668,1.310,1.952,0.000,-0.642,0.000
02/1964,0.657,1.048,1.439,0.000,-0.391,0.000
03/1964,2.993,0.786,0.786,2.207,0.000,0.000
04/1964,4.746,1.834,1.834,5.119,0.000,0.000
05/1964,2.586,1.834,1.834,5.871,0.000,0.000
06/1964,0.988,2.620,2.620,4.240,0.000,0.000
07/1964,0.662,3.144,3.144,1.758,0.000,0.000
08/1964,0.423,3.668,5.155,0.000,-1.487,0.000
09/1964,0.489,3.668,6.847,0.000,-3.179,0.000
10/1964,0.778,2.620,4.462,0.000,-1.842,0.000
11/1964,1.367,1.834,2.301,0.000,-0.467,0.000
12/1964,1.511,1.834,2.157,0.000,-0.323,0.000
01/1965,1.296,1.310,1.324,0.000,-0.014,0.000
02/1965,0.849,1.048,1.247,0.000,-0.199,0.000
03/1965,5.600,0.786,0.786,4.814,0.000,0.000
04/1965,13.421,1.834,6.312,11.923,0.000,4.478
05/1965,9.448,1.834,9.448,11.923,0.000,7.614
06/1965,4.502,2.620,4.502,11.923,0.000,1.882
07/1965,1.453,3.144,3.144,10.232,0.000,0.000
08/1965,1.151,3.668,3.668,7.715,0.000,0.000
09/1965,1.593,3.668,3.668,5.640,0.000,0.000
10/1965,1.104,2.620,2.620,4.124,0.000,0.000
11/1965,1.127,1.834,1.834,3.417,0.000,0.000
12/1965,7.285,1.834,1.834,8.868,0.000,0.000
01/1966,3.585,1.310,1.310,11.142,0.000,0.000
02/1966,7.477,1.048,6.696,11.923,0.000,5.648
03/1966,4.136,0.786,4.136,11.923,0.000,3.350
04/1966,5.658,1.834,5.658,11.923,0.000,3.824
05/1966,3.340,1.834,3.340,11.923,0.000,1.506
06/1966,4.323,2.620,4.323,11.923,0.000,1.703
07/1966,6.157,3.144,6.157,11.923,0.000,3.013
08/1966,1.330,3.668,3.668,9.585,0.000,0.000
09/1966,2.092,3.668,3.668,8.009,0.000,0.000
10/1966,1.847,2.620,2.620,7.236,0.000,0.000
11/1966,2.544,1.834,1.834,7.946,0.000,0.000
12/1966,4.531,1.834,1.834,10.643,0.000,0.000
01/1967,4.381,1.310,3.101,11.923,0.000,1.791
02/1967,8.152,1.048,8.152,11.923,0.000,7.104
03/1967,6.867,0.786,6.867,11.923,0.000,6.081
04/1967,5.763,1.834,5.763,11.923,0.000,3.929
05/1967,1.277,1.834,1.834,11.366,0.000,0.000
06/1967,1.185,2.620,2.620,9.931,0.000,0.000
07/1967,1.138,3.144,3.144,7.925,0.000,0.000
08/1967,1.453,3.668,3.668,5.711,0.000,0.000
09/1967,1.196,3.668,3.668,3.238,0.000,0.000
10/1967,1.290,2.620,2.620,1.909,0.000,0.000
11/1967,1.424,1.834,1.834,1.499,0.000,0.000
12/1967,5.763,1.834,1.834,5.428,0.000,0.000
01/1968,7.485,1.310,1.310,11.603,0.000,0.000
02/1968,2.730,1.048,2.410,11.923,0.000,1.362
03/1968,9.419,0.786,9.419,11.923,0.000,8.633
04/1968,10.480,1.834,10.480,11.923,0.000,8.646
05/1968,3.868,1.834,3.868,11.923,0.000,2.034
06/1968,1.703,2.620,2.620,11.006,0.000,0.000
07/1968,1.876,3.144,3.144,9.738,0.000,0.000
08/1968,2.189,3.668,3.668,8.259,0.000,0.000
09/1968,3.550,3.668,3.668,8.142,0.000,0.000
10/1968,8.029,2.620,4.247,11.923,0.000,1.627
11/1968,1.953,1.834,1.953,11.923,0.000,0.119
12/1968,1.756,1.834,1.834,11.845,0.000,0.000
01/1969,1.632,1.310,1.553,11.923,0.000,0.243
02/1969,1.608,1.048,1.608,11.923,0.000,0.560
03/1969,4.649,0.786,4.649,11.923,0.000,3.863
04/1969,14.530,1.834,14.530,11.923,0.000,12.696
05/1969,7.750,1.834,7.750,11.923,0.000,5.916
06/1969,2.625,2.620,2.625,11.923,0.000,0.005
07/1969,1.987,3.144,3.144,10.766,0.000,0.000
08/1969,2.144,3.668,3.668,9.242,0.000,0.000
09/1969,2.904,3.668,3.668,8.478,0.000,0.000
10/1969,2.010,2.620,2.620,7.869,0.000,0.000
11/1969,1.138,1.834,1.834,7.172,0.000,0.000
12/1969,0.930,1.834,1.834,6.269,0.000,0.000
01/1970,0.623,1.310,1.310,5.582,0.000,0.000
02/1970,1.306,1.048,1.048,5.840,0.000,0.000
03/1970,3.516,0.786,0.786,8.570,0.000,0.000
04/1970,13.421,1.834,10.068,11.923,0.000,8.234
05/1970,10.417,1.834,10.417,11.923,0.000,8.583
06/1970,4.016,2.620,4.016,11.923,0.000,1.396
07/1970,1.598,3.144,3.144,10.377,0.000,0.000
08/1970,4.073,3.668,3.668,10.782,0.000,0.000
