Monat,Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
09/1970,1.359,3.668,3.668,8.473,0.000,0.000
10/1970,3.109,2.620,2.620,8.962,0.000,0.000
11/1970,7.534,1.834,4.573,11.923,0.000,2.739
12/1970,4.765,1.834,4.765,11.923,0.000,2.931
01/1971,2.092,1.310,2.092,11.923,0.000,0.782
02/1971,2.778,1.048,2.778,11.923,0.000,1.730
03/1971,4.428,0.786,4.428,11.923,0.000,3.642
04/1971,6.972,1.834,6.972,11.923,0.000,5.138
05/1971,3.125,1.834,3.125,11.923,0.000,1.291
06/1971,5.164,2.620,5.164,11.923,0.000,2.544
07/1971,2.097,3.144,3.144,10.876,0.000,0.000
08/1971,1.085,3.668,3.668,8.294,0.000,0.000
09/1971,0.888,3.668,3.668,5.514,0.000,0.000
10/1971,0.802,2.620,2.620,3.695,0.000,0.000
11/1971,0.791,1.834,1.834,2.652,0.000,0.000
12/1971,4.717,1.834,1.834,5.536,0.000,0.000
01/1972,1.882,1.310,1.310,6.107,0.000,0.000
02/1972,1.022,1.048,1.048,6.082,0.000,0.000
03/1972,0.941,0.786,0.786,6.236,0.000,0.000
04/1972,3.724,1.834,1.834,8.126,0.000,0.000
05/1972,2.951,1.834,1.834,9.243,0.000,0.000
06/1972,4.008,2.620,2.620,10.631,0.000,0.000
07/1972,2.144,3.144,3.144,9.632,0.000,0.000
08/1972,2.951,3.668,3.668,8.915,0.000,0.000
09/1972,2.063,3.668,3.668,7.310,0.000,0.000
10/1972,2.725,2.620,2.620,7.415,0.000,0.000
11/1972,2.933,1.834,1.834,8.514,0.000,0.000
12/1972,2.504,1.834,1.834,9.184,0.000,0.000
01/1973,1.325,1.310,1.310,9.199,0.000,0.000
02/1973,1.522,1.048,1.048,9.673,0.000,0.000
03/1973,3.532,0.786,1.282,11.923,0.000,0.496
04/1973,6.872,1.834,6.872,11.923,0.000,5.038
05/1973,5.850,1.834,5.850,11.923,0.000,4.016
06/1973,1.813,2.620,2.620,11.116,0.000,0.000
07/1973,3.080,3.144,3.144,11.052,0.000,0.000
08/1973,1.837,3.668,3.668,9.221,0.000,0.000
09/1973,0.865,3.668,3.668,6.418,0.000,0.000
10/1973,1.256,2.620,2.620,5.054,0.000,0.000
11/1973,1.162,1.834,1.834,4.382,0.000,0.000
12/1973,1.146,1.834,1.834,3.693,0.000,0.000
01/1974,5.083,1.310,1.310,7.466,0.000,0.000
02/1974,2.313,1.048,1.048,8.731,0.000,0.000
03/1974,3.445,0.786,0.786,11.390,0.000,0.000
04/1974,1.574,1.834,1.834,11.130,0.000,0.000
05/1974,1.771,1.834,1.834,11.067,0.000,0.000
06/1974,2.452,2.620,2.620,10.899,0.000,0.000
07/1974,2.778,3.144,3.144,10.533,0.000,0.000
08/1974,1.335,3.668,3.668,8.200,0.000,0.000
09/1974,0.907,3.668,3.668,5.439,0.000,0.000
10/1974,1.982,2.620,2.620,4.800,0.000,0.000
11/1974,8.191,1.834,1.834,11.158,0.000,0.000
12/1974,19.295,1.834,18.530,11.923,0.000,16.696
01/1975,6.349,1.310,6.349,11.923,0.000,5.039
02/1975,3.508,1.048,3.508,11.923,0.000,2.460
03/1975,2.092,0.786,2.092,11.923,0.000,1.306
04/1975,4.108,1.834,4.108,11.923,0.000,2.274
05/1975,1.795,1.834,1.834,11.884,0.000,0.000
06/1975,1.556,2.620,2.620,10.820,0.000,0.000
07/1975,1.527,3.144,3.144,9.203,0.000,0.000
08/1975,1.992,3.668,3.668,7.527,0.000,0.000
09/1975,1.540,3.668,3.668,5.399,0.000,0.000
10/1975,0.796,2.620,2.620,3.575,0.000,0.000
11/1975,1.012,1.834,1.834,2.753,0.000,0.000
12/1975,3.642,1.834,1.834,4.561,0.000,0.000
01/1976,12.509,1.310,5.147,11.923,0.000,3.837
02/1976,2.830,1.048,2.830,11.923,0.000,1.782
03/1976,2.168,0.786,2.168,11.923,0.000,1.382
04/1976,5.385,1.834,5.385,11.923,0.000,3.551
05/1976,1.482,1.834,1.834,11.571,0.000,0.000
06/1976,1.685,2.620,2.620,10.636,0.000,0.000
07/1976,1.046,3.144,3.144,8.538,0.000,0.000
08/1976,1.099,3.668,3.668,5.968,0.000,0.000
09/1976,0.878,3.668,3.668,3.178,0.000,0.000
10/1976,0.710,2.620,2.620,1.268,0.000,0.000
11/1976,0.946,1.834,1.834,0.380,0.000,0.000
12/1976,2.347,1.834,1.834,0.892,0.000,0.000
01/1977,1.895,1.310,1.310,1.477,0.000,0.000
02/1977,5.874,1.048,1.048,6.303,0.000,0.000
03/1977,6.344,0.786,0.786,11.861,0.000,0.000
04/1977,4.131,1.834,4.069,11.923,0.000,2.235
05/1977,2.639,1.834,2.639,11.923,0.000,0.805
06/1977,2.552,2.620,2.620,11.855,0.000,0.000
07/1977,2.300,3.144,3.144,11.010,0.000,0.000
08/1977,4.097,3.668,3.668,11.439,0.000,0.000
09/1977,3.330,3.668,3.668,11.101,0.000,0.000
10/1977,2.168,2.620,2.620,10.649,0.000,0.000
11/1977,4.723,1.834,3.449,11.923,0.000,1.615
12/1977,3.666,1.834,3.666,11.923,0.000,1.832
01/1978,2.765,1.310,2.765,11.923,0.000,1.455
02/1978,1.401,1.048,1.401,11.923,0.000,0.353
03/1978,5.926,0.786,5.926,11.923,0.000,5.140
04/1978,4.118,1.834,4.118,11.923,0.000,2.284
05/1978,5.676,1.834,5.676,11.923,0.000,3.842
06/1978,2.533,2.620,2.620,11.836,0.000,0.000
07/1978,1.637,3.144,3.144,10.330,0.000,0.000
08/1978,2.859,3.668,3.668,9.521,0.000,0.000
09/1978,4.357,3.668,3.668,10.210,0.000,0.000
10/1978,6.157,2.620,4.445,11.923,0.000,1.825
11/1978,2.155,1.834,2.155,11.923,0.000,0.321
12/1978,3.485,1.834,3.485,11.923,0.000,1.651
01/1979,4.885,1.310,4.885,11.923,0.000,3.575
02/1979,1.377,1.048,1.377,11.923,0.000,0.329
03/1979,5.966,0.786,5.966,11.923,0.000,5.180
04/1979,8.191,1.834,8.191,11.923,0.000,6.357
05/1979,2.631,1.834,2.631,11.923,0.000,0.797
06/1979,1.267,2.620,2.620,10.570,0.000,0.000
07/1979,1.482,3.144,3.144,8.908,0.000,0.000
08/1979,1.401,3.668,3.668,6.641,0.000,0.000
09/1979,4.189,3.668,3.668,7.162,0.000,0.000
10/1979,2.696,2.620,2.620,7.238,0.000,0.000
11/1979,1.808,1.834,1.834,7.212,0.000,0.000
12/1979,5.119,1.834,1.834,10.497,0.000,0.000
01/1980,1.482,1.310,1.310,10.670,0.000,0.000
02/1980,5.172,1.048,3.918,11.923,0.000,2.870
03/1980,2.591,0.786,2.591,11.923,0.000,1.805
04/1980,7.506,1.834,7.506,11.923,0.000,5.672
05/1980,6.983,1.834,6.983,11.923,0.000,5.149
06/1980,1.028,2.620,2.620,10.331,0.000,0.000
07/1980,8.969,3.144,7.377,11.923,0.000,4.233
08/1980,1.876,3.668,3.668,10.131,0.000,0.000
09/1980,1.674,3.668,3.668,8.137,0.000,0.000
10/1980,2.754,2.620,2.620,8.272,0.000,0.000
11/1980,3.009,1.834,1.834,9.447,0.000,0.000
12/1980,3.574,1.834,1.834,11.187,0.000,0.000
01/1981,2.649,1.310,1.913,11.923,0.000,0.603
02/1981,1.895,1.048,1.895,11.923,0.000,0.847
03/1981,15.158,0.786,15.158,11.923,0.000,14.372
04/1981,2.581,1.834,2.581,11.923,0.000,0.747
05/1981,3.656,1.834,3.656,11.923,0.000,1.822
06/1981,1.430,2.620,2.620,10.733,0.000,0.000
07/1981,4.612,3.144,3.422,11.923,0.000,0.278
08/1981,4.223,3.668,4.223,11.923,0.000,0.555
09/1981,2.250,3.668,3.668,10.505,0.000,0.000
10/1981,6.570,2.620,5.152,11.923,0.000,2.532
11/1981,6.646,1.834,6.646,11.923,0.000,4.812
12/1981,2.754,1.834,2.754,11.923,0.000,0.920
01/1982,4.060,1.310,4.060,11.923,0.000,2.750
02/1982,2.999,1.048,2.999,11.923,0.000,1.951
03/1982,5.288,0.786,5.288,11.923,0.000,4.502
04/1982,6.862,1.834,6.862,11.923,0.000,5.028
05/1982,3.143,1.834,3.143,11.923,0.000,1.309
06/1982,1.359,2.620,2.620,10.662,0.000,0.000
07/1982,1.261,3.144,3.144,8.779,0.000,0.000
08/1982,2.381,3.668,3.668,7.492,0.000,0.000
09/1982,0.744,3.668,3.668,4.568,0.000,0.000
10/1982,1.012,2.620,2.620,2.960,0.000,0.000
11/1982,0.878,1.834,1.834,2.003,0.000,0.000
12/1982,2.045,1.834,1.834,2.214,0.000,0.000
01/1983,6.496,1.310,1.310,7.400,0.000,0.000
02/1983,3.758,1.048,1.048,10.110,0.000,0.000
03/1983,4.707,0.786,2.894,11.923,0.000,2.108
04/1983,8.488,1.834,8.488,11.923,0.000,6.654
05/1983,2.250,1.834,2.250,11.923,0.000,0.416
06/1983,1.430,2.620,2.620,10.733,0.000,0.000
07/1983,0.802,3.144,3.144,8.390,0.000,0.000
08/1983,5.335,3.668,3.668,10.057,0.000,0.000
09/1983,1.256,3.668,3.668,7.645,0.000,0.000
10/1983,0.773,2.620,2.620,5.798,0.000,0.000
11/1983,1.685,1.834,1.834,5.648,0.000,0.000
12/1983,1.277,1.834,1.834,5.092,0.000,0.000
01/1984,2.434,1.310,1.310,6.215,0.000,0.000
02/1984,2.539,1.048,1.048,7.706,0.000,0.000
03/1984,3.027,0.786,0.786,9.947,0.000,0.000
04/1984,8.349,1.834,6.373,11.923,0.000,4.539
05/1984,3.301,1.834,3.301,11.923,0.000,1.467
06/1984,3.393,2.620,3.393,11.923,0.000,0.773
07/1984,5.740,3.144,5.740,11.923,0.000,2.596
08/1984,2.662,3.668,3.668,10.917,0.000,0.000
09/1984,2.702,3.668,3.668,9.951,0.000,0.000
10/1984,2.596,2.620,2.620,9.927,0.000,0.000
11/1984,1.574,1.834,1.834,9.667,0.000,0.000
12/1984,0.901,1.834,1.834,8.735,0.000,0.000
01/1985,0.836,1.310,1.310,8.260,0.000,0.000
02/1985,1.669,1.048,1.048,8.881,0.000,0.000
03/1985,2.213,0.786,0.786,10.308,0.000,0.000
04/1985,5.356,1.834,3.741,11.923,0.000,1.907
05/1985,2.644,1.834,2.644,11.923,0.000,0.810
06/1985,1.853,2.620,2.620,11.156,0.000,0.000
07/1985,3.800,3.144,3.144,11.812,0.000,0.000
08/1985,0.773,3.668,3.668,8.916,0.000,0.000
09/1985,0.512,3.668,3.668,5.761,0.000,0.000
10/1985,0.773,2.620,2.620,3.914,0.000,0.000
11/1985,0.744,1.834,1.834,2.823,0.000,0.000
12/1985,3.043,1.834,1.834,4.032,0.000,0.000
01/1986,4.357,1.310,1.310,7.080,0.000,0.000
02/1986,1.493,1.048,1.048,7.524,0.000,0.000
03/1986,4.914,0.786,0.786,11.653,0.000,0.000
04/1986,8.023,1.834,7.753,11.923,0.000,5.919
05/1986,3.014,1.834,3.014,11.923,0.000,1.180
06/1986,5.653,2.620,5.653,11.923,0.000,3.033
07/1986,1.267,3.144,3.144,10.046,0.000,0.000
08/1986,2.173,3.668,3.668,8.551,0.000,0.000
09/1986,2.980,3.668,3.668,7.863,0.000,0.000
10/1986,2.486,2.620,2.620,7.729,0.000,0.000
11/1986,3.369,1.834,1.834,9.264,0.000,0.000
12/1986,3.858,1.834,1.834,11.288,0.000,0.000
01/1987,7.682,1.310,7.047,11.923,0.000,5.737
02/1987,2.712,1.048,2.712,11.923,0.000,1.664
03/1987,5.054,0.786,5.054,11.923,0.000,4.268
04/1987,15.839,1.834,15.839,11.923,0.000,14.005
05/1987,3.440,1.834,3.440,11.923,0.000,1.606
06/1987,3.758,2.620,3.758,11.923,0.000,1.138
07/1987,2.039,3.144,3.144,10.818,0.000,0.000
08/1987,2.754,3.668,3.668,9.904,0.000,0.000
09/1987,2.696,3.668,3.668,8.933,0.000,0.000
10/1987,1.416,2.620,2.620,7.729,0.000,0.000
11/1987,2.596,1.834,1.834,8.492,0.000,0.000
12/1987,7.779,1.834,4.348,11.923,0.000,2.514
01/1988,3.038,1.310,3.038,11.923,0.000,1.728
02/1988,3.004,1.048,3.004,11.923,0.000,1.956
03/1988,5.322,0.786,5.322,11.923,0.000,4.536
04/1988,13.503,1.834,13.503,11.923,0.000,11.669
05/1988,2.168,1.834,2.168,11.923,0.000,0.334
06/1988,0.946,2.620,2.620,10.249,0.000,0.000
07/1988,0.917,3.144,3.144,8.022,0.000,0.000
08/1988,0.783,3.668,3.668,5.137,0.000,0.000
09/1988,1.022,3.668,3.668,2.492,0.000,0.000
10/1988,1.064,2.620,2.620,0.936,0.000,0.000
11/1988,2.389,1.834,1.834,1.491,0.000,0.000
12/1988,8.814,1.834,1.834,8.471,0.000,0.000
01/1989,6.084,1.310,2.632,11.923,0.000,1.322
02/1989,2.021,1.048,2.021,11.923,0.000,0.973
03/1989,4.817,0.786,4.817,11.923,0.000,4.031
04/1989,1.238,1.834,1.834,11.327,0.000,0.000
05/1989,1.748,1.834,1.834,11.240,0.000,0.000
06/1989,0.725,2.620,2.620,9.346,0.000,0.000
07/1989,0.773,3.144,3.144,6.974,0.000,0.000
08/1989,0.633,3.668,3.668,3.940,0.000,0.000
09/1989,0.512,3.668,3.668,0.784,0.000,0.000
10/1989,1.424,2.620,3.031,0.000,-0.411,0.000
11/1989,2.552,1.834,1.834,0.718,0.000,0.000
12/1989,3.771,1.834,1.834,2.655,0.000,0.000
01/1990,2.300,1.310,1.310,3.644,0.000,0.000
02/1990,3.987,1.048,1.048,6.583,0.000,0.000
03/1990,6.128,0.786,0.789,11.923,0.000,0.003
04/1990,3.737,1.834,3.737,11.923,0.000,1.903
05/1990,2.707,1.834,2.707,11.923,0.000,0.873
06/1990,1.992,2.620,2.620,11.295,0.000,0.000
07/1990,1.564,3.144,3.144,9.715,0.000,0.000
08/1990,0.854,3.668,3.668,6.901,0.000,0.000
09/1990,2.441,3.668,3.668,5.674,0.000,0.000
10/1990,1.934,2.620,2.620,4.988,0.000,0.000
11/1990,3.335,1.834,1.834,6.489,0.000,0.000
12/1990,1.992,1.834,1.834,6.647,0.000,0.000
01/1991,3.235,1.310,1.310,8.572,0.000,0.000
02/1991,1.214,1.048,1.048,8.739,0.000,0.000
03/1991,1.477,0.786,0.786,9.430,0.000,0.000
04/1991,1.296,1.834,1.834,8.891,0.000,0.000
05/1991,2.039,1.834,1.834,9.096,0.000,0.000
06/1991,2.773,2.620,2.620,9.249,0.000,0.000
07/1991,1.430,3.144,3.144,7.535,0.000,0.000
08/1991,1.196,3.668,3.668,5.062,0.000,0.000
09/1991,0.512,3.668,3.668,1.907,0.000,0.000
10/1991,0.528,2.620,2.805,0.000,-0.185,0.000
11/1991,1.330,1.834,2.338,0.000,-0.504,0.000
12/1991,4.399,1.834,1.834,2.565,0.000,0.000
01/1992,7.240,1.310,1.310,8.495,0.000,0.000
02/1992,6.623,1.048,3.195,11.923,0.000,2.147
03/1992,10.023,0.786,10.023,11.923,0.000,9.237
04/1992,5.340,1.834,5.340,11.923,0.000,3.506
05/1992,3.214,1.834,3.214,11.923,0.000,1.380
06/1992,0.820,2.620,2.620,10.123,0.000,0.000
07/1992,1.196,3.144,3.144,8.175,0.000,0.000
08/1992,0.844,3.668,3.668,5.350,0.000,0.000
09/1992,0.783,3.668,3.668,2.465,0.000,0.000
10/1992,0.930,2.620,2.620,0.776,0.000,0.000
11/1992,3.259,1.834,1.834,2.200,0.000,0.000
12/1992,1.727,1.834,1.834,2.093,0.000,0.000
01/1993,2.788,1.310,1.310,3.571,0.000,0.000
02/1993,2.168,1.048,1.048,4.691,0.000,0.000
03/1993,3.666,0.786,0.786,7.572,0.000,0.000
04/1993,1.028,1.834,1.834,6.765,0.000,0.000
05/1993,1.109,1.834,1.834,6.040,0.000,0.000
06/1993,1.574,2.620,2.620,4.994,0.000,0.000
07/1993,2.381,3.144,3.144,4.231,0.000,0.000
08/1993,1.958,3.668,3.668,2.521,0.000,0.000
09/1993,1.493,3.668,3.668,0.346,0.000,0.000
10/1993,1.146,2.620,3.748,0.000,-1.128,0.000
11/1993,1.056,1.834,2.612,0.000,-0.778,0.000
12/1993,6.118,1.834,1.834,4.284,0.000,0.000
01/1994,4.171,1.310,1.310,7.145,0.000,0.000
02/1994,2.184,1.048,1.048,8.280,0.000,0.000
03/1994,3.091,0.786,0.786,10.585,0.000,0.000
04/1994,2.883,1.834,1.834,11.634,0.000,0.000
05/1994,2.097,1.834,1.834,11.897,0.000,0.000
06/1994,1.779,2.620,2.620,11.056,0.000,0.000
07/1994,3.096,3.144,3.144,11.008,0.000,0.000
08/1994,3.075,3.668,3.668,10.415,0.000,0.000
09/1994,2.226,3.668,3.668,8.973,0.000,0.000
10/1994,1.742,2.620,2.620,8.095,0.000,0.000
11/1994,2.331,1.834,1.834,8.592,0.000,0.000
12/1994,4.828,1.834,1.834,11.586,0.000,0.000
01/1995,5.624,1.310,5.287,11.923,0.000,3.977
02/1995,5.758,1.048,5.758,11.923,0.000,4.710
03/1995,2.662,0.786,2.662,11.923,0.000,1.876
04/1995,9.337,1.834,9.337,11.923,0.000,7.503
05/1995,2.116,1.834,2.116,11.923,0.000,0.282
06/1995,2.278,2.620,2.620,11.581,0.000,0.000
07/1995,1.464,3.144,3.144,9.901,0.000,0.000
08/1995,0.872,3.668,3.668,7.106,0.000,0.000
09/1995,6.641,3.668,3.668,10.079,0.000,0.000
10/1995,2.654,2.620,2.620,10.113,0.000,0.000
11/1995,6.013,1.834,4.203,11.923,0.000,2.369
12/1995,2.754,1.834,2.754,11.923,0.000,0.920
01/1996,1.685,1.310,1.685,11.923,0.000,0.375
02/1996,0.557,1.048,1.048,11.432,0.000,0.000
03/1996,1.051,0.786,0.786,11.697,0.000,0.000
04/1996,3.038,1.834,2.812,11.923,0.000,0.978
05/1996,2.265,1.834,2.265,11.923,0.000,0.431
06/1996,1.819,2.620,2.620,11.122,0.000,0.000
07/1996,6.176,3.144,5.374,11.923,0.000,2.230
08/1996,1.343,3.668,3.668,9.598,0.000,0.000
09/1996,2.730,3.668,3.668,8.660,0.000,0.000
10/1996,4.194,2.620,2.620,10.235,0.000,0.000
11/1996,3.062,1.834,1.834,11.462,0.000,0.000
12/1996,1.876,1.834,1.834,11.505,0.000,0.000
01/1997,1.175,1.310,1.310,11.369,0.000,0.000
02/1997,4.160,1.048,3.607,11.923,0.000,2.559
03/1997,6.257,0.786,6.257,11.923,0.000,5.471
04/1997,3.729,1.834,3.729,11.923,0.000,1.895
05/1997,1.800,1.834,1.834,11.889,0.000,0.000
06/1997,0.783,2.620,2.620,10.052,0.000,0.000
07/1997,0.936,3.144,3.144,7.844,0.000,0.000
08/1997,1.109,3.668,3.668,5.285,0.000,0.000
09/1997,0.778,3.668,3.668,2.395,0.000,0.000
10/1997,1.122,2.620,2.620,0.897,0.000,0.000
11/1997,0.970,1.834,1.834,0.033,0.000,0.000
12/1997,3.824,1.834,1.834,2.022,0.000,0.000
01/1998,2.765,1.310,1.310,3.477,0.000,0.000
02/1998,2.197,1.048,1.048,4.626,0.000,0.000
03/1998,6.954,0.786,0.786,10.794,0.000,0.000
04/1998,1.813,1.834,1.834,10.773,0.000,0.000
05/1998,0.917,1.834,1.834,9.856,0.000,0.000
06/1998,0.975,2.620,2.620,8.211,0.000,0.000
07/1998,1.603,3.144,3.144,6.670,0.000,0.000
08/1998,1.219,3.668,3.668,4.222,0.000,0.000
09/1998,4.683,3.668,3.668,5.237,0.000,0.000
10/1998,4.544,2.620,2.620,7.161,0.000,0.000
11/1998,6.194,1.834,1.834,11.521,0.000,0.000
12/1998,3.829,1.834,3.427,11.923,0.000,1.593
01/1999,3.296,1.310,3.296,11.923,0.000,1.986
02/1999,3.997,1.048,3.997,11.923,0.000,2.949
03/1999,8.517,0.786,8.517,11.923,0.000,7.731
04/1999,3.277,1.834,3.277,11.923,0.000,1.443
05/1999,1.685,1.834,1.834,11.774,0.000,0.000
06/1999,1.185,2.620,2.620,10.339,0.000,0.000
