Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],storage,deficit,overflow
1.998,1.782,1.782,13.219,0.000,0.000
3.809,1.782,1.782,15.247,0.000,0.000
0.000,1.273,1.273,13.974,0.000,0.000
1.489,1.018,1.018,14.445,0.000,0.000
0.308,0.764,0.764,13.989,0.000,0.000
8.386,1.782,1.782,20.593,0.000,0.000
2.709,1.782,1.782,21.520,0.000,0.000
4.731,2.546,2.546,23.705,0.000,0.000
0.303,3.055,3.055,20.953,0.000,0.000
0.681,3.564,3.564,18.070,0.000,0.000
0.336,3.564,3.564,14.842,0.000,0.000
3.523,2.546,2.546,15.819,0.000,0.000
1.280,1.782,1.782,15.317,0.000,0.000
1.431,1.782,1.782,14.966,0.000,0.000
3.643,1.273,1.273,17.336,0.000,0.000
2.409,1.018,1.018,18.727,0.000,0.000
3.769,0.764,0.764,21.732,0.000,0.000
2.668,1.782,1.782,22.618,0.000,0.000
0.621,1.782,1.782,21.457,0.000,0.000
2.329,2.546,2.546,21.240,0.000,0.000
0.741,3.055,3.055,18.927,0.000,0.000
1.626,3.564,3.564,16.989,0.000,0.000
0.659,3.564,3.564,14.084,0.000,0.000
0.000,2.546,2.546,11.538,0.000,0.000
2.554,1.782,1.782,12.310,0.000,0.000
2.033,1.782,1.782,12.561,0.000,0.000
3.909,1.273,1.273,15.197,0.000,0.000
3.734,1.018,1.018,17.913,0.000,0.000
5.224,0.764,0.764,22.372,0.000,0.000
6.592,1.782,2.958,26.006,0.000,1.176
1.618,1.782,1.782,25.842,0.000,0.000
2.607,2.546,2.546,25.902,0.000,0.000
0.111,3.055,3.055,22.958,0.000,0.000
2.642,3.564,3.564,22.036,0.000,0.000
1.124,3.564,3.564,19.596,0.000,0.000
2.723,2.546,2.546,19.773,0.000,0.000
1.407,1.782,1.782,19.399,0.000,0.000
20.877,1.782,14.269,26.006,0.000,12.487
13.827,1.273,13.827,26.006,0.000,12.554
5.228,1.018,5.228,26.006,0.000,4.210
4.574,0.764,4.574,26.006,0.000,3.810
6.086,1.782,6.086,26.006,0.000,4.304
1.533,1.782,1.782,25.757,0.000,0.000
1.130,2.546,2.546,24.342,0.000,0.000
3.576,3.055,3.055,24.863,0.000,0.000
2.214,3.564,3.564,23.513,0.000,0.000
0.716,3.564,3.564,20.664,0.000,0.000
3.621,2.546,2.546,21.739,0.000,0.000
3.467,1.782,1.782,23.424,0.000,0.000
3.141,1.782,1.782,24.783,0.000,0.000
6.484,1.273,5.261,26.006,0.000,3.988
2.923,1.018,2.923,26.006,0.000,1.905
3.394,0.764,3.394,26.006,0.000,2.630
4.243,1.782,4.243,26.006,0.000,2.461
6.070,1.782,6.070,26.006,0.000,4.288
2.455,2.546,2.546,25.915,0.000,0.000
3.598,3.055,3.507,26.006,0.000,0.452
0.000,3.564,3.564,22.442,0.000,0.000
3.333,3.564,3.564,22.211,0.000,0.000
1.568,2.546,2.546,21.233,0.000,0.000
1.300,1.782,1.782,20.751,0.000,0.000
0.955,1.782,1.782,19.924,0.000,0.000
0.770,1.273,1.273,19.421,0.000,0.000
3.340,1.018,1.018,21.743,0.000,0.000
0.422,0.764,0.764,21.402,0.000,0.000
9.860,1.782,5.256,26.006,0.000,3.474
7.212,1.782,7.212,26.006,0.000,5.430
3.778,2.546,3.778,26.006,0.000,1.232
1.652,3.055,3.055,24.603,0.000,0.000
1.318,3.564,3.564,22.357,0.000,0.000
5.967,3.564,3.564,24.760,0.000,0.000
3.778,2.546,2.546,25.992,0.000,0.000
0.450,1.782,1.782,24.660,0.000,0.000
0.111,1.782,1.782,22.989,0.000,0.000
1.938,1.273,1.273,23.654,0.000,0.000
3.565,1.018,1.213,26.006,0.000,0.195
6.417,0.764,6.417,26.006,0.000,5.653
9.743,1.782,9.743,26.006,0.000,7.961
2.866,1.782,2.866,26.006,0.000,1.084
0.000,2.546,2.546,23.460,0.000,0.000
2.025,3.055,3.055,22.430,0.000,0.000
1.651,3.564,3.564,20.517,0.000,0.000
2.362,3.564,3.564,19.315,0.000,0.000
0.689,2.546,2.546,17.458,0.000,0.000
3.280,1.782,1.782,18.956,0.000,0.000
2.543,1.782,1.782,19.717,0.000,0.000
3.680,1.273,1.273,22.124,0.000,0.000
0.000,1.018,1.018,21.106,0.000,0.000
4.165,0.764,0.764,24.507,0.000,0.000
9.136,1.782,7.637,26.006,0.000,5.855
6.145,1.782,6.145,26.006,0.000,4.363
3.115,2.546,3.115,26.006,0.000,0.569
1.953,3.055,3.055,24.904,0.000,0.000
0.829,3.564,3.564,22.169,0.000,0.000
0.000,3.564,3.564,18.605,0.000,0.000
0.123,2.546,2.546,16.182,0.000,0.000
0.000,1.782,1.782,14.400,0.000,0.000
0.992,1.782,1.782,13.610,0.000,0.000
0.000,1.273,1.273,12.337,0.000,0.000
0.011,1.018,1.018,11.330,0.000,0.000
2.036,0.764,0.764,12.602,0.000,0.000
4.365,1.782,1.782,15.185,0.000,0.000
2.051,1.782,1.782,15.454,0.000,0.000
0.842,2.546,2.546,13.750,0.000,0.000
1.056,3.055,3.055,11.751,0.000,0.000
3.075,3.564,3.564,11.262,0.000,0.000
3.188,3.564,3.564,10.887,0.000,0.000
4.552,2.546,2.546,12.893,0.000,0.000
3.332,1.782,1.782,14.443,0.000,0.000
3.208,1.782,1.782,15.869,0.000,0.000
1.615,1.273,1.273,16.211,0.000,0.000
6.216,1.018,1.018,21.409,0.000,0.000
4.162,0.764,0.764,24.807,0.000,0.000
4.007,1.782,2.808,26.006,0.000,1.026
2.004,1.782,2.004,26.006,0.000,0.222
3.951,2.546,3.951,26.006,0.000,1.405
3.594,3.055,3.594,26.006,0.000,0.539
0.111,3.564,3.564,22.553,0.000,0.000
1.563,3.564,3.564,20.552,0.000,0.000
0.258,2.546,2.546,18.264,0.000,0.000
0.670,1.782,1.782,17.152,0.000,0.000
4.168,1.782,1.782,19.538,0.000,0.000
2.727,1.273,1.273,20.992,0.000,0.000
1.575,1.018,1.018,21.549,0.000,0.000
8.770,0.764,4.314,26.006,0.000,3.550
4.143,1.782,4.143,26.006,0.000,2.361
4.339,1.782,4.339,26.006,0.000,2.557
2.909,2.546,2.909,26.006,0.000,0.363
1.490,3.055,3.055,24.441,0.000,0.000
0.983,3.564,3.564,21.860,0.000,0.000
0.490,3.564,3.564,18.786,0.000,0.000
2.325,2.546,2.546,18.565,0.000,0.000
4.171,1.782,1.782,20.954,0.000,0.000
7.513,1.782,2.461,26.006,0.000,0.679
12.386,1.273,12.386,26.006,0.000,11.113
4.788,1.018,4.788,26.006,0.000,3.770
6.226,0.764,6.226,26.006,0.000,5.462
5.906,1.782,5.906,26.006,0.000,4.124
1.257,1.782,1.782,25.481,0.000,0.000
1.388,2.546,2.546,24.323,0.000,0.000
2.924,3.055,3.055,24.192,0.000,0.000
0.106,3.564,3.564,20.733,0.000,0.000
3.951,3.564,3.564,21.120,0.000,0.000
4.116,2.546,2.546,22.690,0.000,0.000
2.419,1.782,1.782,23.328,0.000,0.000
1.609,1.782,1.782,23.155,0.000,0.000
3.662,1.273,1.273,25.544,0.000,0.000
4.759,1.018,4.298,26.006,0.000,3.280
6.261,0.764,6.261,26.006,0.000,5.497
10.193,1.782,10.193,26.006,0.000,8.411
4.073,1.782,4.073,26.006,0.000,2.291
3.058,2.546,3.058,26.006,0.000,0.512
2.290,3.055,3.055,25.241,0.000,0.000
1.798,3.564,3.564,23.475,0.000,0.000
2.799,3.564,3.564,22.710,0.000,0.000
2.879,2.546,2.546,23.042,0.000,0.000
3.923,1.782,1.782,25.184,0.000,0.000
7.141,1.782,6.318,26.006,0.000,4.536
2.698,1.273,2.698,26.006,0.000,1.425
0.919,1.018,1.018,25.907,0.000,0.000
1.410,0.764,1.312,26.006,0.000,0.548
5.651,1.782,5.651,26.006,0.000,3.869
3.509,1.782,3.509,26.006,0.000,1.727
3.050,2.546,3.050,26.006,0.000,0.504
3.841,3.055,3.841,26.006,0.000,0.786
1.847,3.564,3.564,24.289,0.000,0.000
1.440,3.564,3.564,22.166,0.000,0.000
1.209,2.546,2.546,20.829,0.000,0.000
1.389,1.782,1.782,20.436,0.000,0.000
1.551,1.782,1.782,20.205,0.000,0.000
3.184,1.273,1.273,22.116,0.000,0.000
4.587,1.018,1.018,25.685,0.000,0.000
5.648,0.764,5.328,26.006,0.000,4.564
3.862,1.782,3.862,26.006,0.000,2.080
3.449,1.782,3.449,26.006,0.000,1.667
4.367,2.546,4.367,26.006,0.000,1.821
2.517,3.055,3.055,25.468,0.000,0.000
2.301,3.564,3.564,24.205,0.000,0.000
3.071,3.564,3.564,23.713,0.000,0.000
1.537,2.546,2.546,22.704,0.000,0.000
0.000,1.782,1.782,20.922,0.000,0.000
3.762,1.782,1.782,22.902,0.000,0.000
2.417,1.273,1.273,24.045,0.000,0.000
2.938,1.018,1.018,25.965,0.000,0.000
1.208,0.764,1.168,26.006,0.000,0.404
3.124,1.782,3.124,26.006,0.000,1.342
1.085,1.782,1.782,25.309,0.000,0.000
2.688,2.546,2.546,25.451,0.000,0.000
1.765,3.055,3.055,24.161,0.000,0.000
2.537,3.564,3.564,23.134,0.000,0.000
0.387,3.564,3.564,19.957,0.000,0.000
0.102,2.546,2.546,17.514,0.000,0.000
0.776,1.782,1.782,16.508,0.000,0.000
1.846,1.782,1.782,16.571,0.000,0.000
0.976,1.273,1.273,16.274,0.000,0.000
2.224,1.018,1.018,17.480,0.000,0.000
0.333,0.764,0.764,17.049,0.000,0.000
0.000,1.782,1.782,15.267,0.000,0.000
0.000,1.782,1.782,13.485,0.000,0.000
0.000,2.546,2.546,10.939,0.000,0.000
0.859,3.055,3.055,8.743,0.000,0.000
2.753,3.564,3.564,7.932,0.000,0.000
0.662,3.564,3.564,5.030,0.000,0.000
2.421,2.546,2.546,4.905,0.000,0.000
0.829,1.782,1.782,3.952,0.000,0.000
0.731,1.782,1.782,2.901,0.000,0.000
1.402,1.273,1.273,3.030,0.000,0.000
1.231,1.018,1.018,3.243,0.000,0.000
3.101,0.764,0.764,5.580,0.000,0.000
1.618,1.782,1.782,5.416,0.000,0.000
1.422,1.782,1.782,5.057,0.000,0.000
1.744,2.546,2.546,4.254,0.000,0.000
2.336,3.055,3.055,3.536,0.000,0.000
0.027,3.564,3.565,0.000,-0.001,0.000
2.225,3.564,4.903,0.000,-1.339,0.000
4.054,2.546,2.546,1.508,0.000,0.000
1.106,1.782,1.782,0.831,0.000,0.000
0.920,1.782,1.813,0.000,-0.031,0.000
2.506,1.273,1.273,1.233,0.000,0.000
4.869,1.018,1.018,5.084,0.000,0.000
2.107,0.764,0.764,6.427,0.000,0.000
15.222,1.782,1.782,19.867,0.000,0.000
6.505,1.782,1.782,24.590,0.000,0.000
3.915,2.546,2.546,25.958,0.000,0.000
2.424,3.055,3.055,25.327,0.000,0.000
2.029,3.564,3.564,23.792,0.000,0.000
2.796,3.564,3.564,23.024,0.000,0.000
0.848,2.546,2.546,21.326,0.000,0.000
3.741,1.782,1.782,23.285,0.000,0.000
2.826,1.782,1.782,24.329,0.000,0.000
3.377,1.273,1.700,26.006,0.000,0.427
0.739,1.018,1.018,25.727,0.000,0.000
2.031,0.764,1.753,26.006,0.000,0.989
11.355,1.782,11.355,26.006,0.000,9.573
5.181,1.782,5.181,26.006,0.000,3.399
2.662,2.546,2.662,26.006,0.000,0.116
1.719,3.055,3.055,24.670,0.000,0.000
5.094,3.564,3.758,26.006,0.000,0.194
3.008,3.564,3.564,25.450,0.000,0.000
2.999,2.546,2.546,25.903,0.000,0.000
4.940,1.782,4.837,26.006,0.000,3.055
3.415,1.782,3.415,26.006,0.000,1.633
6.504,1.273,6.504,26.006,0.000,5.231
4.192,1.018,4.192,26.006,0.000,3.174
7.028,0.764,7.028,26.006,0.000,6.264
5.572,1.782,5.572,26.006,0.000,3.790
6.296,1.782,6.296,26.006,0.000,4.514
3.641,2.546,3.641,26.006,0.000,1.095
2.128,3.055,3.055,25.079,0.000,0.000
1.536,3.564,3.564,23.051,0.000,0.000
0.029,3.564,3.564,19.516,0.000,0.000
0.000,2.546,2.546,16.970,0.000,0.000
0.585,1.782,1.782,15.772,0.000,0.000
2.603,1.782,1.782,16.594,0.000,0.000
0.000,1.273,1.273,15.321,0.000,0.000
1.918,1.018,1.018,16.220,0.000,0.000
2.176,0.764,0.764,17.633,0.000,0.000
12.600,1.782,4.226,26.006,0.000,2.444
4.773,1.782,4.773,26.006,0.000,2.991
2.306,2.546,2.546,25.766,0.000,0.000
1.416,3.055,3.055,24.127,0.000,0.000
1.486,3.564,3.564,22.049,0.000,0.000
1.650,3.564,3.564,20.135,0.000,0.000
0.839,2.546,2.546,18.428,0.000,0.000
1.705,1.782,1.782,18.350,0.000,0.000
1.398,1.782,1.782,17.966,0.000,0.000
4.435,1.273,1.273,21.128,0.000,0.000
2.006,1.018,1.018,22.117,0.000,0.000
3.504,0.764,0.764,24.857,0.000,0.000
14.654,1.782,13.505,26.006,0.000,11.723
5.479,1.782,5.479,26.006,0.000,3.697
2.018,2.546,2.546,25.478,0.000,0.000
3.106,3.055,3.055,25.529,0.000,0.000
2.991,3.564,3.564,24.956,0.000,0.000
0.509,3.564,3.564,21.901,0.000,0.000
2.502,2.546,2.546,21.857,0.000,0.000
1.234,1.782,1.782,21.309,0.000,0.000
0.519,1.782,1.782,20.046,0.000,0.000
0.585,1.273,1.273,19.358,0.000,0.000
3.552,1.018,1.018,21.892,0.000,0.000
6.691,0.764,2.576,26.006,0.000,1.812
9.027,1.782,9.027,26.006,0.000,7.245
2.901,1.782,2.901,26.006,0.000,1.119
2.050,2.546,2.546,25.510,0.000,0.000
2.980,3.055,3.055,25.435,0.000,0.000
0.000,3.564,3.564,21.871,0.000,0.000
0.000,3.564,3.564,18.307,0.000,0.000
0.196,2.546,2.546,15.957,0.000,0.000
4.817,1.782,1.782,18.992,0.000,0.000
4.480,1.782,1.782,21.690,0.000,0.000
3.010,1.273,1.273,23.428,0.000,0.000
3.199,1.018,1.018,25.609,0.000,0.000
4.343,0.764,3.946,26.006,0.000,3.182
9.814,1.782,9.814,26.006,0.000,8.032
4.236,1.782,4.236,26.006,0.000,2.454
2.362,2.546,2.546,25.822,0.000,0.000
0.837,3.055,3.055,23.605,0.000,0.000
0.156,3.564,3.564,20.197,0.000,0.000
2.253,3.564,3.564,18.886,0.000,0.000
3.407,2.546,2.546,19.747,0.000,0.000
2.160,1.782,1.782,20.125,0.000,0.000
1.462,1.782,1.782,19.804,0.000,0.000
0.247,1.273,1.273,18.779,0.000,0.000
4.356,1.018,1.018,22.116,0.000,0.000
9.182,0.764,5.292,26.006,0.000,4.528
10.274,1.782,10.274,26.006,0.000,8.492
2.760,1.782,2.760,26.006,0.000,0.978
5.531,2.546,5.531,26.006,0.000,2.985
4.031,3.055,4.031,26.006,0.000,0.976
3.594,3.564,3.594,26.006,0.000,0.030
3.895,3.564,3.895,26.006,0.000,0.331
1.652,2.546,2.546,25.112,0.000,0.000
4.331,1.782,3.437,26.006,0.000,1.655
4.517,1.782,4.517,26.006,0.000,2.735
2.818,1.273,2.818,26.006,0.000,1.545
2.430,1.018,2.430,26.006,0.000,1.412
1.042,0.764,1.042,26.006,0.000,0.278
11.852,1.782,11.852,26.006,0.000,10.070
10.151,1.782,10.151,26.006,0.000,8.369
4.413,2.546,4.413,26.006,0.000,1.867
2.428,3.055,3.055,25.379,0.000,0.000
0.000,3.564,3.564,21.815,0.000,0.000
0.559,3.564,3.564,18.810,0.000,0.000
2.097,2.546,2.546,18.361,0.000,0.000
5.731,1.782,1.782,22.309,0.000,0.000
4.201,1.782,1.782,24.728,0.000,0.000
2.380,1.273,1.273,25.836,0.000,0.000
2.253,1.018,2.082,26.006,0.000,1.064
2.382,0.764,2.382,26.006,0.000,1.618
0.000,1.782,1.782,24.224,0.000,0.000
0.000,1.782,1.782,22.442,0.000,0.000
0.740,2.546,2.546,20.636,0.000,0.000
4.013,3.055,3.055,21.594,0.000,0.000
2.560,3.564,3.564,20.590,0.000,0.000
2.052,3.564,3.564,19.078,0.000,0.000
2.106,2.546,2.546,18.638,0.000,0.000
1.566,1.782,1.782,18.421,0.000,0.000
1.781,1.782,1.782,18.420,0.000,0.000
6.687,1.273,1.273,23.835,0.000,0.000
1.324,1.018,1.018,24.140,0.000,0.000
2.457,0.764,0.764,25.833,0.000,0.000
5.245,1.782,5.072,26.006,0.000,3.290
3.241,1.782,3.241,26.006,0.000,1.459
1.979,2.546,2.546,25.439,0.000,0.000
0.586,3.055,3.055,22.969,0.000,0.000
1.555,3.564,3.564,20.960,0.000,0.000
0.274,3.564,3.564,17.670,0.000,0.000
1.513,2.546,2.546,16.637,0.000,0.000
0.621,1.782,1.782,15.476,0.000,0.000
0.311,1.782,1.782,14.006,0.000,0.000
0.216,1.273,1.273,12.948,0.000,0.000
0.000,1.018,1.018,11.930,0.000,0.000
1.823,0.764,0.764,12.989,0.000,0.000
10.300,1.782,1.782,21.507,0.000,0.000
5.880,1.782,1.782,25.604,0.000,0.000
2.425,2.546,2.546,25.484,0.000,0.000
3.364,3.055,3.055,25.793,0.000,0.000
1.726,3.564,3.564,23.955,0.000,0.000
2.011,3.564,3.564,22.402,0.000,0.000
2.294,2.546,2.546,22.150,0.000,0.000
1.005,1.782,1.782,21.374,0.000,0.000
2.933,1.782,1.782,22.525,0.000,0.000
3.395,1.273,1.273,24.647,0.000,0.000
4.121,1.018,2.762,26.006,0.000,1.744
6.318,0.764,6.318,26.006,0.000,5.554
7.817,1.782,7.817,26.006,0.000,6.035
5.759,1.782,5.759,26.006,0.000,3.977
1.742,2.546,2.546,25.202,0.000,0.000
3.224,3.055,3.055,25.371,0.000,0.000
0.659,3.564,3.564,22.466,0.000,0.000
3.196,3.564,3.564,22.098,0.000,0.000
8.202,2.546,4.294,26.006,0.000,1.748
5.002,1.782,5.002,26.006,0.000,3.220
3.962,1.782,3.962,26.006,0.000,2.180
5.425,1.273,5.425,26.006,0.000,4.152
4.185,1.018,4.185,26.006,0.000,3.167
8.800,0.764,8.800,26.006,0.000,8.036
10.305,1.782,10.305,26.006,0.000,8.523
4.336,1.782,4.336,26.006,0.000,2.554
4.583,2.546,4.583,26.006,0.000,2.037
3.202,3.055,3.202,26.006,0.000,0.147
2.666,3.564,3.564,25.108,0.000,0.000
