Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],storage,deficit,overflow
0.883,1.834,1.834,49.049,0,0.000
0.673,1.834,1.834,47.888,0,0.000
1.842,1.310,1.310,48.420,0,0.000
1.477,1.048,1.048,48.849,0,0.000
4.899,0.786,0.786,52.962,0,0.000
3.022,1.834,1.834,54.150,0,0.000
3.014,1.834,1.834,55.330,0,0.000
1.766,2.620,2.620,54.476,0,0.000
1.104,3.144,3.144,52.436,0,0.000
1.296,3.668,3.668,50.063,0,0.000
0.668,3.668,3.668,47.063,0,0.000
5.177,2.620,2.620,49.620,0,0.000
3.051,1.834,1.834,50.837,0,0.000
3.719,1.834,1.834,52.722,0,0.000
1.535,1.310,1.310,52.947,0,0.000
5.172,1.048,1.048,57.070,0,0.000
6.694,0.786,0.786,62.978,0,0.000
5.874,1.834,1.834,67.018,0,0.000
4.294,1.834,1.834,69.478,0,0.000
5.973,2.620,2.620,72.831,0,0.000
1.958,3.144,3.144,71.645,0,0.000
1.837,3.668,3.668,69.814,0,0.000
1.214,3.668,3.668,67.360,0,0.000
1.051,2.620,2.620,65.791,0,0.000
1.075,1.834,1.834,65.032,0,0.000
1.808,1.834,1.834,65.006,0,0.000
3.062,1.310,1.310,66.758,0,0.000
1.632,1.048,1.048,67.342,0,0.000
2.515,0.786,0.786,69.071,0,0.000
9.582,1.834,1.834,76.819,0,0.000
3.771,1.834,1.834,78.756,0,0.000
1.608,2.620,2.620,77.744,0,0.000
1.661,3.144,3.144,76.261,0,0.000
0.865,3.668,3.668,73.458,0,0.000
0.849,3.668,3.668,70.638,0,0.000
0.830,2.620,2.620,68.849,0,0.000
1.046,1.834,1.834,68.061,0,0.000
1.138,1.834,1.834,67.365,0,0.000
1.064,1.310,1.310,67.119,0,0.000
0.815,1.048,1.048,66.886,0,0.000
3.974,0.786,0.786,70.073,0,0.000
7.140,1.834,1.834,75.380,0,0.000
2.284,1.834,1.834,75.829,0,0.000
2.486,2.620,2.620,75.695,0,0.000
1.905,3.144,3.144,74.457,0,0.000
0.836,3.668,3.668,71.624,0,0.000
0.604,3.668,3.668,68.561,0,0.000
0.704,2.620,2.620,66.645,0,0.000
0.733,1.834,1.834,65.544,0,0.000
0.704,1.834,1.834,64.415,0,0.000
0.668,1.310,1.310,63.772,0,0.000
0.657,1.048,1.048,63.381,0,0.000
2.993,0.786,0.786,65.588,0,0.000
4.746,1.834,1.834,68.501,0,0.000
2.586,1.834,1.834,69.253,0,0.000
0.988,2.620,2.620,67.621,0,0.000
0.662,3.144,3.144,65.139,0,0.000
0.423,3.668,3.668,61.894,0,0.000
0.489,3.668,3.668,58.715,0,0.000
0.778,2.620,2.620,56.873,0,0.000
1.367,1.834,1.834,56.405,0,0.000
1.511,1.834,1.834,56.082,0,0.000
1.296,1.310,1.310,56.068,0,0.000
0.849,1.048,1.048,55.869,0,0.000
5.600,0.786,0.786,60.683,0,0.000
13.421,1.834,1.834,72.270,0,0.000
9.448,1.834,1.834,79.884,0,0.000
4.502,2.620,2.620,81.766,0,0.000
1.453,3.144,3.144,80.075,0,0.000
1.151,3.668,3.668,77.558,0,0.000
1.593,3.668,3.668,75.483,0,0.000
1.104,2.620,2.620,73.966,0,0.000
1.127,1.834,1.834,73.260,0,0.000
7.285,1.834,1.834,78.711,0,0.000
3.585,1.310,1.310,80.985,0,0.000
7.477,1.048,1.048,87.414,0,0.000
4.136,0.786,0.786,90.764,0,0.000
5.658,1.834,1.834,94.588,0,0.000
3.340,1.834,1.834,96.095,0,0.000
4.323,2.620,2.620,97.798,0,0.000
6.157,3.144,3.955,100.000,0,0.811
1.330,3.668,3.668,97.662,0,0.000
2.092,3.668,3.668,96.086,0,0.000
1.847,2.620,2.620,95.313,0,0.000
2.544,1.834,1.834,96.023,0,0.000
4.531,1.834,1.834,98.720,0,0.000
4.381,1.310,3.101,100.000,0,1.791
8.152,1.048,8.152,100.000,0,7.104
6.867,0.786,6.867,100.000,0,6.081
5.763,1.834,5.763,100.000,0,3.929
1.277,1.834,1.834,99.443,0,0.000
1.185,2.620,2.620,98.008,0,0.000
1.138,3.144,3.144,96.002,0,0.000
1.453,3.668,3.668,93.788,0,0.000
1.196,3.668,3.668,91.315,0,0.000
1.290,2.620,2.620,89.986,0,0.000
1.424,1.834,1.834,89.576,0,0.000
5.763,1.834,1.834,93.505,0,0.000
7.485,1.310,1.310,99.680,0,0.000
2.730,1.048,2.410,100.000,0,1.362
9.419,0.786,9.419,100.000,0,8.633
10.480,1.834,10.480,100.000,0,8.646
3.868,1.834,3.868,100.000,0,2.034
1.703,2.620,2.620,99.083,0,0.000
1.876,3.144,3.144,97.815,0,0.000
2.189,3.668,3.668,96.336,0,0.000
3.550,3.668,3.668,96.219,0,0.000
8.029,2.620,4.247,100.000,0,1.627
1.953,1.834,1.953,100.000,0,0.119
1.756,1.834,1.834,99.922,0,0.000
1.632,1.310,1.553,100.000,0,0.243
1.608,1.048,1.608,100.000,0,0.560
4.649,0.786,4.649,100.000,0,3.863
14.530,1.834,14.530,100.000,0,12.696
7.750,1.834,7.750,100.000,0,5.916
2.625,2.620,2.625,100.000,0,0.005
1.987,3.144,3.144,98.843,0,0.000
2.144,3.668,3.668,97.319,0,0.000
2.904,3.668,3.668,96.555,0,0.000
2.010,2.620,2.620,95.946,0,0.000
1.138,1.834,1.834,95.250,0,0.000
0.930,1.834,1.834,94.346,0,0.000
0.623,1.310,1.310,93.659,0,0.000
1.306,1.048,1.048,93.917,0,0.000
3.516,0.786,0.786,96.647,0,0.000
