Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],storage,deficit,overflow
0.883,1.834,1.834,17.742,0,0.000
0.673,1.834,1.834,16.581,0,0.000
1.842,1.310,1.310,17.113,0,0.000
1.477,1.048,1.048,17.542,0,0.000
4.899,0.786,0.786,21.655,0,0.000
3.022,1.834,1.834,22.843,0,0.000
3.014,1.834,1.834,24.023,0,0.000
1.766,2.620,2.620,23.169,0,0.000
1.104,3.144,3.144,21.129,0,0.000
1.296,3.668,3.668,18.756,0,0.000
0.668,3.668,3.668,15.756,0,0.000
5.177,2.620,2.620,18.313,0,0.000
3.051,1.834,1.834,19.530,0,0.000
3.719,1.834,1.834,21.415,0,0.000
1.535,1.310,1.310,21.640,0,0.000
5.172,1.048,1.048,25.763,0,0.000
6.694,0.786,0.786,31.671,0,0.000
5.874,1.834,1.834,35.711,0,0.000
4.294,1.834,2.619,37.386,0,0.785
5.973,2.620,5.973,37.386,0,3.353
1.958,3.144,3.144,36.200,0,0.000
1.837,3.668,3.668,34.369,0,0.000
1.214,3.668,3.668,31.915,0,0.000
1.051,2.620,2.620,30.346,0,0.000
1.075,1.834,1.834,29.587,0,0.000
1.808,1.834,1.834,29.561,0,0.000
3.062,1.310,1.310,31.313,0,0.000
1.632,1.048,1.048,31.897,0,0.000
2.515,0.786,0.786,33.626,0,0.000
9.582,1.834,5.821,37.386,0,3.987
3.771,1.834,3.771,37.386,0,1.937
1.608,2.620,2.620,36.374,0,0.000
1.661,3.144,3.144,34.891,0,0.000
0.865,3.668,3.668,32.088,0,0.000
0.849,3.668,3.668,29.269,0,0.000
0.830,2.620,2.620,27.479,0,0.000
1.046,1.834,1.834,26.691,0,0.000
1.138,1.834,1.834,25.995,0,0.000
1.064,1.310,1.310,25.749,0,0.000
0.815,1.048,1.048,25.516,0,0.000
3.974,0.786,0.786,28.704,0,0.000
7.140,1.834,1.834,34.010,0,0.000
2.284,1.834,1.834,34.460,0,0.000
2.486,2.620,2.620,34.326,0,0.000
1.905,3.144,3.144,33.087,0,0.000
0.836,3.668,3.668,30.255,0,0.000
0.604,3.668,3.668,27.191,0,0.000
0.704,2.620,2.620,25.275,0,0.000
0.733,1.834,1.834,24.175,0,0.000
0.704,1.834,1.834,23.045,0,0.000
0.668,1.310,1.310,22.402,0,0.000
0.657,1.048,1.048,22.011,0,0.000
2.993,0.786,0.786,24.219,0,0.000
4.746,1.834,1.834,27.131,0,0.000
2.586,1.834,1.834,27.883,0,0.000
0.988,2.620,2.620,26.251,0,0.000
0.662,3.144,3.144,23.769,0,0.000
0.423,3.668,3.668,20.524,0,0.000
0.489,3.668,3.668,17.345,0,0.000
0.778,2.620,2.620,15.503,0,0.000
1.367,1.834,1.834,15.036,0,0.000
1.511,1.834,1.834,14.713,0,0.000
1.296,1.310,1.310,14.698,0,0.000
0.849,1.048,1.048,14.499,0,0.000
5.600,0.786,0.786,19.313,0,0.000
13.421,1.834,1.834,30.901,0,0.000
9.448,1.834,2.962,37.386,0,1.128
4.502,2.620,4.502,37.386,0,1.882
1.453,3.144,3.144,35.695,0,0.000
1.151,3.668,3.668,33.178,0,0.000
1.593,3.668,3.668,31.103,0,0.000
1.104,2.620,2.620,29.587,0,0.000
1.127,1.834,1.834,28.880,0,0.000
7.285,1.834,1.834,34.331,0,0.000
3.585,1.310,1.310,36.605,0,0.000
7.477,1.048,6.696,37.386,0,5.648
4.136,0.786,4.136,37.386,0,3.350
5.658,1.834,5.658,37.386,0,3.824
3.340,1.834,3.340,37.386,0,1.506
4.323,2.620,4.323,37.386,0,1.703
6.157,3.144,6.157,37.386,0,3.013
1.330,3.668,3.668,35.048,0,0.000
2.092,3.668,3.668,33.472,0,0.000
1.847,2.620,2.620,32.699,0,0.000
2.544,1.834,1.834,33.409,0,0.000
4.531,1.834,1.834,36.106,0,0.000
4.381,1.310,3.101,37.386,0,1.791
8.152,1.048,8.152,37.386,0,7.104
6.867,0.786,6.867,37.386,0,6.081
5.763,1.834,5.763,37.386,0,3.929
1.277,1.834,1.834,36.829,0,0.000
1.185,2.620,2.620,35.394,0,0.000
1.138,3.144,3.144,33.388,0,0.000
1.453,3.668,3.668,31.174,0,0.000
1.196,3.668,3.668,28.701,0,0.000
1.290,2.620,2.620,27.372,0,0.000
1.424,1.834,1.834,26.962,0,0.000
5.763,1.834,1.834,30.891,0,0.000
7.485,1.310,1.310,37.066,0,0.000
2.730,1.048,2.410,37.386,0,1.362
9.419,0.786,9.419,37.386,0,8.633
10.480,1.834,10.480,37.386,0,8.646
3.868,1.834,3.868,37.386,0,2.034
1.703,2.620,2.620,36.469,0,0.000
1.876,3.144,3.144,35.201,0,0.000
2.189,3.668,3.668,33.722,0,0.000
3.550,3.668,3.668,33.605,0,0.000
8.029,2.620,4.247,37.386,0,1.627
1.953,1.834,1.953,37.386,0,0.119
1.756,1.834,1.834,37.308,0,0.000
1.632,1.310,1.553,37.386,0,0.243
1.608,1.048,1.608,37.386,0,0.560
4.649,0.786,4.649,37.386,0,3.863
14.530,1.834,14.530,37.386,0,12.696
7.750,1.834,7.750,37.386,0,5.916
2.625,2.620,2.625,37.386,0,0.005
1.987,3.144,3.144,36.229,0,0.000
2.144,3.668,3.668,34.705,0,0.000
2.904,3.668,3.668,33.941,0,0.000
2.010,2.620,2.620,33.332,0,0.000
1.138,1.834,1.834,32.636,0,0.000
0.930,1.834,1.834,31.732,0,0.000
0.623,1.310,1.310,31.045,0,0.000
1.306,1.048,1.048,31.303,0,0.000
3.516,0.786,0.786,34.033,0,0.000
13.421,1.834,10.068,37.386,0,8.234
10.417,1.834,10.417,37.386,0,8.583
4.016,2.620,4.016,37.386,0,1.396
1.598,3.144,3.144,35.840,0,0.000
4.073,3.668,3.668,36.245,0,0.000
1.359,3.668,3.668,33.936,0,0.000
3.109,2.620,2.620,34.425,0,0.000
7.534,1.834,4.573,37.386,0,2.739
4.765,1.834,4.765,37.386,0,2.931
2.092,1.310,2.092,37.386,0,0.782
2.778,1.048,2.778,37.386,0,1.730
4.428,0.786,4.428,37.386,0,3.642
6.972,1.834,6.972,37.386,0,5.138
3.125,1.834,3.125,37.386,0,1.291
5.164,2.620,5.164,37.386,0,2.544
2.097,3.144,3.144,36.339,0,0.000
1.085,3.668,3.668,33.757,0,0.000
0.888,3.668,3.668,30.977,0,0.000
0.802,2.620,2.620,29.158,0,0.000
0.791,1.834,1.834,28.115,0,0.000
4.717,1.834,1.834,30.999,0,0.000
1.882,1.310,1.310,31.570,0,0.000
1.022,1.048,1.048,31.545,0,0.000
0.941,0.786,0.786,31.699,0,0.000
3.724,1.834,1.834,33.589,0,0.000
2.951,1.834,1.834,34.706,0,0.000
4.008,2.620,2.620,36.094,0,0.000
2.144,3.144,3.144,35.095,0,0.000
2.951,3.668,3.668,34.378,0,0.000
2.063,3.668,3.668,32.773,0,0.000
2.725,2.620,2.620,32.878,0,0.000
2.933,1.834,1.834,33.977,0,0.000
2.504,1.834,1.834,34.647,0,0.000
1.325,1.310,1.310,34.662,0,0.000
1.522,1.048,1.048,35.136,0,0.000
3.532,0.786,1.282,37.386,0,0.496
