Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],storage,deficit,overflow
0.883,1.834,1.834,5.011,0.000,0.000
0.673,1.834,1.834,3.849,0.000,0.000
1.842,1.310,1.310,4.382,0.000,0.000
1.477,1.048,1.048,4.810,0.000,0.000
4.899,0.786,0.786,8.923,0.000,0.000
3.022,1.834,1.834,10.111,0.000,0.000
3.014,1.834,1.834,11.292,0.000,0.000
1.766,2.620,2.620,10.438,0.000,0.000
1.104,3.144,3.144,8.397,0.000,0.000
1.296,3.668,3.668,6.025,0.000,0.000
0.668,3.668,3.668,3.024,0.000,0.000
5.177,2.620,2.620,5.582,0.000,0.000
3.051,1.834,1.834,6.799,0.000,0.000
3.719,1.834,1.834,8.683,0.000,0.000
1.535,1.310,1.310,8.908,0.000,0.000
5.172,1.048,2.157,11.923,0.000,1.109
6.694,0.786,6.694,11.923,0.000,5.908
5.874,1.834,5.874,11.923,0.000,4.040
4.294,1.834,4.294,11.923,0.000,2.460
5.973,2.620,5.973,11.923,0.000,3.353
1.958,3.144,3.144,10.737,0.000,0.000
1.837,3.668,3.668,8.906,0.000,0.000
1.214,3.668,3.668,6.452,0.000,0.000
1.051,2.620,2.620,4.883,0.000,0.000
1.075,1.834,1.834,4.124,0.000,0.000
1.808,1.834,1.834,4.098,0.000,0.000
3.062,1.310,1.310,5.850,0.000,0.000
1.632,1.048,1.048,6.434,0.000,0.000
2.515,0.786,0.786,8.163,0.000,0.000
9.582,1.834,5.821,11.923,0.000,3.987
3.771,1.834,3.771,11.923,0.000,1.937
1.608,2.620,2.620,10.911,0.000,0.000
1.661,3.144,3.144,9.428,0.000,0.000
0.865,3.668,3.668,6.625,0.000,0.000
0.849,3.668,3.668,3.806,0.000,0.000
0.830,2.620,2.620,2.016,0.000,0.000
1.046,1.834,1.834,1.228,0.000,0.000
1.138,1.834,1.834,0.532,0.000,0.000
1.064,1.310,1.310,0.286,0.000,0.000
0.815,1.048,1.048,0.053,0.000,0.000
3.974,0.786,0.786,3.241,0.000,0.000
7.140,1.834,1.834,8.547,0.000,0.000
2.284,1.834,1.834,8.997,0.000,0.000
2.486,2.620,2.620,8.863,0.000,0.000
1.905,3.144,3.144,7.624,0.000,0.000
0.836,3.668,3.668,4.792,0.000,0.000
0.604,3.668,3.668,1.728,0.000,0.000
0.704,2.620,2.808,0.000,-0.188,0.000
0.733,1.834,2.935,0.000,-1.101,0.000
0.704,1.834,2.964,0.000,-1.130,0.000
0.668,1.310,1.952,0.000,-0.642,0.000
0.657,1.048,1.439,0.000,-0.391,0.000
2.993,0.786,0.786,2.207,0.000,0.000
4.746,1.834,1.834,5.119,0.000,0.000
2.586,1.834,1.834,5.871,0.000,0.000
0.988,2.620,2.620,4.240,0.000,0.000
0.662,3.144,3.144,1.758,0.000,0.000
0.423,3.668,5.155,0.000,-1.487,0.000
0.489,3.668,6.847,0.000,-3.179,0.000
0.778,2.620,4.462,0.000,-1.842,0.000
1.367,1.834,2.301,0.000,-0.467,0.000
1.511,1.834,2.157,0.000,-0.323,0.000
1.296,1.310,1.324,0.000,-0.014,0.000
0.849,1.048,1.247,0.000,-0.199,0.000
5.600,0.786,0.786,4.814,0.000,0.000
13.421,1.834,6.312,11.923,0.000,4.478
9.448,1.834,9.448,11.923,0.000,7.614
4.502,2.620,4.502,11.923,0.000,1.882
1.453,3.144,3.144,10.232,0.000,0.000
1.151,3.668,3.668,7.715,0.000,0.000
1.593,3.668,3.668,5.640,0.000,0.000
1.104,2.620,2.620,4.124,0.000,0.000
1.127,1.834,1.834,3.417,0.000,0.000
7.285,1.834,1.834,8.868,0.000,0.000
3.585,1.310,1.310,11.142,0.000,0.000
7.477,1.048,6.696,11.923,0.000,5.648
4.136,0.786,4.136,11.923,0.000,3.350
5.658,1.834,5.658,11.923,0.000,3.824
3.340,1.834,3.340,11.923,0.000,1.506
4.323,2.620,4.323,11.923,0.000,1.703
6.157,3.144,6.157,11.923,0.000,3.013
1.330,3.668,3.668,9.585,0.000,0.000
2.092,3.668,3.668,8.009,0.000,0.000
1.847,2.620,2.620,7.236,0.000,0.000
2.544,1.834,1.834,7.946,0.000,0.000
4.531,1.834,1.834,10.643,0.000,0.000
4.381,1.310,3.101,11.923,0.000,1.791
8.152,1.048,8.152,11.923,0.000,7.104
6.867,0.786,6.867,11.923,0.000,6.081
5.763,1.834,5.763,11.923,0.000,3.929
1.277,1.834,1.834,11.366,0.000,0.000
1.185,2.620,2.620,9.931,0.000,0.000
1.138,3.144,3.144,7.925,0.000,0.000
1.453,3.668,3.668,5.711,0.000,0.000
1.196,3.668,3.668,3.238,0.000,0.000
1.290,2.620,2.620,1.909,0.000,0.000
1.424,1.834,1.834,1.499,0.000,0.000
