Monat,Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
11/1959,0.883,1.834,1.834,6.541,0.000,0.000
12/1959,0.673,1.834,1.834,5.380,0.000,0.000
01/1960,1.842,1.310,1.310,5.912,0.000,0.000
02/1960,1.477,1.048,1.048,6.341,0.000,0.000
03/1960,4.899,0.786,0.786,10.454,0.000,0.000
04/1960,3.022,1.834,1.834,11.642,0.000,0.000
05/1960,3.014,1.834,1.834,12.822,0.000,0.000
06/1960,1.766,2.620,2.620,11.968,0.000,0.000
07/1960,1.104,3.144,3.144,9.928,0.000,0.000
08/1960,1.296,3.668,3.668,7.555,0.000,0.000
09/1960,0.668,3.668,3.668,4.555,0.000,0.000
10/1960,5.177,2.620,2.620,7.112,0.000,0.000
11/1960,3.051,1.834,1.834,8.329,0.000,0.000
12/1960,3.719,1.834,1.834,10.214,0.000,0.000
01/1961,1.535,1.310,1.310,10.439,0.000,0.000
02/1961,5.172,1.048,1.048,14.562,0.000,0.000
03/1961,6.694,0.786,6.272,14.984,0.000,5.486
04/1961,5.874,1.834,5.874,14.984,0.000,4.040
05/1961,4.294,1.834,4.294,14.984,0.000,2.460
06/1961,5.973,2.620,5.973,14.984,0.000,3.353
07/1961,1.958,3.144,3.144,13.798,0.000,0.000
08/1961,1.837,3.668,3.668,11.967,0.000,0.000
09/1961,1.214,3.668,3.668,9.513,0.000,0.000
10/1961,1.051,2.620,2.620,7.944,0.000,0.000
11/1961,1.075,1.834,1.834,7.185,0.000,0.000
12/1961,1.808,1.834,1.834,7.159,0.000,0.000
01/1962,3.062,1.310,1.310,8.911,0.000,0.000
02/1962,1.632,1.048,1.048,9.495,0.000,0.000
03/1962,2.515,0.786,0.786,11.224,0.000,0.000
04/1962,9.582,1.834,5.821,14.984,0.000,3.987
05/1962,3.771,1.834,3.771,14.984,0.000,1.937
06/1962,1.608,2.620,2.620,13.972,0.000,0.000
07/1962,1.661,3.144,3.144,12.489,0.000,0.000
08/1962,0.865,3.668,3.668,9.686,0.000,0.000
09/1962,0.849,3.668,3.668,6.867,0.000,0.000
10/1962,0.830,2.620,2.620,5.077,0.000,0.000
11/1962,1.046,1.834,1.834,4.289,0.000,0.000
