Kapazität [hm³],Speicherausbaugrad für MQ 37.465 hm³ [-]
5,0.13345872047038965
10,0.2669174409407793
15,0.40037616141116894
20,0.5338348818815586
25,0.6672936023519482
30,0.8007523228223379
35,0.9342110432927275
40,1.0676697637631172
45,1.2011284842335068
50,1.3345872047038965
