Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],storage,deficit,overflow
1.923,2.537,2.537,18.303,0.000,0.000
0.398,1.776,1.776,16.925,0.000,0.000
0.614,1.776,1.776,15.762,0.000,0.000
3.073,1.268,1.268,17.567,0.000,0.000
1.290,1.015,1.015,17.842,0.000,0.000
3.409,0.761,0.761,20.490,0.000,0.000
2.853,1.776,1.776,21.567,0.000,0.000
1.839,1.776,1.776,21.630,0.000,0.000
0.787,2.537,2.537,19.880,0.000,0.000
-0.358,3.044,3.044,16.478,0.000,0.000
-0.199,3.552,3.552,12.727,0.000,0.000
1.879,3.552,3.552,11.054,0.000,0.000
1.087,2.537,2.537,9.603,0.000,0.000
1.429,1.776,1.776,9.257,0.000,0.000
1.304,1.776,1.776,8.784,0.000,0.000
0.494,1.268,1.268,8.010,0.000,0.000
1.681,1.015,1.015,8.676,0.000,0.000
5.360,0.761,0.761,13.276,0.000,0.000
3.658,1.776,1.776,15.158,0.000,0.000
1.270,1.776,1.776,14.651,0.000,0.000
1.562,2.537,2.537,13.676,0.000,0.000
2.590,3.044,3.044,13.222,0.000,0.000
1.754,3.552,3.552,11.423,0.000,0.000
2.292,3.552,3.552,10.164,0.000,0.000
0.988,2.537,2.537,8.615,0.000,0.000
4.317,1.776,1.776,11.156,0.000,0.000
8.778,1.776,1.776,18.158,0.000,0.000
7.328,1.268,1.268,24.218,0.000,0.000
6.149,1.015,4.361,26.006,0.000,3.346
3.001,0.761,3.001,26.006,0.000,2.240
7.374,1.776,7.374,26.006,0.000,5.598
6.867,1.776,6.867,26.006,0.000,5.091
3.369,2.537,3.369,26.006,0.000,0.832
6.168,3.044,6.168,26.006,0.000,3.124
1.368,3.552,3.552,23.822,0.000,0.000
1.734,3.552,3.552,22.004,0.000,0.000
3.498,2.537,2.537,22.965,0.000,0.000
0.880,1.776,1.776,22.070,0.000,0.000
1.204,1.776,1.776,21.497,0.000,0.000
3.289,1.268,1.268,23.518,0.000,0.000
5.417,1.015,2.930,26.006,0.000,1.915
4.908,0.761,4.908,26.006,0.000,4.147
9.371,1.776,9.371,26.006,0.000,7.595
3.753,1.776,3.753,26.006,0.000,1.977
3.304,2.537,3.304,26.006,0.000,0.767
6.356,3.044,6.356,26.006,0.000,3.312
3.028,3.552,3.552,25.482,0.000,0.000
2.624,3.552,3.552,24.553,0.000,0.000
4.581,2.537,3.128,26.006,0.000,0.591
1.505,1.776,1.776,25.735,0.000,0.000
1.432,1.776,1.776,25.391,0.000,0.000
-0.058,1.268,1.268,24.065,0.000,0.000
0.933,1.015,1.015,23.983,0.000,0.000
9.458,0.761,7.436,26.006,0.000,6.675
7.718,1.776,7.718,26.006,0.000,5.942
2.461,1.776,2.461,26.006,0.000,0.685
1.073,2.537,2.537,24.542,0.000,0.000
0.563,3.044,3.044,22.061,0.000,0.000
1.952,3.552,3.552,20.461,0.000,0.000
4.576,3.552,3.552,21.485,0.000,0.000
3.588,2.537,2.537,22.537,0.000,0.000
0.615,1.776,1.776,21.375,0.000,0.000
0.922,1.776,1.776,20.521,0.000,0.000
3.855,1.268,1.268,23.108,0.000,0.000
0.813,1.015,1.015,22.906,0.000,0.000
3.985,0.761,0.885,26.006,0.000,0.124
9.523,1.776,9.523,26.006,0.000,7.747
3.268,1.776,3.268,26.006,0.000,1.492
-0.147,2.537,2.537,23.322,0.000,0.000
4.834,3.044,3.044,25.112,0.000,0.000
2.932,3.552,3.552,24.492,0.000,0.000
3.054,3.552,3.552,23.993,0.000,0.000
1.840,2.537,2.537,23.296,0.000,0.000
-0.717,1.776,1.776,20.804,0.000,0.000
0.044,1.776,1.776,19.072,0.000,0.000
8.300,1.268,1.366,26.006,0.000,0.098
1.432,1.015,1.432,26.006,0.000,0.417
4.042,0.761,4.042,26.006,0.000,3.281
2.531,1.776,2.531,26.006,0.000,0.755
0.406,1.776,1.776,24.636,0.000,0.000
1.438,2.537,2.537,23.537,0.000,0.000
2.902,3.044,3.044,23.395,0.000,0.000
1.766,3.552,3.552,21.609,0.000,0.000
0.224,3.552,3.552,18.281,0.000,0.000
-0.628,2.537,2.537,15.116,0.000,0.000
7.772,1.776,1.776,21.112,0.000,0.000
5.346,1.776,1.776,24.682,0.000,0.000
3.279,1.268,1.955,26.006,0.000,0.687
2.825,1.015,2.825,26.006,0.000,1.810
5.319,0.761,5.319,26.006,0.000,4.558
9.988,1.776,9.988,26.006,0.000,8.212
4.946,1.776,4.946,26.006,0.000,3.170
3.461,2.537,3.461,26.006,0.000,0.924
2.322,3.044,3.044,25.284,0.000,0.000
1.397,3.552,3.552,23.129,0.000,0.000
3.253,3.552,3.552,22.830,0.000,0.000
2.241,2.537,2.537,22.534,0.000,0.000
2.161,1.776,1.776,22.919,0.000,0.000
3.885,1.776,1.776,25.028,0.000,0.000
7.160,1.268,6.181,26.006,0.000,4.913
5.004,1.015,5.004,26.006,0.000,3.989
6.360,0.761,6.360,26.006,0.000,5.599
7.693,1.776,7.693,26.006,0.000,5.917
3.497,1.776,3.497,26.006,0.000,1.721
