Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
0.64,2.5444638954000003,2.5444638954000003,14.097350834999999,0.0,0.0
0.552,2.5444638954000003,2.5444638954000003,13.003542939599999,0.0,0.0
0.979,1.817474211,1.817474211,13.7588807286,0.0,0.0
0.775,1.4539793688,1.4539793688,14.3416013598,0.0,0.0
2.614,1.0904845266,1.0904845266,20.1207088332,0.0,0.0
1.603,2.5444638954000003,2.5444638954000003,21.788928937799998,0.0,0.0
1.701,2.5444638954000003,2.5444638954000003,23.714693042399997,0.0,0.0
1.143,3.634948422,3.634948422,23.0835486204,0.0,0.0
0.867,4.3619381064,4.3619381064,21.000086514,0.0,0.0
0.972,5.088927790800001,5.088927790800001,18.4655747232,0.0,0.0
0.565,5.088927790800001,5.088927790800001,14.861466932399999,0.0,0.0
2.601,3.634948422,3.634948422,18.0619465104,0.0,0.0
1.103,2.5444638954000003,2.5444638954000003,18.416166614999998,0.0,0.0
1.274,2.5444638954000003,2.5444638954000003,19.219774719599997,0.0,0.0
0.765,1.817474211,1.817474211,19.412720508599996,0.0,0.0
2.676,1.4539793688,1.4539793688,24.991269139799996,0.0,0.0
3.737,1.0904845266,4.892315678999999,29.919789460799997,0.0,3.8018311523999984
2.831,2.5444638954000003,7.439867999999997,29.919789460799997,0.0,4.895404104599997
2.302,2.5444638954000003,6.049655999999999,29.919789460799997,0.0,3.505192104599999
1.688,3.634948422,4.436064000000002,29.919789460799997,0.0,0.801115578000001
0.535,4.3619381064,4.3619381064,26.963831354399996,0.0,0.0
0.44,5.088927790800001,5.088927790800001,23.031223563599994,0.0,0.0
0.302,5.088927790800001,5.088927790800001,18.735951772799993,0.0,0.0
0.236,3.634948422,3.634948422,15.721211350799994,0.0,0.0
0.292,2.5444638954000003,2.5444638954000003,13.944123455399993,0.0,0.0
0.384,2.5444638954000003,2.5444638954000003,12.408811559999993,0.0,0.0
1.13,1.817474211,1.817474211,13.560977348999993,0.0,0.0
1.08,1.4539793688,1.4539793688,14.945237980199993,0.0,0.0
1.071,1.0904845266,1.0904845266,16.669341453599994,0.0,0.0
3.96,2.5444638954000003,2.5444638954000003,24.531757558199992,0.0,0.0
1.714,2.5444638954000003,2.5444638954000003,26.49168566279999,0.0,0.0
0.736,3.634948422,3.634948422,24.790945240799992,0.0,0.0
0.614,4.3619381064,4.3619381064,22.042599134399993,0.0,0.0
0.41,5.088927790800001,5.088927790800001,18.031151343599994,0.0,0.0
0.335,5.088927790800001,5.088927790800001,13.822603552799993,0.0,0.0
0.273,3.634948422,3.634948422,10.905099130799993,0.0,0.0
0.233,2.5444638954000003,2.5444638954000003,8.972959235399992,0.0,0.0
0.286,2.5444638954000003,2.5444638954000003,7.180103339999992,0.0,0.0
0.151,1.817474211,1.817474211,5.759457128999991,0.0,0.0
0.115,1.4539793688,1.4539793688,4.607697760199992,0.0,0.0
1.435,1.0904845266,1.0904845266,7.288393233599992,0.0,0.0
1.987,2.5444638954000003,2.5444638954000003,9.965765338199992,0.0,0.0
1.33,2.5444638954000003,2.5444638954000003,10.916541442799991,0.0,0.0
1.025,3.634948422,3.634948422,9.97529302079999,0.0,0.0
0.795,4.3619381064,4.3619381064,7.702614914399989,0.0,0.0
0.351,5.088927790800001,5.088927790800001,3.5361151235999886,0.0,0.0
0.365,5.088927790800001,4.495335123599989,0.0,-0.5935926672000118,0.0
0.624,3.634948422,1.639872,0.0,-1.995076422,0.0
0.601,2.5444638954000003,1.579428,0.0,-0.9650358954000002,0.0
