original,G001,G002,G003,G004,G005,G006,G007,G008,G009,G010,G011,G012,G013,G014,G015,G016,G017,G018,G019,G020,G021,G022,G023,G024,G025,G026,G027,G028,G029,G030,G031,G032,G033,G034,G035,G036,G037,G038,G039,G040,G041,G042,G043,G044,G045,G046,G047,G048,G049,G050,G051,G052,G053,G054,G055,G056,G057,G058,G059,G060,G061,G062,G063,G064,G065,G066,G067,G068,G069,G070,G071,G072,G073,G074,G075,G076,G077,G078,G079,G080,G081,G082,G083,G084,G085,G086,G087,G088,G089,G090,G091,G092,G093,G094,G095,G096,G097,G098,G099,G100
2.5444638954000003,2.5314757506847667,2.612501953936233,2.5446994617672143,2.4985569194848227,2.4543356325868473,2.5707330280718055,2.467605872962369,2.503991812868013,2.4524916690880283,2.625276108070122,2.578563172504992,2.591573717102859,2.5680544022312883,2.6055208916511967,2.6436324263296735,2.602087595361634,2.464785409744928,2.5694492603379624,2.5773956588704077,2.633322798556499,2.500250832840089,2.4978072014008075,2.615683636657181,2.5547206830778344,2.4965486926789455,2.555499833331023,2.4579621702864807,2.6042638745823914,2.468336869499993,2.438350541611618,2.6127738832707266,2.5907940352010597,2.5709935924013037,2.6581287921850616,2.494473332454204,2.5106770153689584,2.397769105792497,2.525412023643345,2.5835200831174348,2.461982110290604,2.542126645480576,2.4689324356021856,2.5225828079825927,2.542707799634695,2.4365945403166167,2.416582083810513,2.625536022669456,2.502956657692862,2.481858980883626,2.45512712632455,2.5461213841832593,2.440273459385147,2.526404716756869,2.5755287149453987,2.48711417938471,2.5506122019014597,2.4927658299764897,2.55237753363957,2.4720994556287064,2.573016779384391,2.5587029400120587,2.5440209393610163,2.456878805766225,2.5668439223677177,2.6439418331641904,2.561654563250006,2.520691134739968,2.57122227406407,2.6150372047530626,2.5383094453651505,2.5439332389977145,2.5367810058673026,2.593656327508853,2.5803453450176654,2.5831645534553287,2.4687784906189605,2.579572027176559,2.435320898561061,2.6143434156850827,2.5084622198992372,2.5354173046526487,2.5418306732721834,2.5870152173004572,2.568327007266506,2.5918603931519613,2.6042888236372286,2.544876573184997,2.603563417315473,2.705044596825719,2.4140419857487827,2.5916492683678163,2.6902280618644347,2.568661702422414,2.5435343817870413,2.6620876215765814,2.572992198923809,2.4732861315211654,2.6395068853349044,2.5344634275438995,2.4554600159622235
2.5444638954000003,2.5314757506847667,2.612501953936233,2.5446994617672143,2.4985569194848227,2.4543356325868473,2.5707330280718055,2.467605872962369,2.503991812868013,2.4524916690880283,2.625276108070122,2.578563172504992,2.591573717102859,2.5680544022312883,2.6055208916511967,2.6436324263296735,2.602087595361634,2.464785409744928,2.5694492603379624,2.5773956588704077,2.633322798556499,2.500250832840089,2.4978072014008075,2.615683636657181,2.5547206830778344,2.4965486926789455,2.555499833331023,2.4579621702864807,2.6042638745823914,2.468336869499993,2.438350541611618,2.6127738832707266,2.5907940352010597,2.5709935924013037,2.6581287921850616,2.494473332454204,2.5106770153689584,2.397769105792497,2.525412023643345,2.5835200831174348,2.461982110290604,2.542126645480576,2.4689324356021856,2.5225828079825927,2.542707799634695,2.4365945403166167,2.416582083810513,2.625536022669456,2.502956657692862,2.481858980883626,2.45512712632455,2.5461213841832593,2.440273459385147,2.526404716756869,2.5755287149453987,2.48711417938471,2.5506122019014597,2.4927658299764897,2.55237753363957,2.4720994556287064,2.573016779384391,2.5587029400120587,2.5440209393610163,2.456878805766225,2.5668439223677177,2.6439418331641904,2.561654563250006,2.520691134739968,2.57122227406407,2.6150372047530626,2.5383094453651505,2.5439332389977145,2.5367810058673026,2.593656327508853,2.5803453450176654,2.5831645534553287,2.4687784906189605,2.579572027176559,2.435320898561061,2.6143434156850827,2.5084622198992372,2.5354173046526487,2.5418306732721834,2.5870152173004572,2.568327007266506,2.5918603931519613,2.6042888236372286,2.544876573184997,2.603563417315473,2.705044596825719,2.4140419857487827,2.5916492683678163,2.6902280618644347,2.568661702422414,2.5435343817870413,2.6620876215765814,2.572992198923809,2.4732861315211654,2.6395068853349044,2.5344634275438995,2.4554600159622235
1.817474211,1.8081969647748335,1.8660728242401663,1.8176424726908673,1.7846835139177306,1.7530968804191762,1.8362378771941468,1.7625756235445493,1.7885655806200094,1.751779763634306,1.8751972200500873,1.8418308375035652,1.8511240836448992,1.8343245730223487,1.861086351179426,1.8883088759497664,1.8586339966868817,1.760561006960663,1.8353209002414015,1.8409968991931482,1.8809448561117847,1.7858934520286351,1.7841480010005766,1.8683454547551295,1.8248004879127389,1.7832490661992466,1.8253570238078738,1.7556872644903432,1.860188481844565,1.7630977639285663,1.741678958294013,1.8662670594790907,1.8505671680007567,1.8364239945723595,1.8986634229893296,1.781766666038717,1.7933407252635418,1.7126922184232118,1.8038657311738178,1.8453714879410246,1.7585586502075745,1.8158047467718401,1.7635231682872754,1.801844862844709,1.816219856881925,1.7404246716547265,1.7261300598646523,1.8753828733353255,1.7878261840663303,1.7727564149168757,1.7536622330889644,1.818658131559471,1.7430524709893906,1.8045747976834776,1.8396633678181415,1.7765101281319358,1.8218658585010428,1.7805470214117785,1.8231268097425501,1.765785325449076,1.8378691281317077,1.8276449571514706,1.8171578138292974,1.7549134326901608,1.83345994454837,1.888529880831565,1.82975325946429,1.8004936676714056,1.8365873386171925,1.8678837176807592,1.8130781752608216,1.8170951707126533,1.811986432762359,1.8526116625063238,1.843103817869761,1.8451175381823772,1.7634132075849716,1.842551447983256,1.739514927543615,1.8673881540607735,1.791758728499455,1.8110123604661776,1.8155933380515594,1.8478680123574693,1.834519290904647,1.8513288522514006,1.8602063025980202,1.8177689808464266,1.859688155225338,1.9321747120183712,1.7243157041062738,1.8511780488341545,1.9215914727603105,1.8347583588731529,1.8168102727050295,1.9014911582689864,1.8378515706598635,1.7666329510865466,1.8853620609535036,1.810331019674214,1.7539000114015881
1.4539793688,1.4465575718198669,1.4928582593921331,1.454113978152694,1.4277468111341844,1.4024775043353412,1.4689903017553174,1.4100604988356393,1.4308524644960074,1.4014238109074446,1.5001577760400697,1.4734646700028522,1.4808992669159196,1.4674596584178792,1.4888690809435408,1.5106471007598132,1.4869071973495052,1.4084488055685307,1.468256720193121,1.4727975193545186,1.504755884889428,1.428714761622908,1.4273184008004614,1.4946763638041036,1.4598403903301909,1.4265992529593974,1.460285619046299,1.4045498115922745,1.4881507854756522,1.410478211142853,1.3933431666352103,1.4930136475832727,1.4804537344006055,1.4691391956578879,1.5189307383914634,1.4254133328309735,1.4346725802108335,1.3701537747385697,1.4430925849390541,1.47629719035282,1.4068469201660594,1.4526437974174722,1.41081853462982,1.4414758902757672,1.4529758855055401,1.3923397373237811,1.3809040478917218,1.5003062986682605,1.430260947253064,1.4182051319335007,1.4029297864711714,1.454926505247577,1.3944419767915128,1.4436598381467822,1.4717306942545134,1.4212081025055487,1.4574926868008342,1.4244376171294229,1.4585014477940401,1.4126282603592608,1.4702953025053662,1.4621159657211766,1.4537262510634381,1.4039307461521284,1.4667679556386957,1.5108239046652516,1.463802607571432,1.4403949341371247,1.4692698708937542,1.4943069741446076,1.4504625402086575,1.4536761365701225,1.449589146209887,1.482089330005059,1.474483054295809,1.4760940305459018,1.4107305660679774,1.474041158386605,1.391611942034892,1.4939105232486187,1.4334069827995641,1.4488098883729421,1.4524746704412477,1.4782944098859756,1.4676154327237174,1.4810630818011208,1.4881650420784163,1.4542151846771414,1.4877505241802704,1.5457397696146968,1.3794525632850188,1.4809424390673238,1.5372731782082485,1.4678066870985225,1.4534482181640238,1.5211929266151893,1.4702812565278909,1.4133063608692373,1.5082896487628028,1.4482648157393712,1.4031200091212706
1.0904845266,1.0849181788649003,1.1196436945441,1.0905854836145203,1.0708101083506383,1.0518581282515058,1.101742726316488,1.0575453741267296,1.0731393483720055,1.0510678581805835,1.1251183320300524,1.1050985025021394,1.1106744501869397,1.1005947438134094,1.1166518107076555,1.13298532556986,1.1151803980121286,1.0563366041763977,1.1011925401448408,1.104598139515889,1.128566913667071,1.0715360712171809,1.070488800600346,1.1210072728530776,1.0948802927476433,1.069949439719548,1.095214214284724,1.0534123586942057,1.1161130891067392,1.0578586583571399,1.0450073749764077,1.1197602356874545,1.110340300800454,1.1018543967434156,1.1391980537935977,1.0690599996232302,1.076004435158125,1.0276153310539273,1.0823194387042905,1.1072228927646148,1.0551351901245445,1.089482848063104,1.058113900972365,1.0811069177068255,1.0897319141291548,1.0442548029928358,1.0356780359187916,1.1252297240011955,1.072695710439798,1.0636538489501255,1.0521973398533786,1.0911948789356825,1.0458314825936346,1.0827448786100866,1.1037980206908853,1.0659060768791615,1.0931195151006257,1.068328212847067,1.09387608584553,1.0594711952694453,1.1027214768790248,1.0965869742908823,1.0902946882975784,1.0529480596140963,1.1000759667290219,1.1331179284989388,1.097851955678574,1.0802962006028434,1.1019524031703156,1.1207302306084554,1.0878469051564932,1.090257102427592,1.0871918596574153,1.1115669975037943,1.1058622907218567,1.1070705229094266,1.0580479245509828,1.1055308687899539,1.0437089565261692,1.120432892436464,1.075055237099673,1.0866074162797066,1.0893560028309357,1.1087208074144816,1.1007115745427882,1.1107973113508405,1.116123781558812,1.0906613885078562,1.1158128931352025,1.1593048272110225,1.034589422463764,1.1107068293004927,1.1529548836561863,1.1008550153238919,1.0900861636230177,1.140894694961392,1.1027109423959183,1.059979770651928,1.1312172365721018,1.0861986118045284,1.052340006840953
2.5444638954000003,2.5314757506847667,2.612501953936233,2.5446994617672143,2.4985569194848227,2.4543356325868473,2.5707330280718055,2.467605872962369,2.503991812868013,2.4524916690880283,2.625276108070122,2.578563172504992,2.591573717102859,2.5680544022312883,2.6055208916511967,2.6436324263296735,2.602087595361634,2.464785409744928,2.5694492603379624,2.5773956588704077,2.633322798556499,2.500250832840089,2.4978072014008075,2.615683636657181,2.5547206830778344,2.4965486926789455,2.555499833331023,2.4579621702864807,2.6042638745823914,2.468336869499993,2.438350541611618,2.6127738832707266,2.5907940352010597,2.5709935924013037,2.6581287921850616,2.494473332454204,2.5106770153689584,2.397769105792497,2.525412023643345,2.5835200831174348,2.461982110290604,2.542126645480576,2.4689324356021856,2.5225828079825927,2.542707799634695,2.4365945403166167,2.416582083810513,2.625536022669456,2.502956657692862,2.481858980883626,2.45512712632455,2.5461213841832593,2.440273459385147,2.526404716756869,2.5755287149453987,2.48711417938471,2.5506122019014597,2.4927658299764897,2.55237753363957,2.4720994556287064,2.573016779384391,2.5587029400120587,2.5440209393610163,2.456878805766225,2.5668439223677177,2.6439418331641904,2.561654563250006,2.520691134739968,2.57122227406407,2.6150372047530626,2.5383094453651505,2.5439332389977145,2.5367810058673026,2.593656327508853,2.5803453450176654,2.5831645534553287,2.4687784906189605,2.579572027176559,2.435320898561061,2.6143434156850827,2.5084622198992372,2.5354173046526487,2.5418306732721834,2.5870152173004572,2.568327007266506,2.5918603931519613,2.6042888236372286,2.544876573184997,2.603563417315473,2.705044596825719,2.4140419857487827,2.5916492683678163,2.6902280618644347,2.568661702422414,2.5435343817870413,2.6620876215765814,2.572992198923809,2.4732861315211654,2.6395068853349044,2.5344634275438995,2.4554600159622235
2.5444638954000003,2.5314757506847667,2.612501953936233,2.5446994617672143,2.4985569194848227,2.4543356325868473,2.5707330280718055,2.467605872962369,2.503991812868013,2.4524916690880283,2.625276108070122,2.578563172504992,2.591573717102859,2.5680544022312883,2.6055208916511967,2.6436324263296735,2.602087595361634,2.464785409744928,2.5694492603379624,2.5773956588704077,2.633322798556499,2.500250832840089,2.4978072014008075,2.615683636657181,2.5547206830778344,2.4965486926789455,2.555499833331023,2.4579621702864807,2.6042638745823914,2.468336869499993,2.438350541611618,2.6127738832707266,2.5907940352010597,2.5709935924013037,2.6581287921850616,2.494473332454204,2.5106770153689584,2.397769105792497,2.525412023643345,2.5835200831174348,2.461982110290604,2.542126645480576,2.4689324356021856,2.5225828079825927,2.542707799634695,2.4365945403166167,2.416582083810513,2.625536022669456,2.502956657692862,2.481858980883626,2.45512712632455,2.5461213841832593,2.440273459385147,2.526404716756869,2.5755287149453987,2.48711417938471,2.5506122019014597,2.4927658299764897,2.55237753363957,2.4720994556287064,2.573016779384391,2.5587029400120587,2.5440209393610163,2.456878805766225,2.5668439223677177,2.6439418331641904,2.561654563250006,2.520691134739968,2.57122227406407,2.6150372047530626,2.5383094453651505,2.5439332389977145,2.5367810058673026,2.593656327508853,2.5803453450176654,2.5831645534553287,2.4687784906189605,2.579572027176559,2.435320898561061,2.6143434156850827,2.5084622198992372,2.5354173046526487,2.5418306732721834,2.5870152173004572,2.568327007266506,2.5918603931519613,2.6042888236372286,2.544876573184997,2.603563417315473,2.705044596825719,2.4140419857487827,2.5916492683678163,2.6902280618644347,2.568661702422414,2.5435343817870413,2.6620876215765814,2.572992198923809,2.4732861315211654,2.6395068853349044,2.5344634275438995,2.4554600159622235
3.634948422,3.616393929549667,3.7321456484803326,3.6352849453817346,3.5693670278354612,3.5061937608383524,3.6724757543882935,3.5251512470890987,3.5771311612400187,3.503559527268612,3.7503944401001745,3.6836616750071305,3.7022481672897984,3.6686491460446975,3.722172702358852,3.7766177518995327,3.7172679933737633,3.521122013921326,3.670641800482803,3.6819937983862965,3.7618897122235695,3.5717869040572703,3.568296002001153,3.736690909510259,3.6496009758254777,3.5664981323984932,3.6507140476157476,3.5113745289806864,3.72037696368913,3.5261955278571326,3.483357916588026,3.7325341189581813,3.7011343360015134,3.672847989144719,3.797326845978659,3.563533332077434,3.5866814505270836,3.4253844368464237,3.6077314623476355,3.690742975882049,3.517117300415149,3.6316094935436802,3.527046336574551,3.603689725689418,3.63243971376385,3.480849343309453,3.4522601197293046,3.750765746670651,3.5756523681326606,3.5455128298337515,3.507324466177929,3.637316263118942,3.4861049419787813,3.6091495953669552,3.679326735636283,3.5530202562638715,3.6437317170020855,3.561094042823557,3.6462536194851003,3.531570650898152,3.6757382562634153,3.655289914302941,3.634315627658595,3.5098268653803215,3.66691988909674,3.77705976166313,3.65950651892858,3.6009873353428112,3.673174677234385,3.7357674353615185,3.626156350521643,3.6341903414253065,3.623972865524718,3.7052233250126476,3.686207635739522,3.6902350763647545,3.526826415169943,3.685102895966512,3.47902985508723,3.734776308121547,3.58351745699891,3.6220247209323553,3.631186676103119,3.6957360247149387,3.669038581809294,3.7026577045028013,3.7204126051960404,3.635537961692853,3.719376310450676,3.8643494240367424,3.4486314082125475,3.702356097668309,3.843182945520621,3.6695167177463057,3.633620545410059,3.802982316537973,3.675703141319727,3.533265902173093,3.770724121907007,3.620662039348428,3.5078000228031763
4.3619381064,4.339672715459601,4.4785747781764,4.362341934458081,4.283240433402553,4.207432513006023,4.406970905265952,4.230181496506918,4.292557393488022,4.204271432722334,4.50047332812021,4.4203940100085575,4.442697800747759,4.4023789752536375,4.466607242830622,4.53194130227944,4.460721592048515,4.225346416705591,4.404770160579363,4.418392558063556,4.514267654668284,4.2861442848687235,4.281955202401384,4.48402909141231,4.379521170990573,4.279797758878192,4.380856857138896,4.213649434776823,4.464452356426957,4.2314346334285595,4.180029499905631,4.479040942749818,4.441361203201816,4.407417586973662,4.556792215174391,4.276239998492921,4.3040177406325,4.110461324215709,4.329277754817162,4.428891571058459,4.220540760498178,4.357931392252416,4.23245560388946,4.324427670827302,4.358927656516619,4.177019211971343,4.142712143675166,4.500918896004782,4.290782841759192,4.254615395800502,4.208789359413514,4.36477951574273,4.183325930374538,4.3309795144403465,4.415192082763541,4.263624307516646,4.372478060402503,4.273312851388268,4.37550434338212,4.237884781077781,4.410885907516099,4.386347897163529,4.3611787531903135,4.211792238456385,4.400303866916087,4.532471713995755,4.391407822714296,4.3211848024113735,4.4078096126812625,4.482920922433822,4.351387620625973,4.361028409710368,4.348767438629661,4.446267990015177,4.423449162887427,4.428282091637707,4.232191698203931,4.4221234751598155,4.174835826104677,4.481731569745856,4.300220948398692,4.346429665118826,4.357424011323743,4.434883229657927,4.402846298171153,4.443189245403362,4.464495126235248,4.362645554031425,4.46325157254081,4.63721930884409,4.138357689855056,4.442827317201971,4.611819534624745,4.403420061295567,4.360344654492071,4.563578779845568,4.410843769583673,4.239919082607712,4.524868946288407,4.3447944472181135,4.209360027363812
5.088927790800001,5.062951501369533,5.225003907872466,5.089398923534429,4.9971138389696454,4.908671265173695,5.141466056143611,4.935211745924738,5.007983625736026,4.904983338176057,5.250552216140244,5.157126345009984,5.183147434205718,5.136108804462577,5.211041783302393,5.287264852659347,5.204175190723268,4.929570819489856,5.138898520675925,5.154791317740815,5.266645597112998,5.000501665680178,4.995614402801615,5.231367273314362,5.109441366155669,4.993097385357891,5.110999666662046,4.915924340572961,5.208527749164783,4.936673738999986,4.876701083223236,5.225547766541453,5.181588070402119,5.141987184802607,5.316257584370123,4.988946664908408,5.021354030737917,4.795538211584994,5.05082404728669,5.1670401662348695,4.923964220581208,5.084253290961152,4.937864871204371,5.045165615965185,5.08541559926939,4.873189080633233,4.833164167621026,5.251072045338912,5.005913315385724,4.963717961767252,4.9102542526491,5.092242768366519,4.880546918770294,5.052809433513738,5.151057429890797,4.97422835876942,5.101224403802919,4.985531659952979,5.10475506727914,4.944198911257413,5.146033558768782,5.117405880024117,5.0880418787220325,4.91375761153245,5.1336878447354355,5.287883666328381,5.123309126500012,5.041382269479936,5.14244454812814,5.230074409506125,5.076618890730301,5.087866477995429,5.073562011734605,5.187312655017706,5.160690690035331,5.166329106910657,4.937556981237921,5.159144054353118,4.870641797122122,5.228686831370165,5.0169244397984745,5.070834609305297,5.083661346544367,5.1740304346009145,5.136654014533012,5.1837207863039225,5.208577647274457,5.089753146369994,5.207126834630946,5.410089193651438,4.828083971497565,5.183298536735633,5.3804561237288695,5.137323404844828,5.0870687635740826,5.324175243153163,5.145984397847618,4.946572263042331,5.279013770669809,5.068926855087799,4.910920031924447
