Rangzahl [-],Kapazität [hm³],empirische Pu [-],theoretische Pu [-],empirische Quantile [hm³],theoretische Quantile [hm³]
1,17.42249949199214,0.009900990099009901,0.008232491387425694,17.42249949199214,17.5888641756693
2,17.46458480251266,0.019801980198019802,0.00863181266885966,17.46458480251266,18.278389895355723
3,18.334739266676934,0.0297029702970297,0.020857220130627137,18.334739266676934,18.739115904084137
4,19.078977602996474,0.039603960396039604,0.039023804490694425,19.078977602996474,19.098124571313228
5,19.20214128911357,0.04950495049504951,0.0428620872938997,19.20214128911357,19.39826285161152
6,19.663716062272897,0.0594059405940594,0.05957157585223636,19.663716062272897,19.659602818380076
7,19.851662644603735,0.06930693069306931,0.06746985569397092,19.851662644603735,19.89328415292844
8,19.91398048376425,0.07920792079207921,0.07023237381209321,19.91398048376425,20.10617978396006
9,20.258906598065728,0.0891089108910891,0.08683354900298251,20.258906598065728,20.302851673018676
10,20.313266383099744,0.09900990099009901,0.0896534773645945,20.313266383099744,20.486494981240185
11,20.451854264202325,0.10891089108910891,0.09709387478335246,20.451854264202325,20.65944187018846
12,20.58379689000617,0.1188118811881188,0.10451177987628874,20.58379689000617,20.8234513106294
13,20.679926403817774,0.12871287128712872,0.11012042228379743,20.679926403817774,20.979885873112977
14,21.181344072561387,0.13861386138613863,0.14210711742575616,21.181344072561387,21.129824789271332
15,21.300165670530532,0.1485148514851485,0.15033850363465817,21.300165670530532,21.27413912205035
16,21.442122523763672,0.15841584158415842,0.1604856425581755,21.442122523763672,21.413543398454312
17,21.49038751990048,0.16831683168316833,0.16401156725153238,21.49038751990048,21.54863207194888
18,21.5377088157735,0.1782178217821782,0.16750525940979294,21.5377088157735,21.679905894606648
19,21.551259829934907,0.18811881188118812,0.168512352846107,21.551259829934907,21.807791392829905
20,21.65373916445668,0.19801980198019803,0.17622273884627732,21.65373916445668,21.932655516262393
21,21.85270917871503,0.2079207920792079,0.19165441290916946,21.85270917871503,22.054816837005028
22,21.923996332324805,0.21782178217821782,0.19732592156530232,21.923996332324805,22.174554237165793
