Metrik,Zuverlässigkeit
Zeitreihe,original
Zuverlässigkeit innerjährlicher Regelbetrieb: Defizit [-],1.0
Zuverlässigkeit innerjährlicher Regelbetrieb: Überschuss [-],0.635
Zuverlässigkeit jährlicher Regelbetrieb: Defizit [-],1.0
Zuverlässigkeit jährlicher Regelbetrieb: Überschuss [-],0.125
Soll-Abgabevolumen [hm³],1453.9793688
Anteil Defizitvolumen vom Soll-Abgabevolumen [-],0.010961955545321362
Anteil Überschussvolumen vom Soll-Abgabevolumen [-],0.4389182720166806
