Lags,Autokorrelation_normierteDaten,Autokorrelation_Rohdaten,UnterKonfGrenze,ObereKonfGrenze
0,1.0,1.0,-0.07692844676393687,0.07692844676393687
1,0.284894635265144,0.3266170394160244,-0.07701037973839399,0.07701037973839399
2,0.12760006075281483,0.07755110897613007,-0.07709257265887132,0.07709257265887132
3,0.06164511312927954,0.0008859641663723912,-0.07717502689780649,0.07717502689780649
4,0.04315180799798436,-0.041666144264241034,-0.07725774383778206,0.07725774383778206
5,0.07703968222000342,-0.10214247935810328,-0.07734072487162198,0.07734072487162198
6,0.028949832003907702,-0.17584126054228041,-0.07742397140248926,0.07742397140248926
7,0.053080240601218666,-0.11233828226553917,-0.07750748484398462,0.07750748484398462
8,0.06670683836362847,0.016337847548236438,-0.07759126662024654,0.07759126662024654
9,-0.023896940148835977,-0.05081418744425036,-0.07767531816605218,0.07767531816605218
10,0.03255137377455609,0.04143040766030292,-0.07775964092691973,0.07775964092691973
11,-0.017712120965126758,0.16022178014615254,-0.07784423635921187,0.07784423635921187
12,0.0979034727275321,0.37447241456582897,-0.07792910593024038,0.07792910593024038
13,0.11896014637967155,0.2161933694514372,-0.07801425111837217,0.07801425111837217
14,0.06575845088291501,0.03504641787276594,-0.07809967341313634,0.07809967341313634
15,0.0526059153280672,0.01070087859248017,-0.07818537431533269,0.07818537431533269
16,-0.015227258032559785,-0.06829257766482599,-0.07827135533714144,0.07827135533714144
17,-0.029454414393181937,-0.1755051756387215,-0.07835761800223426,0.07835761800223426
18,0.0596170981291818,-0.15216729374543292,-0.0784441638458866,0.0784441638458866
19,0.09444723323663583,-0.07601507660433154,-0.07853099441509148,0.07853099441509148
20,0.08176499340580477,0.033014751570633195,-0.07861811126867455,0.07861811126867455
21,0.011414167049958074,-0.024253311900101455,-0.0787055159774104,0.0787055159774104
22,-0.03204120874850945,-0.00969617070400577,-0.07879321012414064,0.07879321012414064
23,-0.05585376143555595,0.13948683825305713,-0.07888119530389304,0.07888119530389304
24,-0.06110665832069244,0.21687867347839343,-0.07896947312400227,0.07896947312400227
25,0.002429075717377551,0.14754553643001775,-0.0790580452042321,0.0790580452042321
26,-0.022034093022303698,-0.019235326425937116,-0.07914691317689912,0.07914691317689912
27,-0.05648832932576228,-0.06810929691077446,-0.0792360786869978,0.0792360786869978
28,-0.06145437720391948,-0.10686292177472506,-0.07932554339232731,0.07932554339232731
29,-0.06690759196902178,-0.19679140037275966,-0.07941530896361973,0.07941530896361973
30,-0.026654540470062275,-0.21084846350365605,-0.07950537708466988,0.07950537708466988
31,-0.003428276117976011,-0.12121253290217582,-0.07959574945246671,0.07959574945246671
32,0.03481807759651955,-0.011636775167337998,-0.07968642777732635,0.07968642777732635
33,-0.01606036729921863,-0.0307587661904374,-0.07977741378302684,0.07977741378302684
34,-0.002972037481088167,-0.01746988939426844,-0.07986870920694449,0.07986870920694449
35,0.0039023958348859576,0.16519967093984833,-0.07996031580019172,0.07996031580019172
36,-0.05613515554973239,0.2373667198338651,-0.08005223532775711,0.08005223532775711
37,0.014631517968493369,0.1478187167222085,-0.08014446956864665,0.08014446956864665
38,0.03617158930475569,0.01916854884481358,-0.08023702031602709,0.08023702031602709
39,-0.0043075846428956245,-0.035203539743912986,-0.08032988937737101,0.08032988937737101
40,-0.02654375332208106,-0.08454192486473697,-0.08042307857460365,0.08042307857460365
41,-0.020706948429068662,-0.1838041006325029,-0.08051658974425158,0.08051658974425158
42,-0.06044184083475544,-0.23167695178593256,-0.08061042473759342,0.08061042473759342
43,-0.07947558592782412,-0.19080285273012798,-0.08070458542081213,0.08070458542081213
44,-0.020846596562989556,-0.046369004488710515,-0.0807990736751496,0.0807990736751496
45,-0.018061738659969354,-0.01624386109855432,-0.08089389139706293,0.08089389139706293
46,-0.021240861479329538,-0.011112907886671117,-0.0809890404983828,0.0809890404983828
47,-0.052227840435950426,0.11804429486777943,-0.08108452290647383,0.08108452290647383
48,-0.04143406976561508,0.25110604860347746,-0.08118034056439703,0.08118034056439703
49,-0.0268575972579257,0.13731600068656266,-0.0812764954310743,0.0812764954310743
50,-0.025098822989896595,-0.006811685731747112,-0.08137298948145505,0.08137298948145505
