Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
0.139,1.4183881676999999,1.4183881676999999,6.740945749800002,0.0,0.0
0.213,1.4183881676999999,1.4183881676999999,5.882321582100002,0.0,0.0
0.389,1.0131344055,1.0131344055,5.8914791766000025,0.0,0.0
0.327,0.8105075244,0.8105075244,5.940327652200002,0.0,0.0
0.847,0.6078806433,0.6078806433,7.5583630089000025,0.0,0.0
0.384,1.4183881676999999,1.4183881676999999,7.149126841200003,0.0,0.0
0.296,1.4183881676999999,1.4183881676999999,6.508626673500003,0.0,0.0
0.225,2.026268811,2.026268811,5.073657862500003,0.0,0.0
0.225,2.4315225732,2.4315225732,3.2334352893000027,0.0,0.0
0.372,2.8367763353999997,2.8367763353999997,1.374274953900003,0.0,0.0
0.165,2.8367763353999997,1.8078949539000029,0.0,-1.0288813814999969,0.0
1.123,2.026268811,2.026268811,0.924975189,0.0,0.0
0.605,1.4183881676999999,1.4183881676999999,1.0965270213,0.0,0.0
1.043,1.4183881676999999,1.4183881676999999,2.4191428536000004,0.0,0.0
0.46,1.0131344055,1.0131344055,2.6148884481000003,0.0,0.0
2.021,0.8105075244,0.8105075244,7.1155689237,0.0,0.0
1.134,0.6078806433,0.6078806433,9.487840280399999,0.0,0.0
1.364,1.4183881676999999,1.4183881676999999,11.6540441127,0.0,0.0
1.171,1.4183881676999999,1.4183881676999999,13.313043945,0.0,0.0
1.069,2.026268811,2.026268811,14.096107134,0.0,0.0
0.398,2.4315225732,2.4315225732,12.7105285608,0.0,0.0
0.372,2.8367763353999997,2.8367763353999997,10.8513682254,0.0,0.0
0.21,2.8367763353999997,2.8367763353999997,8.56647189,0.0,0.0
0.171,2.026268811,2.026268811,6.989591079000001,0.0,0.0
0.293,1.4183881676999999,1.4183881676999999,6.341206911300001,0.0,0.0
0.608,1.4183881676999999,1.4183881676999999,6.520642743600002,0.0,0.0
0.867,1.0131344055,1.0131344055,7.785984338100001,0.0,0.0
1.242,0.8105075244,0.8105075244,10.239452813700002,0.0,0.0
0.981,0.6078806433,0.6078806433,12.209640170400002,0.0,0.0
1.478,1.4183881676999999,1.4183881676999999,14.675436002700001,0.0,0.0
0.887,1.4183881676999999,1.4183881676999999,15.588083835000003,0.0,0.0
0.253,2.026268811,2.026268811,14.226699024000002,0.0,0.0
0.196,2.4315225732,2.4315225732,12.310264450800002,0.0,0.0
0.159,2.8367763353999997,2.8367763353999997,9.891340115400002,0.0,0.0
0.128,2.8367763353999997,2.8367763353999997,7.390947780000002,0.0,0.0
0.091,2.026268811,2.026268811,5.603826969000002,0.0,0.0
0.125,1.4183881676999999,1.4183881676999999,4.513938801300002,0.0,0.0
0.179,1.4183881676999999,1.4183881676999999,3.565962633600002,0.0,0.0
0.168,1.0131344055,1.0131344055,2.994332228100002,0.0,0.0
0.094,0.8105075244,0.8105075244,2.430856703700002,0.0,0.0
1.308,0.6078806433,0.6078806433,5.260400060400002,0.0,0.0
0.568,1.4183881676999999,1.4183881676999999,5.334715892700002,0.0,0.0
0.375,1.4183881676999999,1.4183881676999999,4.901827725000002,0.0,0.0
0.131,2.026268811,2.026268811,3.219826914000002,0.0,0.0
0.037,2.4315225732,2.4315225732,0.8855403408000022,0.0,0.0
0.054,2.8367763353999997,1.0274523408000023,0.0,-1.8093239945999975,0.0
0.193,2.8367763353999997,0.5072039999999998,0.0,-2.3295723354,0.0
0.21,2.026268811,0.5518800000000001,0.0,-1.4743888109999999,0.0
0.546,1.4183881676999999,1.4183881676999999,0.016499832300000072,0.0,0.0
0.367,1.4183881676999999,0.9809758323000001,0.0,-0.4374123353999998,0.0
0.267,1.0131344055,0.701676,0.0,-0.31145840550000004,0.0
1.219,0.8105075244,0.8105075244,2.3930244756,0.0,0.0
0.512,0.6078806433,0.6078806433,3.1306798323,0.0,0.0
0.895,1.4183881676999999,1.4183881676999999,4.0643516646,0.0,0.0
0.591,1.4183881676999999,1.4183881676999999,4.1991114969000005,0.0,0.0
0.205,2.026268811,2.026268811,2.7115826859000007,0.0,0.0
0.159,2.4315225732,2.4315225732,0.6979121127000005,0.0,0.0
0.401,2.8367763353999997,1.7517401127000005,0.0,-1.0850362226999992,0.0
0.099,2.8367763353999997,0.26017199999999985,0.0,-2.5766043354,0.0
0.628,2.026268811,1.650384,0.0,-0.37588481099999993,0.0
0.802,1.4183881676999999,1.4183881676999999,0.6892678323000001,0.0,0.0
0.989,1.4183881676999999,1.4183881676999999,1.8699716646000004,0.0,0.0
1.04,1.0131344055,1.0131344055,3.5899572591,0.0,0.0
0.512,0.8105075244,0.8105075244,4.1249857347,0.0,0.0
2.524,0.6078806433,0.6078806433,10.1501770914,0.0,0.0
2.143,1.4183881676999999,1.4183881676999999,14.363592923699999,0.0,0.0
3.314,1.4183881676999999,7.484701088699996,15.588083835000003,0.0,6.066312920999994
1.654,2.026268811,4.346712,15.588083835000003,0.0,2.320443188999999
0.568,2.4315225732,2.4315225732,14.649265261800002,0.0,0.0
0.293,2.8367763353999997,2.8367763353999997,12.582492926400002,0.0,0.0
0.435,2.8367763353999997,2.8367763353999997,10.888896591000002,0.0,0.0
0.307,2.026268811,2.026268811,9.669423780000002,0.0,0.0
0.341,1.4183881676999999,1.4183881676999999,9.147183612300003,0.0,0.0
1.615,1.4183881676999999,1.4183881676999999,11.973015444600003,0.0,0.0
1.049,1.0131344055,1.0131344055,13.716653039100002,0.0,0.0
2.328,0.8105075244,4.246553204099996,15.588083835000003,0.0,3.4360456796999976
1.734,0.6078806433,4.556951999999999,15.588083835000003,0.0,3.9490713566999993
1.262,1.4183881676999999,3.316536000000003,15.588083835000003,0.0,1.8981478323000012
0.665,1.4183881676999999,1.7476200000000013,15.588083835000003,0.0,0.32923183229999964
0.571,2.026268811,2.026268811,15.062403024000002,0.0,0.0
1.595,2.4315225732,3.665979188999998,15.588083835000003,0.0,1.2344566157999992
0.719,2.8367763353999997,2.8367763353999997,14.640839499600002,0.0,0.0
0.745,2.8367763353999997,2.8367763353999997,13.761923164200002,0.0,0.0
0.793,2.026268811,2.026268811,13.819658353200003,0.0,0.0
0.64,1.4183881676999999,1.4183881676999999,14.083190185500003,0.0,0.0
2.061,1.4183881676999999,3.9114143504999994,15.588083835000003,0.0,2.4930261828000013
2.146,1.0131344055,5.639688,15.588083835000003,0.0,4.626553594499999
2.322,0.8105075244,6.1022159999999985,15.588083835000003,0.0,5.2917084756
1.913,0.6078806433,5.027364000000002,15.588083835000003,0.0,4.4194833567000025
1.106,1.4183881676999999,2.9065680000000036,15.588083835000003,0.0,1.488179832300002
1.231,1.4183881676999999,3.235068000000002,15.588083835000003,0.0,1.8166798323000002
0.935,2.026268811,2.457180000000001,15.588083835000003,0.0,0.4309111889999997
0.489,2.4315225732,2.4315225732,14.441653261800003,0.0,0.0
0.432,2.8367763353999997,2.8367763353999997,12.740172926400003,0.0,0.0
1.731,2.8367763353999997,2.8367763353999997,14.452464591000004,0.0,0.0
0.54,2.026268811,2.026268811,13.845315780000004,0.0,0.0
0.301,1.4183881676999999,1.4183881676999999,13.217955612300004,0.0,0.0
2.177,1.4183881676999999,3.3510277773000006,15.588083835000003,0.0,1.9326396096000025
2.567,1.0131344055,6.746076000000002,15.588083835000003,0.0,5.7329415945000015
1.222,0.8105075244,3.211416,15.588083835000003,0.0,2.4009084756000014
1.885,0.6078806433,4.953779999999998,15.588083835000003,0.0,4.345899356699999
0.688,1.4183881676999999,1.8080639999999981,15.588083835000003,0.0,0.3896758323
0.628,1.4183881676999999,1.650383999999999,15.588083835000003,0.0,0.23199583230000087
0.927,2.026268811,2.4361560000000004,15.588083835000003,0.0,0.4098871889999991
0.316,2.4315225732,2.4315225732,13.987009261800003,0.0,0.0
0.213,2.8367763353999997,2.8367763353999997,11.709996926400002,0.0,0.0
0.389,2.8367763353999997,2.8367763353999997,9.895512591000003,0.0,0.0
1.08,2.026268811,2.026268811,10.707483780000002,0.0,0.0
1.344,1.4183881676999999,1.4183881676999999,12.821127612300003,0.0,0.0
0.583,1.4183881676999999,1.4183881676999999,12.934863444600003,0.0,0.0
0.722,1.0131344055,1.0131344055,13.819145039100004,0.0,0.0
0.898,0.8105075244,0.8105075244,15.368581514700004,0.0,0.0
1.492,0.6078806433,3.701473679700001,15.588083835000003,0.0,3.0935930364000015
2.629,1.4183881676999999,6.909012000000001,15.588083835000003,0.0,5.490623832299999
0.807,1.4183881676999999,2.120796000000002,15.588083835000003,0.0,0.7024078323000005
0.691,2.026268811,2.026268811,15.377763024000002,0.0,0.0
0.313,2.4315225732,2.4315225732,13.768804450800001,0.0,0.0
0.188,2.8367763353999997,2.8367763353999997,11.426092115400001,0.0,0.0
0.162,2.8367763353999997,2.8367763353999997,9.015051780000002,0.0,0.0
0.168,2.026268811,2.026268811,7.430286969000003,0.0,0.0
0.168,1.4183881676999999,1.4183881676999999,6.453402801300003,0.0,0.0
0.182,1.4183881676999999,1.4183881676999999,5.513310633600003,0.0,0.0
0.205,1.0131344055,1.0131344055,5.038916228100003,0.0,0.0
0.21,0.8105075244,0.8105075244,4.780288703700004,0.0,0.0
2.157,0.6078806433,0.6078806433,9.841004060400003,0.0,0.0
4.306,1.4183881676999999,5.569088225399998,15.588083835000003,0.0,4.1507000577
1.035,1.4183881676999999,2.719980000000003,15.588083835000003,0.0,1.3015918323000015
0.594,2.026268811,2.026268811,15.122847024000002,0.0,0.0
0.185,2.4315225732,2.4315225732,13.177504450800003,0.0,0.0
0.335,2.8367763353999997,2.8367763353999997,11.221108115400003,0.0,0.0
0.148,2.8367763353999997,2.8367763353999997,8.773275780000004,0.0,0.0
0.586,2.026268811,2.026268811,8.287014969000005,0.0,0.0
1.333,1.4183881676999999,1.4183881676999999,10.371750801300005,0.0,0.0
1.185,1.4183881676999999,1.4183881676999999,12.067542633600006,0.0,0.0
1.37,1.0131344055,1.0131344055,14.654768228100007,0.0,0.0
0.929,0.8105075244,1.5080963931000042,15.588083835000003,0.0,0.6975888687000058
1.39,0.6078806433,3.652919999999998,15.588083835000003,0.0,3.0450393566999985
0.546,1.4183881676999999,1.4348879999999973,15.588083835000003,0.0,0.016499832299999184
0.301,1.4183881676999999,1.4183881676999999,14.960723667300003,0.0,0.0
0.796,2.026268811,2.026268811,15.026342856300003,0.0,0.0
0.719,2.4315225732,2.4315225732,14.484352283100003,0.0,0.0
0.142,2.8367763353999997,2.8367763353999997,12.020751947700003,0.0,0.0
0.108,2.8367763353999997,2.8367763353999997,9.467799612300002,0.0,0.0
0.151,2.026268811,2.026268811,7.838358801300002,0.0,0.0
0.52,1.4183881676999999,1.4183881676999999,7.786530633600002,0.0,0.0
1.813,1.4183881676999999,1.4183881676999999,11.132706465900002,0.0,0.0
0.614,1.0131344055,1.0131344055,11.733164060400002,0.0,0.0
0.563,0.8105075244,0.8105075244,12.402220536000002,0.0,0.0
0.623,0.6078806433,0.6078806433,13.4315838927,0.0,0.0
0.597,1.4183881676999999,1.4183881676999999,13.582111725,0.0,0.0
0.969,1.4183881676999999,1.4183881676999999,14.710255557300002,0.0,0.0
0.75,2.026268811,2.026268811,14.654986746300002,0.0,0.0
0.424,2.4315225732,2.4315225732,13.337736173100001,0.0,0.0
0.162,2.8367763353999997,2.8367763353999997,10.926695837700002,0.0,0.0
0.099,2.8367763353999997,2.8367763353999997,8.350091502300003,0.0,0.0
0.099,2.026268811,2.026268811,6.583994691300004,0.0,0.0
0.182,1.4183881676999999,1.4183881676999999,5.643902523600004,0.0,0.0
0.185,1.4183881676999999,1.4183881676999999,4.711694355900004,0.0,0.0
0.085,1.0131344055,1.0131344055,3.921939950400004,0.0,0.0
0.509,0.8105075244,0.8105075244,4.449084426000004,0.0,0.0
1.123,0.6078806433,0.6078806433,6.792447782700004,0.0,0.0
