Metrik,Zuverlässigkeit
Zeitreihe,original
Zuverlässigkeit innerjährlicher Regelbetrieb: Defizit [-],1.0
Zuverlässigkeit innerjährlicher Regelbetrieb: Überschuss [-],0.7
Zuverlässigkeit jährlicher Regelbetrieb: Defizit [-],1.0
Zuverlässigkeit jährlicher Regelbetrieb: Überschuss [-],0.25
Soll-Abgabevolumen [hm³],810.5075244
Anteil Defizitvolumen vom Soll-Abgabevolumen [-],0.014100501585053507
Anteil Überschussvolumen vom Soll-Abgabevolumen [-],0.44146295324473117
