Monat,Parameter xp,Parameter sp,Parameter rp
11,0.748975,0.6181062678321045,0.559025912748128
12,1.1227,0.7339644789840013,0.25698518552556854
1,0.943975,0.5777927268981587,0.3307761382161249
2,0.8634000000000001,0.5930362898049673,0.1853817749529508
3,1.498925,0.7286104578984399,0.3382216774443126
4,1.9217000000000002,1.0585447000723598,-0.25080201719943795
5,1.081375,0.6466792764102323,0.483024978480818
6,0.7061249999999999,0.47469489188805836,0.46885933997510465
7,0.6743750000000001,0.6620708648839678,0.025332831355321862
8,0.61005,0.5629582099533198,0.24257943029499004
9,0.510525,0.42167121640395344,0.3179541578825281
10,0.5772999999999999,0.48682473021480527,0.4658976273905352
