Speicherkapazität [hm³],MQ [hm³],Speicherausbaugrad [-]
5,41.62752,0.12011284842335071
10,41.62752,0.24022569684670142
15,41.62752,0.36033854527005216
20,41.62752,0.48045139369340284
25,41.62752,0.6005642421167535
30,41.62752,0.7206770905401043
35,41.62752,0.840789938963455
40,41.62752,0.9609027873868057
45,41.62752,1.0810156358101564
50,41.62752,1.201128484233507
