Rangzahl [-],Kapazität [hm³],empirische Pu [-],theoretische Pu [-],empirische Quantile [hm³],theoretische Quantile [hm³]
1,15.609791256385279,0.009900990099009901,0.005208134360437322,15.609791256385279,16.04333600960282
2,16.327348281274112,0.019801980198019802,0.014321259086112198,16.327348281274112,16.60233078282804
3,16.39594578215622,0.0297029702970297,0.015572188892361439,16.39594578215622,16.986996904968546
4,16.610763333534187,0.039603960396039604,0.019990227516478,16.610763333534187,17.292816065326953
5,16.845493399280144,0.04950495049504951,0.025741409127793286,16.845493399280144,17.552517201024187
6,17.617352097201774,0.0594059405940594,0.05219544824903065,17.617352097201774,17.781604038936283
7,18.47450596456312,0.06930693069306931,0.09600494830770212,18.47450596456312,17.988755210321937
8,18.538162548177638,0.07920792079207921,0.09985576822858483,18.538162548177638,18.17936342333835
9,18.588309134013798,0.0891089108910891,0.10294500504781551,18.588309134013798,18.357030148720337
10,18.728563277402372,0.09900990099009901,0.11184143436267424,18.728563277402372,18.524291645557206
11,18.86590616791534,0.10891089108910891,0.12091012713040467,18.86590616791534,18.683008411077253
12,19.06446673562823,0.1188118811881188,0.13462048680737632,19.06446673562823,18.834590247094802
13,19.22798072956865,0.12871287128712872,0.14641737811072553,19.22798072956865,18.980134123218043
14,19.278628690736923,0.13861386138613863,0.15016003872104366,19.278628690736923,19.120512672573476
15,19.6129068630529,0.1485148514851485,0.17584178089184715,19.6129068630529,19.256433230375606
16,19.690243389080194,0.15841584158415842,0.18201023584314985,19.690243389080194,19.388478514327876
17,19.84575996452429,0.16831683168316833,0.19464995093699994,19.84575996452429,19.5171354373826
18,19.868477069748565,0.1782178217821782,0.1965214630060081,19.868477069748565,19.642816005129323
19,19.882883228919127,0.18811881188118812,0.19771149727034093,19.882883228919127,19.765872789366654
20,19.949147056405195,0.19801980198019803,0.2032166919341996,19.949147056405195,19.886610596503743
21,19.963725524149083,0.2079207920792079,0.20443466542044636,19.963725524149083,20.00529541041285
22,20.09305962414055,0.21782178217821782,0.21534279389156435,20.09305962414055,20.122161346786562
23,20.180499229792076,0.22772277227722773,0.2228170531500347,20.180499229792076,20.237416132721748
24,20.226371881302896,0.2376237623762376,0.22676843955575887,20.226371881302896,20.3512454763097
25,20.384953893152215,0.24752475247524752,0.24057757119411438,20.384953893152215,20.46381658963334
26,20.401313143181824,0.25742574257425743,0.24201453860112643,20.401313143181824,20.575281058288056
27,20.41830103093514,0.26732673267326734,0.24350905580033172,20.41830103093514,20.68577720099466
28,20.543957381064956,0.27722772277227725,0.25463415406547474,20.543957381064956,20.795432027409646
29,20.54751847147321,0.2871287128712871,0.25495116759663444,20.54751847147321,20.904362876499867
30,20.58314970376101,0.297029702970297,0.25812809142140214,20.58314970376101,21.012678798930512
31,20.89068261341413,0.3069306930693069,0.2858820065912928,20.89068261341413,21.12048173284623
32,20.94396306062447,0.31683168316831684,0.2907424945609223,20.94396306062447,21.227867511849936
33,21.183996000580095,0.32673267326732675,0.31278261826669396,21.183996000580095,21.33492673595602
34,21.561153739876545,0.33663366336633666,0.34771860072751526,21.561153739876545,21.441745530145813
35,21.726831279298494,0.3465346534653465,0.36311015820661063,21.726831279298494,21.548406210404927
