Monat,Parameter xp,Parameter sp,Parameter rp
11,1.110025,0.7788496279441351,0.7340931162769906
12,1.7079,1.1883541473345307,0.4618170698098372
1,1.6003,1.0196417470404457,0.4682180871656542
2,1.402025,0.764092036592854,0.33589009270870496
3,2.2176,1.0470137216547515,0.4274295162032409
4,2.7356000000000003,1.4328085706052989,-0.05259740511704684
5,1.7487000000000001,0.9298709918792292,0.5102380960169398
6,1.2726250000000001,0.749464173978265,0.5838902229661689
7,1.170025,0.8128915936019501,0.15132219958109902
8,0.9759499999999999,0.8121511148384476,0.24237437302274573
9,0.86395,0.5563949874426279,0.41940588317342237
10,0.96085,0.6884876979702762,0.5552711321291898
