Metrik,Zuverlässigkeit
Zeitreihe,original
Zuverlässigkeit innerjährlicher Regelbetrieb: Defizit [-],1.0
Zuverlässigkeit innerjährlicher Regelbetrieb: Überschuss [-],0.646
Zuverlässigkeit jährlicher Regelbetrieb: Defizit [-],1.0
Zuverlässigkeit jährlicher Regelbetrieb: Überschuss [-],0.2
Soll-Abgabevolumen [hm³],1307.2602312
Anteil Defizitvolumen vom Soll-Abgabevolumen [-],0.02103676059649234
Anteil Überschussvolumen vom Soll-Abgabevolumen [-],0.4418333512011444
