Metrik,Zuverlässigkeit
Zeitreihe,original
Zuverlässigkeit innerjährlicher Regelbetrieb: Defizit [-],1.0
Zuverlässigkeit innerjährlicher Regelbetrieb: Überschuss [-],0.637
Zuverlässigkeit jährlicher Regelbetrieb: Defizit [-],1.0
Zuverlässigkeit jährlicher Regelbetrieb: Überschuss [-],0.15
Soll-Abgabevolumen [hm³],1307.2602312
Anteil Defizitvolumen vom Soll-Abgabevolumen [-],0.004772638493524279
Anteil Überschussvolumen vom Soll-Abgabevolumen [-],0.4432127715238636
