Metrik,Zuverlässigkeit
Zeitreihe,original
Zuverlässigkeit innerjährlicher Regelbetrieb: Defizit [-],1.0
Zuverlässigkeit innerjährlicher Regelbetrieb: Überschuss [-],0.677
Zuverlässigkeit jährlicher Regelbetrieb: Defizit [-],1.0
Zuverlässigkeit jährlicher Regelbetrieb: Überschuss [-],0.25
Soll-Abgabevolumen [hm³],1307.2602312
Anteil Defizitvolumen vom Soll-Abgabevolumen [-],0.0
Anteil Überschussvolumen vom Soll-Abgabevolumen [-],0.4001922013586916
