Monat,Parameter xp,Parameter sp,Parameter rp
11,1.270175,0.855647599624746,0.5926794472351897
12,1.8556749999999997,1.2150832911727407,0.4732948408964508
1,1.8549999999999998,1.1437847206443559,0.4642221535201427
2,1.5890499999999999,0.8478765920725819,0.2527350448061015
3,2.29795,0.9652286549881621,0.3231002908887745
4,2.5101500000000003,1.4101468108693962,0.1650559497313103
5,1.74595,0.9303569469391567,0.6056667322272143
6,1.367525,0.6420586277048665,0.5341735056339801
7,1.1959250000000001,0.7425602759786835,0.3777577188967603
8,1.0531,0.6433607593463146,0.35538080883796236
9,1.015625,0.6597567029225865,0.46054705043421135
10,1.0969250000000001,0.6721303058759687,0.5135207675098951
