Rangzahl [-],Kapazität [hm³],empirische Pu [-],theoretische Pu [-],empirische Quantile [hm³],theoretische Quantile [hm³]
1,16.744736033738832,0.009900990099009901,0.002890414851375442,16.744736033738832,17.413922523390497
2,17.404750233231653,0.019801980198019802,0.00975826344453266,17.404750233231653,17.898670017890055
3,18.22422288925219,0.0297029702970297,0.029389759594975,18.22422288925219,18.233559293422175
4,18.33524093014239,0.039603960396039604,0.033257257364597094,18.33524093014239,18.500520821204443
5,18.597821947325105,0.04950495049504951,0.04367613257981728,18.597821947325105,18.727699215379438
6,18.631743894466524,0.0594059405940594,0.045154990204022,18.631743894466524,18.928445975493347
7,19.05759026098616,0.06930693069306931,0.06634833411585866,19.05759026098616,19.11024335662013
8,19.172308458120824,0.07920792079207921,0.0728891405546934,19.172308458120824,19.277744987353927
9,19.468249277899986,0.0891089108910891,0.09135789217270857,19.468249277899986,19.434061253326146
10,19.576404089410175,0.09900990099009901,0.09866636031714587,19.576404089410175,19.581384158223496
11,19.587512373925335,0.10891089108910891,0.09943348462951623,19.587512373925335,19.72132273741104
12,19.952146482011813,0.1188118811881188,0.12625199488005517,19.952146482011813,19.85509701281248
13,20.038641056883534,0.12871287128712872,0.13305890392290015,20.038641056883534,19.983656862481666
14,20.119377400553617,0.13861386138613863,0.13955754941514298,20.119377400553617,20.107758361046507
15,20.301183317861387,0.1485148514851485,0.15468025370692345,20.301183317861387,20.22801473162288
16,20.623443385194832,0.15841584158415842,0.1830063196883212,20.623443385194832,20.344931468515686
17,20.856476664254046,0.16831683168316833,0.20454873479253016,20.856476664254046,20.45893122316599
18,20.896038057673806,0.1782178217821782,0.20828361361208325,20.896038057673806,20.57037186004967
19,20.913064387726422,0.18811881188118812,0.20989749279226916,20.913064387726422,20.679559830911398
20,21.002021552169545,0.19801980198019803,0.21839050843862368,21.002021552169545,20.786760263498447
21,21.18215075912815,0.2079207920792079,0.23587819442489866,21.18215075912815,20.89220469631114
22,21.206687425866562,0.21782178217821782,0.2382878869874412,21.206687425866562,20.99609709549946
23,21.23606758533583,0.22772277227722773,0.24118131992989983,21.23606758533583,21.098618597407963
24,21.239148341636565,0.2376237623762376,0.2414852206232388,21.239148341636565,21.199931291771197
25,21.29522396778634,0.24752475247524752,0.24703288233510612,21.29522396778634,21.300181273076262
26,21.324259662304655,0.25742574257425743,0.24991705736707526,21.324259662304655,21.399501126941637
