Metrik,Zuverlässigkeit
Zeitreihe,original
Zuverlässigkeit innerjährlicher Regelbetrieb: Defizit [-],1.0
Zuverlässigkeit innerjährlicher Regelbetrieb: Überschuss [-],0.644
Zuverlässigkeit jährlicher Regelbetrieb: Defizit [-],1.0
Zuverlässigkeit jährlicher Regelbetrieb: Überschuss [-],0.15
Soll-Abgabevolumen [hm³],1387.2828312000001
Anteil Defizitvolumen vom Soll-Abgabevolumen [-],0.0
Anteil Überschussvolumen vom Soll-Abgabevolumen [-],0.42719595053206616
