Name,Rohdaten,Saisonbereinigte Zeitreihe,Zufallskomponente der Zeitreihe
Minimum,0.115,-2.17975,-1.4046340350252928
Maximum,8.637,5.570250000000001,3.178200675693345
1. zentrales Moment,1.6466208333333332,6.661338147750939e-17,5.181040781584064e-17
2. zentrales Moment,1.3215500728993055,0.94695869875,0.43120848734198497
3. zentrales Moment,2.7647141396207684,1.550903907791063,0.3933508419851377
4. zentrales Moment,14.7032923749004,7.391876756007068,1.1446515218522975
Standardabweichung (biased),1.1495869140257753,0.9731180291978975,0.6566646688698768
Standardabweichung (unbiased),1.1507862747213258,0.9741332804173675,0.6573497652156948
Skewness (biased),1.819804770482105,1.0208441768032663,0.25891347262972164
Skewness (unbiased),1.8274190163837039,1.0251154913505602,0.2599967925988837
Kurtosis (biased),4037.9975269486417,2028.5555814917307,311.5917153167177
Kurtosis (unbiased),4063.393737809954,2041.313792696081,313.55141163946433
25%-Quantil,0.814,-0.6007499999999997,-0.4004066019121365
50%-Quantil,1.36,-0.25622500000000004,-0.14070997333439622
75%-Quantil,2.184,0.46140000000000003,0.2646899293088022
Interquartilsabstand,1.37,1.0621499999999997,0.6650965312209387
Autokorrelation,0.4603633431145816,0.3844941840213988,0.3621485113768322
HHQ,8.637,-,-
MHQ,3.9940749999999996,-,-
MQ,1.6479526515151517,-,-
MNQ,0.530725,-,-
NNQ,0.115,-,-
