Gewässer	Mandau
Pegel	Seifhennersdorf
AE [km^2]	74.7
MONAT	Q [m^3/s]
12/1988	4.568
01/1989	1.185
02/1989	0.969
03/1989	0.827
04/1989	0.802
05/1989	0.566
06/1989	0.256
07/1989	0.176
08/1989	0.219
09/1989	0.233
10/1989	0.404
11/1989	0.793
12/1989	1.802
01/1990	0.705
02/1990	0.904
03/1990	1.6
04/1990	0.739
05/1990	0.384
06/1990	0.276
07/1990	0.168
08/1990	0.182
09/1990	0.279
10/1990	0.273
11/1990	0.836
12/1990	1.097
01/1991	1.319
02/1991	0.324
03/1991	0.58
04/1991	0.421
05/1991	0.597
06/1991	0.614
07/1991	0.23
08/1991	0.199
09/1991	0.145
10/1991	0.267
11/1991	0.512
12/1991	2.084
01/1992	2.138
02/1992	1.811
03/1992	2.572
04/1992	1.072
05/1992	0.429
06/1992	0.313
07/1992	0.35
08/1992	0.165
09/1992	0.111
10/1992	0.208
11/1992	0.46
12/1992	0.785
01/1993	1.276
02/1993	0.847
03/1993	2.257
04/1993	1.137
05/1993	0.458
06/1993	0.256
07/1993	0.739
08/1993	0.506
09/1993	1.188
10/1993	0.839
11/1993	0.557
12/1993	2.285
01/1994	2.092
02/1994	1.003
03/1994	2.979
04/1994	1.387
05/1994	0.779
06/1994	0.358
07/1994	0.304
08/1994	0.455
09/1994	0.662
10/1994	0.381
11/1994	0.91
12/1994	2.058
01/1995	2.655
02/1995	1.885
03/1995	1.055
04/1995	1.461
05/1995	1.177
06/1995	2.328
07/1995	0.392
08/1995	0.185
09/1995	0.711
10/1995	0.497
11/1995	0.847
12/1995	1.586
01/1996	0.441
02/1996	0.406
03/1996	1.055
04/1996	1.211
05/1996	1.626
06/1996	0.506
07/1996	1.214
08/1996	0.512
09/1996	0.551
10/1996	0.651
11/1996	0.711
12/1996	0.603
01/1997	0.361
02/1997	2.297
03/1997	1.123
04/1997	1.532
05/1997	1.066
06/1997	0.665
07/1997	1.907
08/1997	0.588
09/1997	0.316
10/1997	0.657
11/1997	0.557
12/1997	1.734
01/1998	1.202
02/1998	0.893
03/1998	2.43
04/1998	0.779
05/1998	0.31
06/1998	0.31
07/1998	0.253
08/1998	0.355
09/1998	1.31
10/1998	1.387
11/1998	2.03
12/1998	1.745
01/1999	1.146
02/1999	1.674
03/1999	2.894
04/1999	0.685
05/1999	0.392
06/1999	0.387
07/1999	1.106
08/1999	0.253
09/1999	0.188
10/1999	0.247
