Gewässer	Wilde Weisseritz
Pegel	Ammelsdorf
AE [km^2]	49.3
MONAT	Q [m^3/s]
12/1988	3.401
01/1989	1.634
02/1989	0.844
03/1989	1.03
04/1989	0.634
05/1989	0.696
06/1989	0.347
07/1989	0.169
08/1989	0.148
09/1989	0.313
10/1989	0.334
11/1989	1.126
12/1989	1.39
01/1990	0.655
02/1990	0.797
03/1990	1.435
04/1990	0.765
05/1990	0.563
06/1990	0.326
07/1990	0.193
08/1990	0.116
09/1990	0.334
10/1990	0.242
11/1990	0.743
12/1990	0.906
01/1991	1.58
02/1991	0.371
03/1991	0.57
04/1991	0.533
05/1991	0.921
06/1991	0.711
07/1991	0.598
08/1991	0.96
09/1991	0.18
10/1991	0.154
11/1991	0.452
12/1991	1.572
01/1992	1.9
02/1992	1.514
03/1992	2.461
04/1992	1.506
05/1992	0.66
06/1992	0.255
07/1992	0.94
08/1992	0.281
09/1992	0.28
10/1992	0.328
11/1992	0.936
12/1992	0.805
01/1993	1.186
02/1993	0.482
03/1993	1.983
04/1993	1.279
05/1993	0.461
06/1993	0.336
07/1993	0.702
08/1993	0.488
09/1993	0.779
10/1993	0.325
11/1993	0.439
12/1993	1.822
01/1994	1.525
02/1994	0.666
03/1994	2.743
04/1994	1.486
05/1994	0.533
06/1994	0.343
07/1994	0.204
08/1994	0.353
09/1994	0.555
10/1994	0.25
11/1994	0.649
12/1994	1.217
01/1995	1.306
02/1995	1.84
03/1995	0.732
04/1995	2.369
05/1995	1.317
06/1995	2.294
07/1995	0.362
08/1995	0.176
09/1995	1.081
10/1995	0.67
11/1995	1.694
12/1995	0.983
01/1996	0.538
02/1996	0.452
03/1996	0.722
04/1996	2.531
05/1996	1.516
06/1996	0.645
07/1996	2.009
08/1996	1.017
09/1996	1.319
10/1996	0.919
11/1996	0.809
12/1996	0.501
01/1997	0.33
02/1997	1.737
03/1997	1.679
04/1997	2.034
05/1997	0.85
06/1997	0.619
07/1997	1.069
08/1997	0.567
09/1997	0.274
10/1997	0.454
11/1997	0.336
12/1997	1.399
01/1998	0.895
02/1998	1.154
03/1998	2.782
04/1998	0.679
05/1998	0.3
06/1998	0.4
07/1998	0.85
08/1998	0.476
09/1998	1.396
10/1998	1.362
11/1998	2.004
12/1998	1.454
01/1999	1.092
02/1999	1.426
03/1999	2.805
04/1999	1.101
05/1999	0.507
06/1999	0.552
07/1999	0.812
08/1999	0.251
09/1999	0.212
10/1999	0.291
