Lags,Autokorrelation_normierteDaten,Autokorrelation_Rohdaten,UnterKonfGrenze,ObereKonfGrenze
0,1.0,1.0,-0.07692844676393687,0.07692844676393687
1,0.3273155784836452,0.3693026278014006,-0.07701037973839399,0.07701037973839399
2,0.16596168094317673,0.19698774432018368,-0.07709257265887132,0.07709257265887132
3,0.13256786637880497,0.08081683069091336,-0.07717502689780649,0.07717502689780649
4,0.11202329624483731,-0.027884436642063665,-0.07725774383778206,0.07725774383778206
5,0.09086340432340821,-0.10051071031734525,-0.07734072487162198,0.07734072487162198
6,0.09116805691559414,-0.15439085351863432,-0.07742397140248926,0.07742397140248926
7,0.05132928371029511,-0.14514584278173487,-0.07750748484398462,0.07750748484398462
8,0.029226912770675892,-0.07756040763749919,-0.07759126662024654,0.07759126662024654
9,0.09715092327501955,0.08221954804651226,-0.07767531816605218,0.07767531816605218
10,0.05182967273515714,0.12407104653366899,-0.07775964092691973,0.07775964092691973
11,0.05089054388312908,0.21523662025448576,-0.07784423635921187,0.07784423635921187
12,0.061764848662753745,0.2889202911086577,-0.07792910593024038,0.07792910593024038
13,0.10075336824726584,0.24942888977782726,-0.07801425111837217,0.07801425111837217
14,0.042210842760301445,0.09602753725900139,-0.07809967341313634,0.07809967341313634
15,0.10588857618900648,0.09992716681345773,-0.07818537431533269,0.07818537431533269
16,0.030188330661734476,-0.07630963017096416,-0.07827135533714144,0.07827135533714144
17,-0.01318926007179023,-0.19067627805934137,-0.07835761800223426,0.07835761800223426
18,0.03458191433701279,-0.1796680708789003,-0.0784441638458866,0.0784441638458866
19,0.11293118842476815,-0.09250828532377217,-0.07853099441509148,0.07853099441509148
20,0.06687899796506022,-0.027857455893639506,-0.07861811126867455,0.07861811126867455
21,0.00039541693006552725,0.004930908036517345,-0.0787055159774104,0.0787055159774104
22,-0.060231160846352716,0.047322244667878696,-0.07879321012414064,0.07879321012414064
23,-0.08527538110625754,0.10767358179551498,-0.07888119530389304,0.07888119530389304
24,-0.06846402669141592,0.17112760699069912,-0.07896947312400227,0.07896947312400227
25,-0.02591954753891954,0.13586194085984854,-0.0790580452042321,0.0790580452042321
26,-0.04775535441683853,0.0324959857890104,-0.07914691317689912,0.07914691317689912
27,-0.01720105952543308,-0.01618331663070615,-0.0792360786869978,0.0792360786869978
28,-9.960495245201497e-05,-0.0926231857758494,-0.07932554339232731,0.07932554339232731
29,-0.09619963963886154,-0.25371282779665494,-0.07941530896361973,0.07941530896361973
30,-0.0346752261594889,-0.2429882616121748,-0.07950537708466988,0.07950537708466988
31,0.024222568384080434,-0.13228572897575447,-0.07959574945246671,0.07959574945246671
32,0.018651732921405227,-0.08107864000668825,-0.07968642777732635,0.07968642777732635
33,0.023810649617834988,0.03098016594719779,-0.07977741378302684,0.07977741378302684
34,0.06607797145062508,0.11039794915026126,-0.07986870920694449,0.07986870920694449
35,0.043598458726306244,0.2004293827486756,-0.07996031580019172,0.07996031580019172
36,-0.045441361810418586,0.18126894563322557,-0.08005223532775711,0.08005223532775711
37,0.015085059570283376,0.14798485493659802,-0.08014446956864665,0.08014446956864665
38,0.0957672707812204,0.1333429793765814,-0.08023702031602709,0.08023702031602709
39,0.048062955750775405,0.02735324954187689,-0.08032988937737101,0.08032988937737101
40,-0.0014236021785159103,-0.10309758286581257,-0.08042307857460365,0.08042307857460365
41,-0.04833263263240067,-0.23232097950786199,-0.08051658974425158,0.08051658974425158
42,-0.04085216534399678,-0.26297834029135403,-0.08061042473759342,0.08061042473759342
43,-0.024353228239925806,-0.18803811873191723,-0.08070458542081213,0.08070458542081213
44,-0.04127724671391927,-0.1160846047432952,-0.0807990736751496,0.0807990736751496
45,0.010134854973443873,0.011131955671325243,-0.08089389139706293,0.08089389139706293
46,0.0717477792394565,0.12453546200451929,-0.0809890404983828,0.0809890404983828
47,0.044856113389686106,0.19374887624403073,-0.08108452290647383,0.08108452290647383
48,-0.023677794957776253,0.2010425103400658,-0.08118034056439703,0.08118034056439703
49,-0.00858660873948588,0.15795808266165626,-0.0812764954310743,0.0812764954310743
50,-0.03986660947733376,0.05115533928338964,-0.08137298948145505,0.08137298948145505
