Monat,Parameter xp,Parameter sp,Parameter rp
11,0.9568750000000001,0.7420938563730781,0.4449826429260474
12,1.423775,1.2167218776549151,0.43666808952911457
1,1.3256249999999998,0.9397744597808616,0.3731895228662325
2,1.090225,0.7258421982737514,0.24691981121599693
3,1.8362000000000003,1.0285479483481954,0.2676313177997339
4,2.3966499999999997,1.4740999261609413,-0.018029986188649583
5,1.258225,0.8102802771659339,0.59347199252606
6,0.872875,0.5277901286229166,0.3771058571370011
7,0.8658249999999998,0.6711226678159591,0.07741397293309395
8,0.6942999999999999,0.4317910344552066,0.1295338195462222
9,0.7095999999999999,0.5313684703499553,0.21596636719502427
10,0.8138249999999999,0.6759356625240266,0.5503439128040113
