Pu [-],Kapazität [hm³]
0.0,10.939458326313675
0.01,12.25229063102426
0.02,12.45828579504835
0.03,12.605438192028437
0.04,12.725458653416329
0.05,12.82943520454815
0.06,12.922690865251573
0.07,13.00823631295727
0.08,13.087958485026187
0.09,13.163127065803126
0.1,13.234642323518585
0.11,13.303168890338501
0.12,13.369213500485259
0.13,13.433172841642232
0.14,13.495364407352747
0.15,13.556047163355764
0.16,13.615435841436557
0.17,13.673711099343876
0.18,13.731026914634482
0.19,13.787516077543003
0.2,13.843294346584813
0.21,13.89846364394554
0.22,13.953114548761729
0.23,14.007328268651715
0.24,14.061178217881697
0.25,14.11473129509613
0.26,14.168048928908512
0.27,14.22118794224963
0.28,14.274201273894676
0.29,14.327138586521967
0.3,14.380046783980923
0.31,14.432970455477504
0.32,14.485952260647089
0.33,14.539033266646456
0.34,14.592253246223274
0.35,14.645650944045679
0.36,14.699264317274103
0.37,14.75313075534401
0.38,14.807287283135906
0.39,14.86177075108926
0.4,14.916618015333547
0.41,14.97186611053515
0.42,15.027552417872892
0.43,15.083714830342139
0.44,15.140391917436276
0.45,15.19762309115675
0.46,15.25544877525272
0.47,15.313910579585006
0.48,15.373051481544579
0.49,15.432916016532356
0.5,15.493550479626155
0.51,15.555003140724285
0.52,15.61732447566769
0.53,15.680567416109447
0.54,15.744787621229179
0.55,15.810043774790707
0.56,15.876397911526233
0.57,15.94391577741547
0.58,16.012667229133246
0.59,16.08272667878921
0.6,16.15417359110944
0.61,16.22709304145214
0.62,16.301576344557656
0.63,16.37772176577106
0.64,16.455635328724487
0.65,16.535431736231573
0.66,16.617235424562484
0.67,16.701181775512076
0.68,16.787418515976448
0.69,16.87610734141996
0.7,16.967425808051978
0.71,17.061569549285796
0.72,17.158754885860127
0.73,17.259221916876054
0.74,17.36323820233563
0.75,17.471103178508816
0.76,17.583153488356174
0.77,17.699769464228613
0.78,17.82138307485549
0.79,17.94848775160063
0.8,18.081650652630294
0.81,18.221528127008643
0.82,18.368885433221244
0.83,18.52462219464094
0.84,18.68980571288726
0.85,18.86571523273214
0.86,19.05390176956837
0.87,19.256270540934707
0.88,19.475197054777723
0.89,19.71369475632207
0.9,19.97566429765162
0.91,20.266277097721193
0.92,20.592590189841488
0.93,20.96458208283174
0.94,21.39700928600562
0.95,21.913008098116386
0.96,22.551861205605107
0.97,23.38844151493356
0.98,24.594567789234077
0.99,26.737176943113248
1.0,inf
