Metrik,Zuverlässigkeit
Zeitreihe,original
Zuverlässigkeit innerjährlicher Regelbetrieb: Defizit [-],1.0
Zuverlässigkeit innerjährlicher Regelbetrieb: Überschuss [-],0.662
Zuverlässigkeit jährlicher Regelbetrieb: Defizit [-],1.0
Zuverlässigkeit jährlicher Regelbetrieb: Überschuss [-],0.125
Soll-Abgabevolumen [hm³],828.5135292
Anteil Defizitvolumen vom Soll-Abgabevolumen [-],0.003816052470985266
Anteil Überschussvolumen vom Soll-Abgabevolumen [-],0.4347835620594661
