Rangzahl [-],Kapazität [hm³],empirische Pu [-],theoretische Pu [-],empirische Quantile [hm³],theoretische Quantile [hm³]
1,12.14498697149699,0.009900990099009901,0.006462565042895809,12.14498697149699,12.249674275895341
2,12.262540010458338,0.019801980198019802,0.010394270024450807,12.262540010458338,12.454954190730387
3,12.367556800524255,0.0297029702970297,0.015043260875922414,12.367556800524255,12.601538196975469
4,12.497953848603345,0.039603960396039604,0.02245329640464361,12.497953848603345,12.721057630898837
5,12.598454734037603,0.04950495049504951,0.029469371442543434,12.598454734037603,12.824571710579633
6,12.833802806751834,0.0594059405940594,0.050446833712804846,12.833802806751834,12.917389259012591
7,12.956438540715936,0.06930693069306931,0.06385240583396602,12.956438540715936,13.002512731357596
8,13.058691448202076,0.07920792079207921,0.07625466614838176,13.058691448202076,13.081823785495459
9,13.078114850541283,0.0891089108910891,0.07873083990708873,13.078114850541283,13.156588457803041
10,13.107540018183556,0.09900990099009901,0.08255287170763476,13.107540018183556,13.227704350579728
11,13.238512834816675,0.10891089108910891,0.10055417229775204,13.238512834816675,13.29583405784615
12,13.390295625472618,0.1188118811881188,0.12326296899720612,13.390295625472618,13.36148269567127
13,13.452261361286332,0.12871287128712872,0.13304130674271597,13.452261361286332,13.425045624521625
14,13.54614360385574,0.13861386138613863,0.14835243597051673,13.54614360385574,13.486839217696744
15,13.649918883915035,0.1485148514851485,0.16589593891519522,13.649918883915035,13.547121470874536
16,13.727977311291909,0.15841584158415842,0.17946407992024915,13.727977311291909,13.606106256248344
17,13.764934695825076,0.16831683168316833,0.18598632028187606,13.764934695825076,13.663973453844303
18,13.851203857755905,0.1782178217821782,0.2014273297001245,13.851203857755905,13.720876324215356
19,13.957504117692537,0.18811881188118812,0.22080687719112269,13.957504117692537,13.776946985279228
20,13.960963962491235,0.19801980198019803,0.22144321894212915,13.960963962491235,13.832300555480595
21,13.96498456319,0.2079207920792079,0.2221830942642572,13.96498456319,13.887038339303087
22,14.032878941983085,0.21782178217821782,0.23473715643784493,14.032878941983085,13.941250312526893
23,14.238278911151156,0.22772277227722773,0.2732217738598033,14.238278911151156,13.995017087091481
24,14.249840072375662,0.2376237623762376,0.2754023689943438,14.249840072375662,14.048411483588962
25,14.262335240288332,0.24752475247524752,0.27776011917829635,14.262335240288332,14.101499804053123
26,14.271879235894971,0.25742574257425743,0.2795616229446809,14.271879235894971,14.154342873142458
27,14.352391648630743,0.26732673267326734,0.2947728366867314,14.352391648630743,14.206996898462842
28,14.379880869529813,0.27722772277227725,0.2999686413380143,14.379880869529813,14.259514188332963
29,14.428112463530113,0.2871287128712871,0.3090824136276976,14.428112463530113,14.31194375625034
30,14.440960145084972,0.297029702970297,0.31150890282169197,14.440960145084972,14.364331834657637
31,14.53756563314073,0.3069306930693069,0.3297238281731587,14.53756563314073,14.416722315651441
32,14.577876009213526,0.31683168316831684,0.3373015155693935,14.577876009213526,14.469157132545794
33,14.597324046168183,0.32673267326732675,0.34095117387525986,14.597324046168183,14.52167659337007
34,14.693830159803042,0.33663366336633666,0.3589884476910262,14.693830159803042,14.574319675211068
35,14.744242437364846,0.3465346534653465,0.3683534546333729,14.744242437364846,14.627124286634976
36,14.849868032703,0.3564356435643564,0.3878208079471462,14.849868032703,14.68012750412487
37,14.879470189598877,0.36633663366336633,0.39323462378463714,14.879470189598877,14.733365787454883
38,14.891161310086375,0.37623762376237624,0.3953672942369003,14.891161310086375,14.78687517812769
39,14.892681210494857,0.38613861386138615,0.39564431920540344,14.892681210494857,14.840691484379036
40,15.005104622077056,0.39603960396039606,0.41597877707679093,15.005104622077056,14.894850455765164
41,15.014059486091583,0.40594059405940597,0.41758454682439966,15.014059486091583,14.949387949968923
42,15.052629832595755,0.4158415841584158,0.4244760466212089,15.052629832595755,15.004340094167539
43,15.109385843656455,0.42574257425742573,0.4345410152713246,15.109385843656455,15.059743443083851
44,15.142535169197117,0.43564356435643564,0.4403762869010921,15.142535169197117,15.115635135681877
45,15.149262814482938,0.44554455445544555,0.44155655002677385,15.149262814482938,15.172053052358086
46,15.15525635464951,0.45544554455445546,0.4426068746199738,15.15525635464951,15.229035974415837
47,15.158475290360116,0.46534653465346537,0.443170520447476,15.158475290360116,15.286623747587678
48,15.161169183612628,0.4752475247524752,0.4436419875991549,15.161169183612628,15.344857451386304
49,15.208785672007707,0.48514851485148514,0.45193863893432495,15.208785672007707,15.40377957611873
50,15.239446179617516,0.49504950495049505,0.457243287875037,15.239446179617516,15.463434209490138
51,15.265079499454203,0.504950495049505,0.4616550614605236,15.265079499454203,15.523867234855445
52,15.305037152240942,0.5148514851485149,0.46848944817644855,15.305037152240942,15.58512654335069
53,15.38215196631586,0.5247524752475248,0.48152819326293494,15.38215196631586,15.647262262357808
54,15.544221291430148,0.5346534653465347,0.5082554459488009,15.544221291430148,15.710327003030423
55,15.680738039159394,0.5445544554455446,0.5300267755879303,15.680738039159394,15.774376129943644
56,15.710255638372132,0.5544554455445545,0.5346423463043198,15.710255638372132,15.83946805633683
57,15.779067588711825,0.5643564356435643,0.5452735145059279,15.779067588711825,15.905664568908069
58,15.794442554734221,0.5742574257425742,0.5476241088844916,15.794442554734221,15.973031186708312
59,15.87808424031968,0.5841584158415841,0.5602519188089854,15.87808424031968,16.041637559391905
60,15.950542084327992,0.594059405940594,0.5709718459213972,15.950542084327992,16.111557910933566
61,16.034868329515575,0.6039603960396039,0.5831896990051239,16.034868329515575,16.182871535951218
62,16.163884123403875,0.6138613861386139,0.6013436897480486,16.163884123403875,16.255663357019206
63,16.26834895758526,0.6237623762376238,0.6155656792702887,16.26834895758526,16.330024552867403
64,16.32078753593649,0.6336633663366337,0.6225441974929473,16.32078753593649,16.406053269202392
65,16.510298466940753,0.6435643564356436,0.6468765819519234,16.510298466940753,16.48385542613898
66,16.516259837457255,0.6534653465346535,0.6476196058943131,16.516259837457255,16.563545638998384
67,16.57900469777735,0.6633663366336634,0.6553580631964178,16.57900469777735,16.64524827264919
68,16.64972972823557,0.6732673267326733,0.6639021444196048,16.64972972823557,16.729098653815193
69,16.68504371178298,0.6831683168316832,0.6680980264140943,16.68504371178298,16.815244471081527
70,16.859612261619702,0.693069306930693,0.6881617416724348,16.859612261619702,16.903847399003013
71,16.882406828849582,0.7029702970297029,0.6906994403053901,16.882406828849582,16.995084991162578
72,17.029069461783024,0.7128712871287128,0.7065829550078622,17.029069461783024,17.089152897789347
73,17.12232757470531,0.7227722772277227,0.7162897947465598,17.12232757470531,17.186267477364584
74,17.159902202359802,0.7326732673267327,0.7201161215565866,17.159902202359802,17.286668889530098
75,17.290939646431355,0.7425742574257426,0.7330869885316199,17.290939646431355,17.39062477996451
76,17.310585356424724,0.7524752475247525,0.7349823908492485,17.310585356424724,17.4984346986569
77,17.500689366002206,0.7623762376237624,0.752678393295759,17.500689366002206,17.610435433938804
78,17.791491161205272,0.7722772277227723,0.7775818172246873,17.791491161205272,17.727007499671057
79,18.008428228632965,0.7821782178217822,0.7945605151493623,18.008428228632965,17.84858308782843
80,18.0202248686941,0.7920792079207921,0.7954465604747438,18.0202248686941,17.975655901770907
81,18.264613214547126,0.801980198019802,0.8129795096166215,18.264613214547126,18.1087934292636
82,18.336800781558964,0.8118811881188119,0.817868129206476,18.336800781558964,18.248652417832364
83,18.33812659453082,0.8217821782178217,0.8179567181394136,18.33812659453082,18.395998607748723
84,18.396935283828327,0.8316831683168316,0.8218434320729319,18.396935283828327,18.55173220627552
85,18.84534072304676,0.8415841584158416,0.8488748197653997,18.84534072304676,18.716921225726278
86,18.899713360247574,0.8514851485148515,0.8518587211350761,18.899713360247574,18.892845781331353
87,18.900811172480985,0.8613861386138614,0.8519183501481851,18.900811172480985,19.08105796342248
88,18.919261641674098,0.8712871287128713,0.8529168836536706,18.919261641674098,19.283464330775953
89,19.002799277581573,0.8811881188118812,0.8573532724570503,19.002799277581573,19.502442086201775
90,19.744179591945908,0.8910891089108911,0.8912149040184945,19.744179591945908,19.741006849890667
91,19.76055901164186,0.900990099009901,0.8918619481221517,19.76055901164186,20.003062117568824
92,19.909246127395853,0.9108910891089109,0.8975570380389692,19.909246127395853,20.29378311144945
93,20.41322991063305,0.9207920792079208,0.9146555455888556,20.41322991063305,20.62023209531538
94,21.006798839486578,0.9306930693069307,0.9310491660120315,21.006798839486578,20.992395025489458
95,22.103223647406708,0.9405940594059405,0.9532283259200236,22.103223647406708,21.425039494996135
96,22.932519784829424,0.9504950495049505,0.9649304714720337,22.932519784829424,21.941319282777112
97,23.477296406665857,0.9603960396039604,0.9708938307381001,23.477296406665857,22.5805469187295
98,25.763862261101586,0.9702970297029703,0.9863574340033757,25.763862261101586,23.41765248951254
99,27.91765443018437,0.9801980198019802,0.9930749845187299,27.91765443018437,24.62458662512607
100,28.776183662012613,0.9900990099009901,0.9946660111284464,28.776183662012613,26.768723225343667
